H	Code	Name	Industry	pe	pb	PftCmp	AllTimeHigh	SignalSince	Close	WeeksHigh	GT54	SuperBuy	BreakOutRate	VolRate	SBuy	SGain
0.00	603017	zhsj		0.00	0.00	0.00	No	3	10.75	73	Yes	No	0	8.85	9.72	1.11
0.00	U	Unity		0.00	0.00	0.00	No	2	35.51	1	No	No	0	0.29	34.68	1.02
0.00	^HSI	HSI		0.00	0.00	0.00	No	2	17978.17	2	No	Yes	1	0.25	17992.54	1.00
0.00	SH	sh		0.00	0.00	0.00	No	3	3078.55	1	No	Yes	0	1.08	3087.29	1.00
0.00	^GSPC	SP500		0.00	0.00	0.00	No	3	3963.94	1	No	Yes	0	0.17	3992.93	0.99
0.00	000002	wk		0.00	0.00	0.00	No	1	17.12	1	No	No	0	1.68	17.32	0.99
0.00	601390	zgzt		0.00	0.00	0.00	No	1	5.75	1	No	No	0	1.87	5.83	0.99
0.00	601939	jsyh		0.00	0.00	0.00	No	1	5.48	1	No	Yes	0	1.43	5.56	0.99
0.00	601318	pingan		0.00	0.00	0.00	No	2	41.41	1	No	Yes	0	1.13	42.16	0.98
0.00	QQQ	QQQ		0.00	0.00	0.00	No	3	282.71	1	No	Yes	0	0.14	287.96	0.98
0.00	MSFT	MSFT		0.00	0.00	0.00	No	3	241.76	1	No	Yes	0	0.18	247.11	0.98
0.00	^IXIC	NASDAQ		0.00	0.00	0.00	No	3	11049.50	1	No	Yes	0	0.18	11323.33	0.98
0.00	601117	zghx		0.00	0.00	0.00	No	1	8.23	1	No	Yes	0	1.54	8.46	0.97
