H	Code	Name	Industry	pe	pb	PftCmp	AllTimeHigh	SignalSince	Close	WeeksHigh	GT54	SuperBuy	BreakOutRate	VolRate	SBuy	SGain
0.00	U	Unity		0.00	0.00	0.00	No	2	40.94	12	No	No	1	1.65	34.68	1.18
0.00	BRK-B	BRK-B		0.00	0.00	0.00	No	6	316.15	1	Yes	Yes	0	1.21	282.51	1.12
0.00	^DJI	DOW		0.00	0.00	0.00	No	6	34429.88	33	Yes	Yes	1	1.03	31082.56	1.11
0.00	JPM	JPM		0.00	0.00	0.00	No	6	135.16	1	Yes	Yes	0	0.85	122.23	1.11
0.00	000002	wk		0.00	0.00	0.00	No	1	18.39	21	Yes	No	20	2.35	17.32	1.06
0.00	601318	pingan		0.00	0.00	0.00	No	2	44.62	20	Yes	No	11	2.16	42.16	1.06
0.00	ASHR	ASHR		0.00	0.00	0.00	No	4	28.51	11	No	Yes	8	1.43	27.18	1.05
0.00	603017	zhsj		0.00	0.00	0.00	No	3	10.12	1	Yes	Yes	0	4.46	9.72	1.04
0.00	^HSI	HSI		0.00	0.00	0.00	No	2	18675.35	11	No	No	2	1.84	17992.54	1.04
0.00	601766	zgzc		0.00	0.00	0.00	No	4	5.27	1	Yes	Yes	0	1.58	5.08	1.04
0.00	MSFT	MSFT		0.00	0.00	0.00	No	3	255.02	12	No	No	1	1.02	247.11	1.03
0.00	^RUT	RUS		0.00	0.00	0.00	No	5	1892.84	14	No	Yes	12	1.07	1846.92	1.02
0.00	SH	sh		0.00	0.00	0.00	No	3	3156.14	11	No	Yes	10	1.25	3087.29	1.02
0.00	^GSPC	SP500		0.00	0.00	0.00	No	3	4071.70	15	No	Yes	12	1.05	3992.93	1.02
0.00	QQQ	QQQ		0.00	0.00	0.00	No	3	292.55	12	No	Yes	11	0.89	287.96	1.02
0.00	^IXIC	NASDAQ		0.00	0.00	0.00	No	3	11461.50	12	No	Yes	11	1.09	11323.33	1.01
0.00	SZ	sz		0.00	0.00	0.00	No	4	11219.79	10	No	Yes	4	1.08	11187.43	1.00
0.00	601117	zghx		0.00	0.00	0.00	No	1	8.44	1	No	Yes	0	1.25	8.46	1.00
0.00	601390	zgzt		0.00	0.00	0.00	No	1	5.78	1	No	No	0	1.87	5.83	0.99
0.00	AAPL	AAPL		0.00	0.00	0.00	No	3	147.81	1	No	Yes	0	0.99	149.70	0.99
0.00	601939	jsyh		0.00	0.00	0.00	No	1	5.47	1	No	Yes	0	1.64	5.56	0.98
0.00	PSQ	PSQ		0.00	0.00	0.00	No	11	13.47	1	Yes	Yes	0	0.67	13.81	0.98
