Date,Open,High,Low,Close,Volume,BuySell
8-Jan-16,12.73,12.83,10.39,11.16,1349094,0
15-Jan-16,10.76,10.92,8.91,9.12,1093977,0
22-Jan-16,8.72,9.91,8.72,9.30,857380,0
29-Jan-16,9.47,9.57,7.83,8.33,798859,0
5-Feb-16,8.32,8.95,8.03,8.53,585111,0
19-Feb-16,8.27,10.61,8.22,10.40,1574796,0
26-Feb-16,10.41,11.06,9.40,9.45,1798160,0
4-Mar-16,9.25,9.60,8.27,8.82,1049196,0
11-Mar-16,9.00,9.16,8.43,8.53,670752,0
18-Mar-16,8.71,10.43,8.71,10.19,1429143,0
25-Mar-16,10.24,11.44,10.13,10.58,1233002,0
1-Apr-16,10.62,11.30,10.28,10.75,1042006,0
8-Apr-16,10.77,11.34,10.38,10.59,686692,0
15-Apr-16,10.67,11.31,10.54,11.19,847403,0
22-Apr-16,11.08,11.11,9.91,10.46,937185,0
29-Apr-16,10.32,10.63,9.96,10.53,599401,0
6-May-16,10.57,11.17,10.26,10.31,676061,0
13-May-16,10.18,10.33,9.20,9.36,654320,0
20-May-16,9.34,9.79,8.97,9.55,658995,0
27-May-16,9.42,9.65,9.12,9.51,575553,0
3-Jun-16,9.40,10.27,9.26,10.23,726690,0
8-Jun-16,10.16,10.20,9.93,10.05,317538,0
17-Jun-16,9.92,10.27,9.17,10.14,633918,0
24-Jun-16,10.22,10.78,9.95,10.50,1195717,1
1-Jul-16,10.37,10.75,10.23,10.28,830914,0
8-Jul-16,10.19,10.86,10.17,10.64,829345,0
15-Jul-16,10.62,10.70,9.84,10.63,643321,0
22-Jul-16,10.55,10.62,10.24,10.26,397285,0
29-Jul-16,10.23,10.80,10.14,10.60,894404,0
5-Aug-16,10.61,11.48,10.06,11.04,1640082,0
12-Aug-16,11.06,12.13,10.91,11.40,1596201,0
19-Aug-16,11.38,11.87,11.16,11.38,884346,0
26-Aug-16,11.33,11.87,10.93,11.73,1015173,0
2-Sep-16,11.61,11.87,11.09,11.18,585295,0
9-Sep-16,11.27,11.66,11.03,11.32,621709,0
14-Sep-16,10.99,11.09,10.52,10.59,325482,0
23-Sep-16,10.57,10.98,10.56,10.67,318712,0
30-Sep-16,10.52,10.59,10.12,10.37,303926,0
14-Oct-16,10.36,10.85,10.33,10.44,422404,0
21-Oct-16,10.43,10.58,10.19,10.30,343332,0
28-Oct-16,10.36,10.69,10.32,10.57,449468,0
4-Nov-16,10.52,10.70,10.32,10.38,432459,0
11-Nov-16,10.33,10.48,10.01,10.38,363355,0
