Date,Open,High,Low,Close,Volume,BuySell
16-Jun-13,15.45,15.61,15.30,15.36,557698432,0
23-Jun-13,15.41,15.56,14.58,14.77,1603809152,0
30-Jun-13,14.55,14.60,13.89,14.16,2078395136,0
7-Jul-13,14.38,15.12,14.33,14.91,1375872384,0
14-Jul-13,15.00,15.35,14.66,15.23,1537984000,0
21-Jul-13,15.18,15.53,15.15,15.18,1145046016,0
28-Jul-13,15.34,15.88,14.95,15.75,1598774784,0
4-Aug-13,15.74,16.53,15.72,16.52,1361472000,0
11-Aug-13,16.60,16.85,16.20,16.23,1475213568,0
18-Aug-13,16.32,18.01,16.31,17.94,2855347712,0
25-Aug-13,18.01,18.35,17.79,17.89,1672025600,0
1-Sep-13,17.88,18.22,17.36,17.40,1574717184,0
8-Sep-13,17.61,17.94,17.41,17.79,1272854784,0
15-Sep-13,18.04,18.14,16.60,16.60,2685466112,0
22-Sep-13,16.46,17.09,15.97,16.69,2503793664,0
29-Sep-13,17.72,17.75,17.17,17.24,1908670464,0
6-Oct-13,17.04,17.58,16.94,17.25,1484845568,0
13-Oct-13,17.38,17.64,17.08,17.60,1451276416,0
20-Oct-13,17.49,18.19,17.48,18.17,1377208064,1
27-Oct-13,18.28,19.04,18.14,18.78,1968450432,0
3-Nov-13,18.89,19.26,18.38,18.57,2090998016,0
10-Nov-13,18.61,18.89,18.30,18.59,1275153664,0
17-Nov-13,18.57,18.90,18.37,18.75,1229289600,0
24-Nov-13,18.75,18.83,18.35,18.56,1133552000,0
1-Dec-13,18.61,19.94,18.61,19.86,1312270336,0
8-Dec-13,19.93,20.54,19.67,20.00,2093254784,0
15-Dec-13,20.03,20.39,19.77,19.80,1553593984,0
22-Dec-13,19.82,20.09,19.24,19.61,1835080832,0
29-Dec-13,20.29,20.42,19.98,20.00,1098753536,0
5-Jan-14,19.91,20.05,19.30,19.32,1103866368,0
12-Jan-14,19.19,19.53,18.97,19.03,1572474368,0
19-Jan-14,18.93,20.01,18.92,19.31,1758710784,0
26-Jan-14,19.32,19.90,19.30,19.50,1541106048,0
2-Feb-14,19.65,19.81,17.63,17.88,3266510848,-1
9-Feb-14,17.95,18.68,17.83,18.56,1734535552,0
16-Feb-14,18.52,19.50,18.50,19.43,1516239232,0
23-Feb-14,19.50,19.69,18.74,18.76,1158662400,0
2-Mar-14,18.68,19.03,18.41,18.79,1470929664,0
9-Mar-14,18.69,19.10,18.67,18.94,1104202368,0
16-Mar-14,18.87,19.27,18.68,18.74,1152076800,0
23-Mar-14,18.85,19.15,18.76,19.03,1216392832,0
