Date,Open,High,Low,Close,Volume,BuySell
28-Sep-14,16.42,16.47,15.88,16.16,293425984,0
5-Oct-14,16.03,16.26,15.57,16.14,284824000,0
12-Oct-14,16.18,16.21,15.57,15.57,307566016,0
19-Oct-14,15.49,15.66,14.69,15.18,444600000,0
26-Oct-14,15.15,15.95,14.20,14.35,775180032,0
2-Nov-14,14.29,15.29,14.25,15.27,500220000,0
9-Nov-14,15.31,15.40,14.61,14.99,354998016,0
16-Nov-14,15.00,16.64,15.00,16.39,427198016,0
23-Nov-14,16.32,16.92,15.90,16.63,390385984,0
30-Nov-14,16.74,17.06,16.56,16.93,207092000,0
7-Dec-14,16.91,17.03,15.54,15.63,399433984,0
14-Dec-14,15.58,15.83,15.06,15.37,347020000,0
21-Dec-14,15.44,15.54,14.65,15.00,624472000,0
28-Dec-14,15.10,15.54,15.10,15.45,222502000,0
4-Jan-15,15.39,15.74,15.33,15.43,198664000,0
11-Jan-15,15.35,15.42,14.62,14.85,292286016,0
18-Jan-15,14.88,15.08,14.26,14.54,419878016,0
25-Jan-15,14.63,15.85,14.32,15.62,459984000,0
1-Feb-15,15.59,17.98,14.97,17.73,833329984,1
8-Feb-15,17.50,18.94,17.50,18.71,635088000,0
15-Feb-15,18.55,19.15,18.36,19.09,281289984,0
22-Feb-15,18.89,19.19,18.63,19.18,250712000,0
1-Mar-15,19.17,19.47,18.81,19.01,249834000,0
8-Mar-15,19.04,19.42,18.94,19.00,233306000,0
15-Mar-15,18.92,18.97,18.31,18.53,266984000,0
22-Mar-15,18.52,18.97,18.34,18.92,254490000,0
29-Mar-15,18.90,19.09,18.28,18.53,268736000,0
5-Apr-15,18.59,18.89,18.42,18.61,173208000,0
12-Apr-15,18.51,19.36,18.47,19.13,252156000,0
19-Apr-15,19.18,19.39,18.72,18.78,246628000,0
26-Apr-15,18.93,22.63,18.85,22.26,765824000,0
3-May-15,22.19,22.35,20.80,21.14,408136000,0
10-May-15,21.24,21.76,20.73,21.68,267084000,0
17-May-15,21.63,21.95,21.22,21.30,249332000,0
24-May-15,21.30,21.85,20.92,21.38,263852000,0
31-May-15,21.31,21.63,21.10,21.46,188076000,0
7-Jun-15,21.52,21.92,21.31,21.35,221376000,0
14-Jun-15,21.28,21.94,20.96,21.50,232208000,0
21-Jun-15,21.38,22.25,21.13,21.75,288136000,0
28-Jun-15,21.85,22.35,21.68,21.91,251028000,0
5-Jul-15,21.75,22.00,21.45,21.89,173612000,0
12-Jul-15,21.76,22.24,21.28,22.18,248258000,0
19-Jul-15,22.41,24.27,22.38,24.15,414164000,0
26-Jul-15,24.63,29.03,23.79,26.47,846659968,0
2-Aug-15,26.39,27.25,26.16,26.81,465708000,0
9-Aug-15,26.87,27.14,25.91,26.13,332558016,0
16-Aug-15,26.43,26.73,25.65,26.58,282896000,0
23-Aug-15,26.56,26.97,24.72,24.72,361830016,0
30-Aug-15,23.18,26.13,22.55,25.90,619934016,0
6-Sep-15,25.82,25.97,24.67,24.95,328321984,0
13-Sep-15,25.43,26.50,25.43,26.47,279705984,0
20-Sep-15,26.47,27.35,25.86,27.01,371569984,0
27-Sep-15,27.22,27.49,26.07,26.21,337892000,0
4-Oct-15,26.00,26.63,24.53,26.63,445260000,0
11-Oct-15,26.85,27.58,25.99,26.99,398401984,0
18-Oct-15,27.00,28.55,26.98,28.54,370980000,0
25-Oct-15,28.54,30.97,27.63,29.95,610745984,0
1-Nov-15,30.12,31.54,29.81,31.30,395068000,0
8-Nov-15,31.36,33.11,31.02,32.97,394398016,0
15-Nov-15,32.93,33.80,32.02,32.12,469428000,0
22-Nov-15,32.05,33.64,31.11,33.42,496544000,0
29-Nov-15,33.58,34.14,33.06,33.66,271864000,0
6-Dec-15,33.80,34.24,33.07,33.63,486348000,0
13-Dec-15,33.74,34.00,31.98,32.01,429456000,-1
20-Dec-15,32.09,34.13,31.76,33.21,471409984,0
27-Dec-15,33.43,33.50,32.83,33.14,194656000,0
3-Jan-16,33.28,34.82,33.28,33.79,335744000,0
10-Jan-16,32.81,32.89,30.26,30.35,661081984,0
17-Jan-16,30.62,31.30,28.27,28.51,645868032,0
24-Jan-16,28.85,30.01,27.36,29.82,456918016,0
31-Jan-16,29.90,31.90,28.50,29.35,840150016,0
7-Feb-16,28.91,29.09,24.96,25.11,772476032,0
14-Feb-16,24.32,25.84,23.70,25.35,729436032,0
21-Feb-16,25.97,27.06,25.58,26.75,393044000,0
28-Feb-16,27.11,28.13,26.66,27.76,505032000,0
6-Mar-16,27.70,29.25,27.63,28.76,398478016,0
13-Mar-16,28.68,28.68,27.40,28.48,434508000,0
20-Mar-16,28.35,29.08,27.30,27.60,481873984,0
27-Mar-16,27.45,29.18,26.93,29.15,366510016,0
3-Apr-16,29.22,30.16,28.78,29.93,340076000,0
10-Apr-16,29.95,30.12,29.26,29.73,268210000,0
17-Apr-16,29.81,31.34,29.62,31.29,319470016,0
24-Apr-16,31.27,31.90,30.58,31.03,374128000,0
1-May-16,30.83,33.50,29.96,32.98,549128000,1
8-May-16,33.20,34.28,32.80,33.70,507736000,0
15-May-16,33.70,36.12,33.57,35.50,544752000,0
22-May-16,35.51,35.72,34.44,35.14,415585984,0
29-May-16,35.21,35.83,34.82,35.61,271849984,0
5-Jun-16,35.62,36.41,35.57,36.28,265506000,0
12-Jun-16,36.33,36.58,35.71,35.90,265134000,0
19-Jun-16,35.70,36.13,34.96,35.32,351286016,-1
26-Jun-16,35.68,36.11,34.61,34.95,370654016,0
3-Jul-16,34.60,36.40,34.11,36.28,369012000,1
10-Jul-16,36.14,37.31,35.98,37.29,254892000,0
17-Jul-16,37.50,37.87,36.70,36.77,369464000,0
24-Jul-16,36.77,37.56,36.44,37.24,239610000,0
31-Jul-16,37.33,38.30,36.64,37.94,450336000,0
7-Aug-16,37.99,38.53,37.52,38.30,332912000,0
