Date,Open,High,Low,Close,Volume,BuySell
13-Jul-14,22.69,22.69,22.06,22.47,928100,0
20-Jul-14,22.80,22.89,22.41,22.62,313300,0
27-Jul-14,22.64,24.09,22.55,23.87,1474400,0
3-Aug-14,24.54,24.75,24.34,24.59,3759900,0
10-Aug-14,25.01,25.12,24.29,24.71,1727800,0
17-Aug-14,25.01,25.11,24.67,24.96,1018400,0
24-Aug-14,25.23,25.23,24.75,24.88,2150300,0
31-Aug-14,24.75,24.79,24.26,24.63,3634300,0
7-Sep-14,25.28,26.05,25.13,26.04,2758300,0
14-Sep-14,26.23,26.23,25.59,25.74,1850900,0
21-Sep-14,25.70,25.72,25.00,25.37,2454700,0
28-Sep-14,25.02,25.84,24.80,25.61,2602100,0
5-Oct-14,25.49,25.78,25.17,25.69,3057600,0
12-Oct-14,26.06,26.28,25.62,25.64,2495300,0
19-Oct-14,25.79,25.93,25.37,25.76,3933000,0
26-Oct-14,25.80,25.91,25.20,25.24,2981600,0
2-Nov-14,25.01,26.65,24.77,26.57,1392000,0
9-Nov-14,26.56,26.61,26.32,26.38,2463700,0
16-Nov-14,27.22,28.32,27.00,28.25,5927200,1
23-Nov-14,27.54,28.78,27.05,28.61,4029400,0
30-Nov-14,28.80,30.65,28.72,30.30,5054200,0
7-Dec-14,29.69,34.80,29.17,34.49,9903800,0
14-Dec-14,36.14,36.32,31.93,33.43,7745100,0
21-Dec-14,33.93,36.17,33.40,35.68,5976100,0
28-Dec-14,35.71,36.30,33.22,36.16,3357900,0
4-Jan-15,36.07,37.94,35.92,37.28,3365800,0
11-Jan-15,37.89,38.25,36.51,36.96,7071000,0
18-Jan-15,36.73,37.58,35.91,36.27,7516100,0
25-Jan-15,34.99,37.01,34.72,36.88,5893000,0
1-Feb-15,37.00,37.27,33.85,33.90,7183600,-1
8-Feb-15,34.41,36.79,33.60,33.67,7392800,0
15-Feb-15,34.16,35.78,34.05,35.67,4154500,0
22-Feb-15,35.89,36.18,35.80,36.05,2587600,0
1-Mar-15,36.09,36.77,35.48,36.35,3885300,0
8-Mar-15,36.49,36.79,34.86,35.00,2865100,0
15-Mar-15,35.88,36.80,35.20,36.66,2552800,0
22-Mar-15,37.98,40.64,37.94,40.53,6469500,1
29-Mar-15,41.10,41.18,40.13,40.98,4827200,0
5-Apr-15,42.49,42.94,41.32,42.32,4962500,0
12-Apr-15,43.00,45.00,42.97,45.00,9372100,0
19-Apr-15,45.55,46.92,44.23,44.48,11473400,0
26-Apr-15,46.09,49.36,45.83,48.63,9670800,0
3-May-15,49.48,49.62,48.54,49.09,7018700,0
10-May-15,49.09,49.74,45.19,47.12,8820100,0
17-May-15,48.18,48.65,47.51,47.72,8358900,0
24-May-15,47.18,52.23,47.05,52.09,7755000,0
31-May-15,54.97,54.97,49.37,49.95,12986200,0
7-Jun-15,52.33,53.65,52.17,52.96,10894900,0
14-Jun-15,54.57,55.19,53.27,55.17,13090400,0
21-Jun-15,53.27,53.43,47.92,48.24,16623900,-1
28-Jun-15,48.50,51.10,42.82,43.00,24049200,0
5-Jul-15,43.20,46.04,42.35,42.42,20695100,0
12-Jul-15,41.64,43.55,33.89,43.25,57939200,0
19-Jul-15,43.27,43.52,40.05,43.46,22662700,0
26-Jul-15,42.75,44.58,42.56,43.11,14835400,0
2-Aug-15,38.78,41.28,38.56,39.50,16688200,0
9-Aug-15,39.17,41.12,39.15,40.43,11195800,0
16-Aug-15,42.37,42.85,39.41,40.77,11932400,0
23-Aug-15,40.59,40.64,34.73,34.87,20165400,0
30-Aug-15,29.40,32.94,28.84,32.70,49508100,0
6-Sep-15,32.36,32.68,29.89,30.11,16723500,0
13-Sep-15,33.23,33.60,32.50,33.33,13175500,0
20-Sep-15,31.99,33.25,30.83,31.60,12980700,0
27-Sep-15,32.80,35.29,31.88,31.88,9638900,0
4-Oct-15,31.95,33.44,31.77,33.40,7089500,0
11-Oct-15,33.68,34.70,33.43,33.62,10500000,0
18-Oct-15,34.85,36.21,34.16,36.19,13149100,0
25-Oct-15,35.64,37.05,34.55,36.90,11223300,0
1-Nov-15,36.09,36.11,34.78,35.52,7266800,0
8-Nov-15,35.00,38.06,34.69,38.01,9458300,0
15-Nov-15,38.21,38.60,36.06,36.18,10802300,0
22-Nov-15,37.43,38.08,37.08,37.86,11474900,0
29-Nov-15,37.48,37.92,35.10,35.10,6385500,0
6-Dec-15,35.34,37.23,35.23,36.82,6631100,0
13-Dec-15,36.67,36.78,34.82,34.91,9007400,0
20-Dec-15,36.13,36.45,27.95,28.60,9438700,0
27-Dec-15,29.40,29.82,29.03,29.08,6350200,0
3-Jan-16,28.37,28.51,27.98,27.98,5831400,0
10-Jan-16,25.67,26.00,23.90,24.26,14160900,0
17-Jan-16,23.85,24.31,22.26,22.67,12108800,0
24-Jan-16,23.73,23.92,22.79,23.44,8220400,0
31-Jan-16,23.15,23.17,21.14,22.17,10235700,0
7-Feb-16,21.39,22.50,21.30,21.64,7690000,0
14-Feb-16,21.41,21.74,20.90,21.50,5601200,0
21-Feb-16,22.70,23.48,22.52,23.12,9127500,1
28-Feb-16,23.68,23.86,21.95,22.30,7810700,-1
6-Mar-16,21.84,23.91,21.76,23.88,8793700,1
13-Mar-16,23.62,23.70,22.35,23.11,9461000,-1
20-Mar-16,23.25,24.77,23.03,24.69,11042600,1
27-Mar-16,25.02,25.11,23.85,23.93,8352900,-1
3-Apr-16,23.80,24.95,23.65,24.70,8900300,0
10-Apr-16,24.58,24.99,24.04,24.36,7878600,0
17-Apr-16,24.67,25.30,24.42,24.86,12859500,1
24-Apr-16,24.61,24.90,23.76,23.98,8944600,-1
1-May-16,23.83,24.21,23.76,23.92,5169700,0
8-May-16,23.92,24.30,23.39,23.43,6326100,0
15-May-16,22.91,23.24,22.65,22.80,7514800,0
22-May-16,23.04,23.26,22.61,23.11,6910600,0
29-May-16,23.10,23.28,22.91,23.14,3719400,0
5-Jun-16,24.04,24.30,23.74,24.29,7445500,1
12-Jun-16,24.05,24.27,23.31,23.38,5483900,-1
19-Jun-16,22.83,23.46,22.80,23.43,8983600,0
26-Jun-16,23.43,23.79,22.90,22.92,6152400,0
3-Jul-16,23.17,23.78,23.01,23.59,4700700,0
10-Jul-16,23.75,24.13,23.75,24.11,3515300,0
17-Jul-16,24.02,24.88,23.98,24.62,6101200,0
24-Jul-16,24.46,24.55,24.28,24.34,2655900,0
31-Jul-16,24.42,24.78,24.16,24.29,4251100,0
7-Aug-16,24.00,24.28,23.84,24.26,3113200,0
14-Aug-16,24.38,25.09,24.38,25.03,3632600,0
21-Aug-16,25.81,26.07,25.44,25.51,9311500,1
28-Aug-16,25.37,25.53,24.84,24.90,3856900,0
4-Sep-16,24.94,25.18,24.89,25.12,4142700,0
11-Sep-16,25.25,25.40,24.71,24.73,3874000,-1
18-Sep-16,24.31,24.75,24.29,24.65,4126500,0
25-Sep-16,24.83,25.00,24.57,24.60,2895200,0
2-Oct-16,24.16,24.63,24.07,24.58,3039600,0
9-Oct-16,24.58,24.67,24.42,24.66,2952100,0
16-Oct-16,24.78,24.84,24.48,24.70,2398600,0
23-Oct-16,24.40,24.90,24.35,24.70,5101800,0
30-Oct-16,25.00,25.10,24.61,24.65,2698900,0
6-Nov-16,24.63,24.91,24.60,24.74,2878200,0
13-Nov-16,24.80,25.15,24.68,25.11,5698700,1
20-Nov-16,25.12,25.13,24.82,24.83,2081200,0
27-Nov-16,25.05,25.70,25.03,25.70,2818200,0
4-Dec-16,25.72,26.19,25.69,25.93,4953500,0
11-Dec-16,25.56,25.63,25.27,25.44,4439500,0
18-Dec-16,24.85,24.86,23.95,23.95,9048200,-1
25-Dec-16,23.99,24.01,23.51,23.52,4465100,0
1-Jan-17,23.70,23.77,23.44,23.45,1800900,0
8-Jan-17,23.80,24.68,23.76,24.25,6323100,0
15-Jan-17,24.38,24.38,24.04,24.28,4622400,0
22-Jan-17,24.39,24.67,24.30,24.67,4124800,1
29-Jan-17,24.70,24.92,24.68,24.91,3808100,0
5-Feb-17,24.91,25.01,24.69,24.78,1737200,0
12-Feb-17,24.77,24.91,24.51,24.90,2401500,0
