Date,Open,High,Low,Close,Volume,BuySell
12-May-96,22.20,24.40,22.20,24.00,5350000,0
19-May-96,24.00,24.10,22.30,22.80,2240000,0
26-May-96,22.90,23.00,21.40,21.60,1085000,0
2-Jun-96,21.90,22.10,19.80,20.40,860000,0
9-Jun-96,20.40,22.00,20.00,21.60,535000,0
16-Jun-96,21.70,22.20,21.10,22.00,360000,0
23-Jun-96,22.00,22.06,20.48,20.70,250000,0
30-Jun-96,20.66,20.80,20.06,20.66,445000,0
7-Jul-96,20.66,21.80,20.60,20.70,335000,0
14-Jul-96,20.80,21.50,20.60,20.84,530000,0
21-Jul-96,20.80,21.36,20.10,21.10,490000,0
28-Jul-96,21.00,21.20,20.10,20.40,280000,0
4-Aug-96,20.40,20.96,20.40,20.96,205000,0
11-Aug-96,20.96,21.12,20.50,20.80,260000,0
18-Aug-96,20.80,22.34,20.64,21.86,400000,0
25-Aug-96,22.00,22.00,21.20,21.34,210000,0
1-Sep-96,21.34,21.34,20.68,20.82,190000,0
8-Sep-96,20.90,21.12,20.72,21.04,115000,0
15-Sep-96,21.10,21.64,21.00,21.46,260000,1
22-Sep-96,21.50,21.92,21.40,21.74,425000,0
29-Sep-96,21.66,21.66,21.24,21.36,245000,0
6-Oct-96,21.28,21.60,21.16,21.40,310000,0
13-Oct-96,21.44,21.44,21.10,21.16,370000,0
20-Oct-96,21.20,21.80,21.12,21.68,385000,0
27-Oct-96,21.68,21.88,21.44,21.72,190000,0
3-Nov-96,21.74,21.80,21.46,21.62,235000,0
10-Nov-96,21.52,22.00,21.48,21.88,335000,0
17-Nov-96,21.80,22.58,21.80,22.08,480000,0
24-Nov-96,22.14,22.28,21.90,22.16,355000,0
1-Dec-96,22.06,22.18,21.86,22.06,275000,0
8-Dec-96,21.94,22.16,21.56,21.72,815000,0
15-Dec-96,22.00,22.28,21.80,21.94,635000,0
22-Dec-96,21.88,22.20,21.66,22.06,860000,0
29-Dec-96,22.06,23.50,21.98,22.60,755000,0
5-Jan-97,22.56,22.56,21.90,22.12,815000,0
12-Jan-97,22.12,22.28,21.76,22.12,1170000,0
19-Jan-97,22.04,23.00,22.04,23.00,1005000,0
