Date,Open,High,Low,Close,Volume,BuySell
1-Aug-21,17.52,18.48,17.37,17.59,132400,0
8-Aug-21,17.20,17.33,17.11,17.32,26500,0
15-Aug-21,17.14,17.26,16.89,17.11,32300,0
22-Aug-21,17.20,17.73,17.09,17.67,82600,0
29-Aug-21,17.41,17.47,17.07,17.29,36400,0
5-Sep-21,17.43,17.49,17.08,17.16,57200,0
12-Sep-21,16.77,16.87,16.48,16.65,82800,0
19-Sep-21,16.68,17.40,16.66,17.30,69100,0
26-Sep-21,17.83,17.91,17.19,17.28,290600,0
3-Oct-21,17.15,17.42,17.04,17.25,112300,0
10-Oct-21,17.49,17.66,16.77,16.77,86700,0
17-Oct-21,16.78,17.06,16.62,16.76,55800,0
24-Oct-21,16.90,16.93,16.43,16.51,70100,0
31-Oct-21,16.48,16.80,16.42,16.75,60300,0
7-Nov-21,16.80,17.04,16.68,16.93,47200,0
14-Nov-21,16.88,17.00,16.56,16.62,45400,0
21-Nov-21,16.65,16.94,16.63,16.73,24500,0
28-Nov-21,16.66,16.94,16.62,16.90,68700,0
5-Dec-21,16.82,16.91,16.51,16.67,38500,0
12-Dec-21,16.57,16.57,15.95,15.99,94300,-1
19-Dec-21,15.90,16.47,15.90,16.37,109600,0
26-Dec-21,16.55,16.59,16.28,16.32,72100,0
2-Jan-22,16.38,16.62,16.26,16.31,34200,0
9-Jan-22,16.28,16.85,16.28,16.71,124600,1
16-Jan-22,16.69,17.06,16.45,16.99,141800,0
23-Jan-22,16.81,16.85,16.52,16.85,39600,0
30-Jan-22,16.84,17.75,16.81,17.63,165300,0
6-Feb-22,17.65,17.65,17.25,17.37,132300,0
13-Feb-22,17.32,17.58,17.15,17.57,33900,0
20-Feb-22,17.63,17.70,17.12,17.17,52300,0
27-Feb-22,17.35,17.83,17.19,17.24,75400,0
6-Mar-22,17.37,17.82,17.17,17.77,31500,0
13-Mar-22,18.22,18.85,18.20,18.82,193500,0
20-Mar-22,19.36,20.56,18.11,18.30,676300,0
27-Mar-22,18.42,18.97,18.39,18.93,122600,0
3-Apr-22,18.97,19.13,18.30,18.37,133800,0
10-Apr-22,18.38,18.80,18.32,18.69,55000,0
17-Apr-22,19.21,19.27,18.82,18.87,46900,0
24-Apr-22,18.97,20.15,18.89,20.13,103400,0
1-May-22,21.37,21.64,20.25,20.70,865300,0
8-May-22,20.93,21.19,20.17,21.02,137600,0
15-May-22,21.53,21.55,20.59,20.63,778900,0
22-May-22,20.85,20.85,19.80,19.86,263900,0
29-May-22,19.91,20.47,19.81,20.21,127600,0
5-Jun-22,19.65,19.94,19.36,19.51,94500,0
12-Jun-22,19.13,19.44,19.00,19.22,111900,0
19-Jun-22,19.46,19.67,18.50,18.54,170400,0
26-Jun-22,18.44,18.71,17.99,18.01,298400,-1
3-Jul-22,17.85,18.01,17.60,17.67,140400,0
10-Jul-22,17.90,18.03,17.68,17.83,82100,0
17-Jul-22,18.22,19.00,18.22,18.84,97400,0
24-Jul-22,18.60,18.97,18.53,18.94,74600,0
31-Jul-22,18.99,19.33,18.76,19.12,57700,0
7-Aug-22,19.19,19.65,19.16,19.16,107100,0
14-Aug-22,19.13,19.23,18.74,18.87,86300,0
21-Aug-22,19.07,19.47,18.95,19.43,65900,0
28-Aug-22,19.51,19.76,19.23,19.72,44200,0
4-Sep-22,19.76,20.25,19.55,20.20,550500,1
11-Sep-22,20.26,20.32,19.78,19.79,798400,0
18-Sep-22,19.79,20.88,19.69,20.82,1079900,0
25-Sep-22,20.97,21.93,20.80,21.83,477000,0
2-Oct-22,21.71,22.15,21.53,21.96,204100,0
9-Oct-22,22.10,22.14,20.93,21.57,171400,0
16-Oct-22,22.24,22.88,21.65,22.01,2032300,0
23-Oct-22,21.69,22.54,21.58,22.25,722100,0
30-Oct-22,23.30,23.89,22.62,23.75,1731900,0
6-Nov-22,24.32,24.32,21.48,21.49,207800,0
13-Nov-22,21.80,22.67,21.06,21.21,641700,-1
20-Nov-22,21.12,21.47,20.46,21.29,160700,0
27-Nov-22,21.80,21.82,21.48,21.81,291700,0
4-Dec-22,22.00,22.10,20.21,20.26,77300,0
11-Dec-22,19.98,20.19,19.97,20.17,88600,0
