Date,Open,High,Low,Close,Volume,BuySell
28-Oct-12,15.15,15.20,14.75,14.90,312700,0
4-Nov-12,15.32,15.49,14.84,15.20,105800,0
11-Nov-12,14.96,15.48,14.65,14.76,807500,0
18-Nov-12,14.84,15.27,14.43,14.54,365500,0
25-Nov-12,14.70,15.42,14.53,15.30,153000,0
2-Dec-12,15.16,15.32,14.76,15.21,141400,0
9-Dec-12,14.98,15.83,14.98,15.75,202500,0
16-Dec-12,15.65,16.24,15.65,16.12,249400,0
23-Dec-12,16.15,16.36,15.77,15.83,369000,0
30-Dec-12,15.93,16.27,15.90,16.03,218300,0
6-Jan-13,16.15,16.92,15.97,16.78,451500,0
13-Jan-13,16.81,16.90,16.35,16.69,620700,0
20-Jan-13,16.81,17.15,16.72,17.15,223900,0
27-Jan-13,17.28,17.41,17.15,17.29,1818300,0
3-Feb-13,17.24,17.36,17.08,17.30,316600,0
10-Feb-13,17.15,17.20,16.36,16.63,353200,0
17-Feb-13,16.50,17.25,16.50,16.89,1268300,0
24-Feb-13,16.58,16.70,16.10,16.18,514900,0
3-Mar-13,16.23,16.58,15.85,16.37,378600,0
10-Mar-13,16.11,16.65,15.91,16.64,295300,0
17-Mar-13,16.45,16.62,15.86,16.11,317900,0
24-Mar-13,15.79,16.12,15.41,15.86,1105800,-1
31-Mar-13,16.20,16.48,15.86,16.27,499000,0
7-Apr-13,16.19,16.40,15.21,15.55,598300,0
14-Apr-13,15.60,16.09,15.60,15.83,296000,0
21-Apr-13,15.64,16.13,15.33,16.05,203900,0
28-Apr-13,15.95,16.51,15.78,16.30,247200,0
5-May-13,16.50,16.93,16.43,16.85,282500,0
12-May-13,16.85,17.09,16.80,17.09,201400,0
19-May-13,16.84,16.84,16.48,16.71,224000,0
26-May-13,16.90,16.90,15.97,16.20,244400,0
2-Jun-13,16.44,16.57,16.01,16.05,150800,0
9-Jun-13,16.13,16.28,15.69,15.89,378600,0
16-Jun-13,15.89,15.95,13.91,13.92,331600,0
23-Jun-13,14.45,14.45,12.81,13.19,1053100,0
30-Jun-13,12.82,14.14,12.77,14.03,511700,0
7-Jul-13,14.00,14.09,13.23,13.65,279200,0
14-Jul-13,13.52,14.34,13.44,13.96,395700,0
21-Jul-13,14.02,14.28,13.98,14.20,270400,0
28-Jul-13,13.95,14.89,13.95,14.88,251900,0
4-Aug-13,14.59,15.05,14.59,14.99,436500,1
11-Aug-13,14.67,14.82,14.27,14.58,327100,0
18-Aug-13,14.94,15.50,14.94,15.25,727700,0
25-Aug-13,15.20,15.36,14.51,14.90,412800,0
1-Sep-13,14.89,15.05,14.34,14.58,227900,0
8-Sep-13,15.17,15.50,14.83,15.45,359000,0
15-Sep-13,15.40,15.81,15.40,15.64,393000,0
22-Sep-13,15.74,16.13,15.62,15.88,802100,0
29-Sep-13,15.72,15.93,15.45,15.56,388200,0
6-Oct-13,15.37,15.78,15.30,15.75,275400,0
13-Oct-13,15.60,16.61,15.41,15.72,311300,0
20-Oct-13,15.58,15.80,15.44,15.63,299700,0
27-Oct-13,15.57,15.65,14.66,14.78,675700,-1
3-Nov-13,14.75,15.67,14.75,15.66,342200,0
10-Nov-13,15.80,15.80,14.94,15.22,383700,0
17-Nov-13,15.68,15.86,14.92,15.67,443300,0
24-Nov-13,16.15,16.30,16.00,16.28,906800,1
1-Dec-13,16.19,16.27,15.94,16.23,1024800,0
8-Dec-13,16.11,16.33,15.80,16.29,382800,0
15-Dec-13,16.11,16.15,15.21,15.41,504900,-1
22-Dec-13,15.41,15.52,14.91,15.09,598200,0
29-Dec-13,14.96,15.29,14.96,15.22,387300,0
5-Jan-14,15.03,15.18,14.64,14.66,218600,0
12-Jan-14,14.55,14.55,14.17,14.40,510100,0
19-Jan-14,14.39,14.48,14.00,14.08,432500,0
26-Jan-14,14.26,14.59,13.51,13.53,626100,0
2-Feb-14,13.69,13.98,13.46,13.68,584700,0
9-Feb-14,13.94,13.94,13.19,13.57,783700,0
16-Feb-14,13.26,14.10,13.17,14.02,478200,0
23-Feb-14,13.95,14.08,13.65,13.73,332300,0
2-Mar-14,13.60,13.81,13.38,13.61,506400,0
9-Mar-14,13.55,13.66,13.22,13.43,1539000,0
16-Mar-14,13.27,13.28,12.69,12.89,827000,0
23-Mar-14,12.96,13.17,12.52,13.04,3488400,0
30-Mar-14,13.35,13.96,13.17,13.90,4740200,1
6-Apr-14,13.90,14.07,13.73,13.83,527300,0
13-Apr-14,14.08,14.53,13.95,14.03,311400,0
20-Apr-14,14.33,14.33,13.78,14.08,169600,0
27-Apr-14,14.18,14.18,13.51,13.63,279800,0
4-May-14,13.57,13.95,13.57,13.68,239300,0
11-May-14,13.68,13.76,13.53,13.62,1722900,-1
18-May-14,13.82,14.23,13.81,14.22,280800,0
25-May-14,14.20,14.54,13.95,14.51,837800,0
1-Jun-14,14.49,14.81,14.00,14.76,156500,0
8-Jun-14,14.76,14.97,14.59,14.73,352700,0
15-Jun-14,14.90,15.18,14.76,15.11,275600,0
22-Jun-14,15.06,15.19,14.74,15.07,225100,0
29-Jun-14,14.65,15.12,14.65,14.98,369100,0
6-Jul-14,14.87,14.89,14.10,14.49,180800,0
13-Jul-14,14.50,14.52,14.08,14.31,246500,0
20-Jul-14,14.36,14.45,14.20,14.35,285500,0
27-Jul-14,14.30,14.98,14.30,14.93,237700,0
3-Aug-14,15.17,15.43,15.12,15.25,251100,0
10-Aug-14,15.31,15.32,14.85,15.07,179800,0
17-Aug-14,15.15,15.45,15.10,15.12,163600,0
24-Aug-14,15.19,15.22,14.91,15.04,387000,0
31-Aug-14,15.17,15.30,14.69,14.72,130000,0
7-Sep-14,14.65,15.43,14.51,15.36,222700,0
14-Sep-14,15.37,15.39,14.71,14.89,774900,0
21-Sep-14,14.70,15.09,14.54,14.60,298200,0
28-Sep-14,14.58,14.79,14.26,14.47,186900,0
5-Oct-14,14.04,14.16,13.57,13.92,273500,0
12-Oct-14,14.16,14.35,13.92,13.93,316900,0
19-Oct-14,14.07,14.35,13.92,14.29,257400,0
26-Oct-14,14.15,14.57,14.11,14.44,217300,0
2-Nov-14,14.27,14.89,14.14,14.82,194400,0
9-Nov-14,14.90,14.90,14.45,14.55,333200,0
16-Nov-14,14.59,15.00,14.59,14.97,280400,1
23-Nov-14,14.50,14.80,14.23,14.75,555000,0
30-Nov-14,14.72,15.09,14.60,15.04,266600,0
7-Dec-14,14.69,16.00,14.61,15.95,293000,0
14-Dec-14,16.42,16.43,15.19,15.28,461700,0
21-Dec-14,15.45,15.92,15.18,15.84,985100,0
28-Dec-14,16.20,16.45,15.73,16.37,801600,0
4-Jan-15,16.26,16.68,16.05,16.53,284000,0
11-Jan-15,16.66,16.79,16.35,16.56,426900,0
18-Jan-15,16.59,16.65,16.23,16.39,435600,0
25-Jan-15,16.17,16.82,16.00,16.72,414000,0
1-Feb-15,16.57,16.64,15.80,15.85,413300,-1
8-Feb-15,15.70,16.59,15.70,16.17,1131800,0
15-Feb-15,16.27,16.57,15.99,16.57,440300,0
22-Feb-15,16.44,16.62,16.42,16.53,231800,0
1-Mar-15,16.50,16.70,16.13,16.62,557800,0
