Date,Open,High,Low,Close,Volume,BuySell
8-Jan-16,2706.27,2710.30,2142.33,2248.99,177736304,0
15-Jan-16,2188.19,2230.42,1989.86,2112.90,193332480,0
22-Jan-16,2074.86,2249.35,2074.86,2149.59,203098016,0
29-Jan-16,2165.73,2185.21,1888.25,1994.06,172160928,0
5-Feb-16,1989.21,2142.87,1956.92,2096.99,157216512,0
19-Feb-16,2029.56,2239.91,2029.56,2211.01,180547776,0
26-Feb-16,2235.17,2249.69,1980.17,2014.92,203212656,0
4-Mar-16,2000.57,2063.53,1841.22,1907.04,194156944,0
11-Mar-16,1935.09,2015.71,1865.65,1934.87,158688848,0
18-Mar-16,1962.10,2194.35,1961.42,2177.87,225103888,0
25-Mar-16,2214.91,2277.92,2183.60,2216.09,262565856,0
1-Apr-16,2233.13,2271.96,2130.85,2205.37,223031712,0
8-Apr-16,2207.46,2316.63,2194.23,2229.93,203099584,0
15-Apr-16,2255.07,2330.05,2236.44,2309.68,239402080,0
22-Apr-16,2288.42,2289.05,2090.95,2136.92,195938656,0
29-Apr-16,2128.66,2176.33,2083.64,2138.74,143337392,0
6-May-16,2138.96,2235.96,2126.87,2129.19,165641712,0
13-May-16,2107.33,2107.33,1975.06,2025.22,146383184,0
20-May-16,2017.84,2107.73,2000.53,2065.30,167534544,0
27-May-16,2073.00,2111.26,2019.30,2069.89,180180768,0
3-Jun-16,2054.62,2236.58,2033.67,2204.97,267609968,1
8-Jun-16,2212.46,2219.27,2166.97,2186.54,141842416,0
17-Jun-16,2150.39,2165.28,2031.67,2122.89,244113232,-1
24-Jun-16,2117.99,2157.94,2060.20,2127.36,263265792,0
1-Jul-16,2111.10,2241.63,2110.60,2211.18,296316736,1
8-Jul-16,2195.62,2259.29,2193.84,2239.00,254346352,0
15-Jul-16,2242.26,2299.86,2182.03,2263.78,263813056,0
22-Jul-16,2257.42,2289.67,2234.21,2250.00,212323296,0
29-Jul-16,2245.86,2284.28,2109.13,2122.41,211610480,-1
5-Aug-16,2113.67,2133.18,2066.18,2109.05,144755456,0
12-Aug-16,2102.24,2164.62,2083.98,2123.84,148428000,0
19-Aug-16,2126.79,2218.29,2112.25,2204.56,199627712,0
26-Aug-16,2205.57,2213.41,2152.11,2189.75,179842928,0
2-Sep-16,2187.72,2210.40,2160.11,2170.86,178219408,0
9-Sep-16,2178.63,2232.12,2161.93,2202.97,203813024,0
14-Sep-16,2163.45,2179.98,2131.71,2144.56,101798000,0
23-Sep-16,2149.37,2178.53,2149.37,2156.51,141198576,0
30-Sep-16,2154.40,2161.76,2112.70,2149.90,133425064,0
14-Oct-16,2165.85,2216.52,2163.41,2194.23,167381760,0
21-Oct-16,2199.18,2202.49,2160.00,2181.00,185098640,0
28-Oct-16,2184.11,2207.81,2165.03,2165.43,181043072,0
4-Nov-16,2158.57,2177.83,2135.28,2145.23,189731360,0
11-Nov-16,2141.30,2154.85,2098.56,2147.11,192440576,0
18-Nov-16,2146.83,2208.98,2146.83,2157.96,210872576,0
25-Nov-16,2156.46,2191.26,2123.74,2167.53,206904848,0
2-Dec-16,2172.97,2201.55,2143.21,2143.45,189854320,0
9-Dec-16,2129.25,2162.30,2097.09,2099.89,144738816,0
16-Dec-16,2095.58,2096.40,1956.55,1998.11,155919264,0
23-Dec-16,1995.00,1996.10,1964.23,1964.54,118219784,0
30-Dec-16,1959.19,1977.31,1933.52,1962.06,122101400,0
6-Jan-17,1965.04,1993.71,1959.14,1965.03,109999408,0
13-Jan-17,1962.20,1968.87,1899.11,1899.94,124176976,0
20-Jan-17,1897.45,1897.82,1783.74,1880.75,139836000,0
26-Jan-17,1879.97,1897.10,1856.22,1886.23,87814088,0
3-Feb-17,1886.97,1888.81,1872.70,1876.76,18991134,0
10-Feb-17,1877.14,1916.41,1874.71,1904.68,141413504,0
17-Feb-17,1902.46,1920.29,1881.00,1882.87,146278544,0
24-Feb-17,1884.99,1939.39,1876.67,1938.44,163401632,1
3-Mar-17,1937.56,1943.98,1908.32,1928.29,162905984,0
10-Mar-17,1931.62,1977.85,1931.62,1950.01,175195216,0
17-Mar-17,1948.52,1981.69,1939.03,1949.66,182997024,0
24-Mar-17,1948.60,1966.42,1930.44,1965.14,174145456,0
31-Mar-17,1964.62,1967.11,1893.30,1907.34,159363936,-1
7-Apr-17,1914.91,1953.57,1914.91,1946.05,102960480,0
14-Apr-17,1940.30,1940.30,1887.35,1887.46,186248832,0
21-Apr-17,1880.77,1886.61,1812.39,1839.01,160728528,0
28-Apr-17,1832.82,1856.40,1794.40,1850.73,164676288,0
5-May-17,1849.22,1858.56,1818.19,1818.19,136347984,0
12-May-17,1814.10,1825.76,1727.58,1774.63,167976688,0
19-May-17,1778.18,1833.87,1764.29,1801.08,190229872,0
26-May-17,1798.56,1814.41,1730.36,1759.63,178416032,0
2-Jun-17,1777.65,1783.15,1711.82,1745.93,102164560,0
9-Jun-17,1747.53,1804.66,1747.53,1796.13,179383296,0
16-Jun-17,1787.56,1823.42,1771.85,1810.05,181471248,1
23-Jun-17,1809.51,1833.94,1776.60,1807.43,184281856,0
30-Jun-17,1805.88,1830.22,1801.21,1818.07,149188160,0
7-Jul-17,1818.20,1844.20,1816.03,1835.44,173950976,0
14-Jul-17,1831.37,1831.37,1742.22,1745.57,167299856,-1
21-Jul-17,1730.70,1730.70,1641.38,1690.15,167341120,0
28-Jul-17,1685.71,1746.54,1674.22,1734.07,193860736,0
4-Aug-17,1731.92,1757.76,1716.53,1719.62,204938800,0
11-Aug-17,1722.24,1777.19,1720.99,1742.14,202483344,0
18-Aug-17,1745.01,1845.25,1745.01,1821.80,259263280,1
25-Aug-17,1823.37,1834.66,1792.70,1812.88,198462256,0
1-Sep-17,1815.84,1865.81,1815.84,1865.25,234384400,0
8-Sep-17,1863.02,1917.96,1858.39,1885.27,296490688,0
15-Sep-17,1883.65,1904.30,1869.63,1875.63,251790032,0
22-Sep-17,1874.45,1901.27,1854.94,1866.42,222529408,0
29-Sep-17,1864.86,1869.39,1826.92,1866.98,193798176,0
13-Oct-17,1889.89,1927.02,1880.39,1926.07,248264016,0
20-Oct-17,1920.94,1921.64,1855.36,1880.21,196555504,0
27-Oct-17,1881.41,1918.79,1878.34,1896.22,170340368,0
3-Nov-17,1894.86,1902.05,1825.29,1832.97,180109936,0
10-Nov-17,1831.90,1905.06,1818.41,1900.63,191284816,0
17-Nov-17,1904.58,1912.49,1831.01,1833.90,207758384,0
24-Nov-17,1819.17,1871.71,1782.60,1782.66,175527344,0
1-Dec-17,1781.22,1808.69,1758.45,1804.62,151894928,0
8-Dec-17,1803.03,1812.40,1744.49,1792.16,161704608,0
15-Dec-17,1800.13,1821.48,1780.27,1783.97,158598320,0
22-Dec-17,1784.41,1802.58,1762.98,1779.34,146331456,0
29-Dec-17,1778.96,1780.52,1741.00,1752.65,148246208,-1
5-Jan-18,1759.02,1804.88,1748.53,1801.42,128406784,0
