Date,Open,High,Low,Close,Volume,BuySell
26-May-13,66.58,66.71,64.24,65.49,37777100,0
2-Jun-13,65.98,67.11,63.07,63.08,39567600,0
9-Jun-13,63.06,64.93,62.04,64.85,42020100,0
16-Jun-13,64.91,64.97,62.52,63.80,31744200,0
23-Jun-13,64.30,65.55,61.82,62.73,43011000,0
30-Jun-13,62.25,64.52,61.82,63.15,34427800,0
7-Jul-13,63.84,64.92,62.57,63.82,24909700,0
14-Jul-13,64.28,67.00,64.16,66.98,31217500,0
21-Jul-13,67.02,67.36,64.76,65.16,32958800,0
28-Jul-13,65.15,65.33,64.11,64.98,26192300,0
4-Aug-13,64.80,66.59,64.10,66.51,29608200,0
11-Aug-13,66.50,67.16,64.12,64.73,52554500,0
18-Aug-13,64.26,64.43,61.71,62.17,37696600,0
25-Aug-13,62.15,62.39,61.09,61.73,28845600,0
1-Sep-13,61.76,62.11,60.41,60.83,30195600,0
8-Sep-13,61.42,61.99,60.52,61.39,34707000,0
15-Sep-13,61.60,67.03,61.27,66.69,61729000,0
22-Sep-13,67.32,67.65,64.91,65.01,66973800,0
29-Sep-13,65.04,65.48,64.20,65.19,36398000,0
6-Oct-13,64.73,65.43,63.83,65.30,33373300,0
13-Oct-13,64.81,66.59,63.10,66.21,37635700,0
20-Oct-13,65.88,67.27,65.78,67.15,34668500,0
27-Oct-13,67.27,69.87,67.16,69.26,31229700,0
3-Nov-13,69.35,69.48,67.93,69.01,25450200,0
10-Nov-13,69.41,69.62,66.72,68.58,43113100,0
17-Nov-13,68.48,70.17,67.30,70.00,30652700,0
24-Nov-13,70.06,70.33,69.04,70.20,23598700,0
1-Dec-13,70.54,71.69,69.60,70.54,24927700,0
8-Dec-13,70.79,71.49,69.32,71.46,31092100,0
15-Dec-13,71.36,72.13,68.80,69.62,37649100,0
22-Dec-13,69.91,73.56,69.83,72.40,40804900,1
29-Dec-13,72.89,74.78,72.66,74.35,16970400,0
5-Jan-14,74.99,76.70,74.89,76.11,22532800,0
12-Jan-14,76.53,76.84,74.32,75.39,36483300,0
19-Jan-14,74.90,75.13,73.05,73.98,33735400,0
26-Jan-14,73.99,75.43,72.72,72.72,27918000,0
2-Feb-14,72.47,73.63,71.12,72.61,36827300,-1
9-Feb-14,72.66,76.73,69.85,75.67,66118900,0
16-Feb-14,75.67,79.47,75.57,79.23,36253800,1
23-Feb-14,79.50,80.45,78.80,80.13,27161500,0
