Date,Open,High,Low,Close,Volume,BuySell
9-Jun-13,23.03,23.40,22.86,23.29,38699200,0
16-Jun-13,24.06,24.60,23.26,23.63,176591104,0
23-Jun-13,23.91,25.19,23.65,24.53,190763696,0
30-Jun-13,23.95,24.98,23.38,24.88,226702496,0
7-Jul-13,24.97,25.06,24.15,24.37,69610200,0
14-Jul-13,24.47,26.00,24.42,25.91,127489600,0
21-Jul-13,25.93,26.78,25.60,25.88,147916704,0
28-Jul-13,25.99,34.88,25.72,34.01,639870272,0
4-Aug-13,34.07,38.49,34.01,38.05,632255296,0
11-Aug-13,38.43,39.32,37.70,38.50,297633696,0
18-Aug-13,38.20,38.50,36.02,37.08,247326000,0
25-Aug-13,37.43,40.63,37.14,40.55,270095200,0
1-Sep-13,40.90,42.26,39.42,41.29,350814208,0
8-Sep-13,41.84,44.61,41.44,43.95,258927904,0
15-Sep-13,44.36,45.62,43.11,44.31,323500896,0
22-Sep-13,44.85,47.60,42.43,47.49,421156608,0
29-Sep-13,47.28,51.28,46.29,51.24,479403392,0
6-Oct-13,50.14,51.60,49.06,51.04,417535008,0
13-Oct-13,50.73,51.29,45.26,49.11,498784000,0
20-Oct-13,48.31,54.83,47.91,54.22,374408000,1
27-Oct-13,54.68,54.81,51.13,51.95,290505984,-1
3-Nov-13,51.54,52.09,46.50,49.75,646529984,0
10-Nov-13,49.37,50.45,47.25,47.53,392953984,0
17-Nov-13,47.04,49.57,45.73,49.01,345920992,0
24-Nov-13,48.47,48.84,45.72,46.23,290876000,0
1-Dec-13,46.36,47.21,43.55,47.01,232527904,0
8-Dec-13,46.90,49.39,46.26,47.94,230543008,0
15-Dec-13,48.09,53.50,47.74,53.32,345675008,0
22-Dec-13,53.25,55.89,52.91,55.12,569450176,1
29-Dec-13,55.50,58.58,55.25,55.44,260481792,0
5-Jan-14,54.93,55.65,53.43,54.56,192824896,0
12-Jan-14,54.42,58.96,54.05,57.94,337445184,0
19-Jan-14,57.91,58.57,55.38,56.30,209568896,0
26-Jan-14,56.60,59.31,54.40,54.45,213174592,0
2-Feb-14,54.73,63.37,51.85,62.57,453084416,0
9-Feb-14,63.03,64.57,60.70,64.32,275328000,0
16-Feb-14,64.30,67.58,63.35,67.09,235230400,0
23-Feb-14,66.94,70.11,65.73,68.59,307758304,0
2-Mar-14,68.74,71.44,67.38,68.46,292457408,0
9-Mar-14,66.96,71.97,66.51,69.80,258358800,0
16-Mar-14,70.77,72.59,67.46,67.72,270938400,0
23-Mar-14,68.18,69.60,66.18,67.24,241443904,0
30-Mar-14,67.19,67.36,57.98,60.01,431687904,-1
6-Apr-14,60.78,63.91,56.32,56.75,387652416,0
13-Apr-14,55.90,63.18,55.44,58.53,493979008,0
20-Apr-14,60.09,60.58,55.88,58.94,347761984,0
27-Apr-14,59.46,63.65,57.57,57.71,448174688,0
4-May-14,58.05,62.28,54.66,60.46,396025984,1
11-May-14,59.67,61.35,56.26,57.24,294380000,-1
18-May-14,57.98,60.89,57.31,58.02,249276000,0
25-May-14,57.89,61.48,57.57,61.35,248451008,0
1-Jun-14,61.62,64.30,61.57,63.30,191430496,0
8-Jun-14,63.23,64.36,62.05,62.50,194520992,0
15-Jun-14,62.40,66.47,61.79,64.50,236346000,0
22-Jun-14,64.16,65.75,63.35,64.50,175042000,0
29-Jun-14,64.32,68.00,64.22,67.60,230378000,1
6-Jul-14,67.46,68.44,65.76,66.29,127444000,0
13-Jul-14,66.30,66.59,62.21,66.34,232736992,0
20-Jul-14,67.13,68.46,66.04,68.42,192935808,0
