Date,Open,High,Low,Close,Volume,BuySell
30-Mar-14,566.45,566.45,551.41,558.46,54202,0
6-Apr-14,565.34,603.17,541.51,541.65,11662512,0
13-Apr-14,539.26,563.82,525.09,529.15,18862264,0
20-Apr-14,536.78,555.48,517.04,534.63,18140412,0
27-Apr-14,534.63,535.76,514.01,514.77,10980987,0
4-May-14,515.79,532.54,501.42,526.48,11382453,0
11-May-14,523.29,527.45,501.92,517.31,10399245,0
18-May-14,522.08,534.60,514.03,519.20,7956386,0
25-May-14,518.28,552.12,516.17,551.19,7812717,0
1-Jun-14,554.48,566.29,552.83,558.36,6883751,0
8-Jun-14,559.17,559.36,537.28,554.81,8549875,0
15-Jun-14,555.62,562.06,544.07,550.25,6602853,0
22-Jun-14,547.76,556.05,537.85,554.84,11868037,0
29-Jun-14,553.63,580.86,552.73,575.66,9695818,0
6-Jul-14,577.08,583.84,573.18,583.13,4536782,0
13-Jul-14,582.16,584.82,563.46,577.59,7074637,0
20-Jul-14,581.01,595.17,567.05,593.45,11920158,0
27-Jul-14,590.13,598.01,583.63,587.41,6970110,0
3-Aug-14,586.46,590.88,561.31,564.52,7414723,0
10-Aug-14,567.48,573.78,558.47,567.21,6935104,0
17-Aug-14,568.43,577.79,559.34,571.91,6709997,0
24-Aug-14,574.53,585.73,574.42,580.97,5012666,0
31-Aug-14,583.12,583.40,565.52,570.04,7091038,0
7-Sep-14,569.63,584.94,569.63,584.48,5896990,0
14-Sep-14,584.70,590.15,572.89,574.04,6524223,0
21-Sep-14,571.37,594.85,566.65,594.45,9961848,1
28-Sep-14,592.19,592.32,572.61,575.52,8267737,-1
5-Oct-14,570.23,578.26,561.78,573.71,6676886,0
12-Oct-14,577.51,579.41,542.56,543.00,10733342,0
19-Oct-14,543.66,548.00,507.14,509.77,17786226,0
26-Oct-14,508.06,545.72,506.71,538.30,12205973,0
2-Nov-14,535.56,558.04,535.56,557.55,7731167,0
9-Nov-14,553.98,556.37,537.20,539.53,7625748,0
16-Nov-14,539.98,550.43,539.54,542.91,5858835,0
23-Nov-14,541.94,542.30,528.63,536.03,8869042,0
30-Nov-14,536.18,542.49,534.15,540.35,6168267,0
7-Dec-14,537.42,539.93,522.84,523.82,8886549,0
14-Dec-14,525.70,534.86,517.24,517.24,9541428,0
21-Dec-14,521.31,521.67,487.66,514.94,16284894,0
28-Dec-14,514.95,533.10,514.67,532.57,6675199,0
4-Jan-15,531.74,534.01,522.67,523.37,5984889,0
11-Jan-15,521.83,522.89,489.66,494.81,12449742,0
18-Jan-15,493.65,506.80,486.23,506.69,11951884,0
25-Jan-15,509.60,540.69,504.63,538.47,9459313,0
1-Feb-15,537.06,538.39,499.83,533.06,14924352,0
8-Feb-15,530.27,535.73,517.13,529.55,10165348,0
15-Feb-15,526.55,548.40,524.58,547.51,7915940,0
22-Feb-15,545.33,548.49,534.33,537.47,5505287,0
1-Mar-15,534.58,563.16,526.80,556.87,9010776,0
8-Mar-15,559.00,576.33,557.22,566.13,8759930,0
15-Mar-15,565.31,568.71,542.73,545.82,7768363,0
22-Mar-15,549.44,560.18,544.51,558.83,9395233,1
29-Mar-15,558.90,573.02,546.63,546.84,9849538,0
5-Apr-15,551.49,553.19,532.39,534.06,6555032,-1
12-Apr-15,530.76,542.36,528.12,538.53,6773096,0
19-Apr-15,536.94,542.57,519.58,522.62,10020050,0
26-Apr-15,524.16,569.58,523.06,563.51,14235777,1
3-May-15,563.39,565.95,532.10,537.90,9438178,-1
10-May-15,538.53,544.07,521.09,538.22,7331908,0
17-May-15,538.37,541.98,525.26,533.85,7167800,0
24-May-15,532.01,544.19,528.85,540.11,7789519,0
31-May-15,538.39,540.61,529.88,532.11,7558787,0
7-Jun-15,536.79,543.50,529.76,533.33,8296914,0
14-Jun-15,533.36,538.98,523.01,532.33,6964309,0
21-Jun-15,528.00,538.25,524.00,536.69,7378925,0
28-Jun-15,539.59,543.74,531.35,531.69,7179167,0
5-Jul-15,525.00,528.61,518.23,523.40,7370510,0
12-Jul-15,519.50,532.56,515.18,530.13,7973482,0
19-Jul-15,532.88,674.47,532.40,672.93,23168356,1
26-Jul-15,659.24,678.64,622.52,623.56,19822232,-1
2-Aug-15,621.00,635.22,620.50,625.61,9158129,0
9-Aug-15,625.34,647.86,625.34,635.30,8106123,0
16-Aug-15,639.48,674.90,631.25,657.12,12662021,1
23-Aug-15,656.80,667.00,612.33,612.48,11762338,-1
30-Aug-15,573.00,643.59,565.05,630.38,19014228,0
6-Sep-15,627.54,635.80,594.10,600.70,12303487,0
13-Sep-15,612.49,626.52,604.12,625.77,7260453,0
20-Sep-15,625.70,650.90,619.43,629.25,12481198,0
27-Sep-15,634.40,636.49,611.00,611.97,10236431,0
4-Oct-15,610.34,627.34,589.38,626.91,12403798,0
11-Oct-15,632.00,650.61,625.56,643.61,9964021,0
18-Oct-15,642.09,664.97,639.01,662.20,7996152,0
25-Oct-15,661.18,730.00,641.73,702.00,16494604,1
1-Nov-15,701.55,719.15,701.26,710.81,10506067,0
8-Nov-15,711.06,739.48,705.85,733.76,8531478,0
15-Nov-15,730.20,741.00,716.73,717.00,8957454,0
22-Nov-15,715.60,757.92,711.33,756.60,8642218,0
29-Nov-15,757.45,762.71,737.63,750.26,5710334,0
6-Dec-15,748.81,775.96,741.27,766.81,11810542,0
13-Dec-15,767.77,768.73,736.75,738.87,10554569,-1
20-Dec-15,741.79,762.68,724.17,739.31,11782877,0
27-Dec-15,746.13,754.85,740.00,748.40,4985172,0
3-Jan-16,752.92,779.98,749.52,758.88,6075172,0
10-Jan-16,743.00,752.00,713.00,714.47,12585099,0
17-Jan-16,716.61,734.74,685.37,694.45,12450737,0
24-Jan-16,703.30,728.13,673.26,725.25,10137048,0
31-Jan-16,723.58,744.99,694.39,742.95,11388350,0
7-Feb-16,750.46,789.87,680.15,683.57,27932736,0
14-Feb-16,667.85,701.31,663.06,682.40,15659692,0
21-Feb-16,692.98,712.35,685.05,700.91,8485184,0
28-Feb-16,707.45,713.43,680.78,705.07,9808357,0
6-Mar-16,700.32,720.00,697.68,710.89,10191618,0
13-Mar-16,706.90,726.92,685.34,726.82,11290212,1
20-Mar-16,726.81,743.07,724.51,737.60,9905130,0
27-Mar-16,736.50,745.72,731.00,735.30,6133242,0
3-Apr-16,736.79,757.88,728.76,749.91,8283055,0
10-Apr-16,750.06,752.80,735.37,739.15,6064369,0
17-Apr-16,743.02,761.00,731.01,759.00,7225324,0
24-Apr-16,760.46,769.90,713.61,718.77,14131019,-1
1-May-16,716.10,725.77,689.00,693.01,13157281,0
8-May-16,697.63,711.86,689.01,711.12,8395373,0
15-May-16,712.00,724.48,709.00,710.83,7447774,0
22-May-16,709.13,721.52,696.80,709.74,8583751,0
29-May-16,706.53,733.94,704.18,732.66,8443971,0
5-Jun-16,731.74,739.73,720.56,722.34,5951198,0
12-Jun-16,724.91,729.54,714.61,719.41,6691871,0
19-Jun-16,716.51,725.44,688.45,691.72,9164340,0
26-Jun-16,698.77,702.77,673.45,675.22,11352927,0
3-Jul-16,671.00,700.65,663.28,699.21,9689832,0
10-Jul-16,696.06,705.71,688.22,705.63,5753907,0
17-Jul-16,708.05,725.74,707.24,719.85,5614091,0
24-Jul-16,722.71,743.24,721.19,742.74,6098762,0
31-Jul-16,740.67,778.55,734.27,768.79,11103338,1
7-Aug-16,761.09,783.04,761.09,782.22,8713875,0
14-Aug-16,782.00,789.75,778.09,783.22,4928725,0
