Date,Open,High,Low,Close,Volume,BuySell
8-Jan-16,3725.86,3726.24,3237.93,3361.56,653515904,0
15-Jan-16,3303.12,3342.48,3072.04,3118.73,682670144,0
22-Jan-16,3068.23,3227.91,3053.96,3113.46,560573632,0
29-Jan-16,3129.03,3149.33,2839.29,2946.09,553230336,0
5-Feb-16,2939.04,2999.21,2869.56,2963.79,421416832,0
19-Feb-16,2888.43,3093.51,2886.02,3051.58,525530176,0
26-Feb-16,3083.93,3128.21,2902.95,2948.03,630076480,0
4-Mar-16,2939.58,3101.66,2821.21,3093.89,813637568,0
11-Mar-16,3109.00,3130.90,2982.17,3018.28,529569792,0
18-Mar-16,3039.57,3197.67,3028.58,3171.96,659121408,0
25-Mar-16,3203.29,3267.78,3174.32,3197.82,750496128,0
1-Apr-16,3206.95,3241.93,3122.76,3221.89,558213376,0
8-Apr-16,3211.30,3271.93,3163.30,3185.73,479659168,0
15-Apr-16,3213.51,3296.52,3198.90,3272.21,626660864,0
22-Apr-16,3252.67,3252.67,3107.37,3174.90,522000512,0
29-Apr-16,3164.74,3188.83,3135.64,3156.75,314444672,0
6-May-16,3159.82,3222.88,3130.15,3130.35,372441152,0
13-May-16,3115.43,3115.43,3035.02,3074.94,391270144,0
20-May-16,3064.53,3105.20,3039.46,3078.22,323980352,0
27-May-16,3078.51,3098.48,3027.44,3062.50,295946144,0
3-Jun-16,3056.31,3201.75,3037.66,3189.33,502605376,0
8-Jun-16,3192.78,3197.22,3148.35,3163.99,221913840,0
17-Jun-16,3134.05,3145.61,3042.23,3110.36,415026336,0
24-Jun-16,3114.91,3155.49,3033.97,3077.16,390583552,0
1-Jul-16,3065.13,3170.26,3064.97,3154.20,430454464,0
8-Jul-16,3136.39,3220.54,3134.02,3192.28,596764928,1
15-Jul-16,3199.04,3300.99,3197.63,3276.28,696450624,0
22-Jul-16,3269.71,3281.64,3220.89,3225.16,443934592,0
29-Jul-16,3220.17,3276.51,3157.41,3203.93,512267744,0
5-Aug-16,3196.43,3224.87,3156.75,3205.11,372735968,0
12-Aug-16,3199.57,3294.23,3187.25,3294.23,485466944,0
19-Aug-16,3303.47,3418.69,3302.38,3365.02,818122496,0
26-Aug-16,3364.68,3372.83,3279.81,3307.09,464186784,0
2-Sep-16,3306.57,3333.97,3295.76,3314.11,400072160,0
9-Sep-16,3321.01,3357.36,3300.13,3318.04,434089760,0
14-Sep-16,3271.87,3276.72,3231.34,3238.73,260530672,0
23-Sep-16,3242.74,3303.20,3242.74,3275.67,304505792,0
30-Sep-16,3267.69,3267.69,3214.44,3253.28,274070816,0
14-Oct-16,3265.36,3308.00,3258.96,3305.85,400442688,0
21-Oct-16,3305.96,3341.56,3271.54,3327.74,479165984,0
28-Oct-16,3332.51,3382.83,3330.97,3340.13,532993984,0
4-Nov-16,3332.41,3379.99,3317.33,3354.17,467781312,0
11-Nov-16,3353.44,3422.67,3322.08,3417.22,675623360,0
18-Nov-16,3409.22,3452.62,3408.14,3417.46,715134848,0
25-Nov-16,3412.65,3521.30,3412.08,3521.30,776714304,0
2-Dec-16,3538.68,3583.72,3516.79,3528.95,999380288,0
9-Dec-16,3473.69,3507.93,3445.76,3493.70,678413760,0
16-Dec-16,3489.27,3495.80,3327.14,3346.03,638316672,-1
23-Dec-16,3342.34,3344.86,3289.27,3307.60,467187232,0
30-Dec-16,3293.22,3330.23,3267.05,3310.08,376112832,0
6-Jan-17,3313.95,3373.41,3313.95,3347.67,352414208,0
13-Jan-17,3345.75,3370.51,3309.37,3319.91,424018272,0
20-Jan-17,3314.15,3358.41,3264.21,3354.89,429315968,0
26-Jan-17,3359.05,3395.88,3355.85,3387.96,265445296,0
3-Feb-17,3390.93,3392.48,3362.57,3364.49,55188860,0
10-Feb-17,3368.11,3422.33,3347.43,3413.49,429005952,0
17-Feb-17,3416.92,3457.56,3416.87,3421.44,565474368,1
24-Feb-17,3421.64,3492.96,3421.64,3473.85,545358336,0
3-Mar-17,3471.13,3472.84,3412.83,3427.86,448040512,0
10-Mar-17,3427.25,3457.04,3414.68,3427.89,397579872,0
17-Mar-17,3425.67,3492.13,3412.69,3445.81,457956512,0
24-Mar-17,3449.05,3499.32,3429.83,3489.60,501341952,0
31-Mar-17,3488.76,3505.98,3422.37,3456.05,504016320,0
7-Apr-17,3476.42,3526.81,3475.15,3517.46,420459232,0
14-Apr-17,3519.46,3523.10,3466.14,3486.50,755113664,0
21-Apr-17,3475.74,3489.08,3418.51,3466.79,568045376,0
28-Apr-17,3458.23,3466.57,3399.54,3439.75,545603712,-1
5-May-17,3427.92,3436.31,3366.56,3382.55,397844480,0
12-May-17,3369.11,3387.27,3312.89,3385.38,495242944,0
19-May-17,3391.59,3433.97,3373.55,3403.85,445189984,0
26-May-17,3400.59,3498.31,3383.89,3480.43,526966528,1
2-Jun-17,3495.07,3515.08,3470.20,3486.51,290625472,0
9-Jun-17,3480.17,3590.89,3460.45,3576.17,439660672,0
16-Jun-17,3570.22,3603.69,3508.95,3518.76,408454336,0
23-Jun-17,3520.06,3635.53,3520.06,3622.88,488822656,0
30-Jun-17,3627.02,3676.53,3627.02,3666.80,497217088,0
