Date,Open,High,Low,Close,Volume,BuySell
29-Sep-13,23.74,23.80,22.88,22.98,60931048,0
6-Oct-13,22.75,23.17,22.50,22.81,139030464,0
13-Oct-13,22.71,23.26,22.48,23.26,161616560,0
20-Oct-13,23.09,23.98,23.03,23.88,176131792,0
27-Oct-13,23.95,24.24,23.56,24.24,203184256,0
3-Nov-13,24.17,24.73,24.17,24.33,178847504,0
10-Nov-13,24.33,24.40,23.77,24.09,132149432,0
17-Nov-13,24.04,24.62,23.93,24.52,123108472,0
24-Nov-13,24.55,25.29,23.84,23.87,191830160,0
1-Dec-13,24.02,24.02,23.50,23.84,116218776,0
8-Dec-13,23.99,25.25,23.40,24.82,203539872,0
15-Dec-13,24.82,25.08,24.16,24.29,115056544,0
22-Dec-13,24.33,25.35,24.33,25.06,183178000,0
29-Dec-13,25.27,25.80,25.18,25.60,70210016,0
5-Jan-14,25.67,26.04,25.47,25.78,102246152,0
12-Jan-14,25.78,25.85,25.25,25.53,132711200,0
19-Jan-14,25.61,27.12,25.25,25.85,334837984,0
26-Jan-14,25.79,25.80,24.79,24.81,166604976,0
2-Feb-14,24.76,25.05,24.40,24.54,145730400,0
9-Feb-14,24.46,24.51,23.50,24.21,195236064,-1
16-Feb-14,24.11,24.76,24.06,24.76,111937584,0
23-Feb-14,24.67,24.96,24.35,24.42,94341200,0
2-Mar-14,24.47,24.98,24.41,24.76,109957792,0
9-Mar-14,24.56,24.85,24.30,24.64,118337792,0
16-Mar-14,24.58,25.00,24.40,24.50,120950408,0
23-Mar-14,24.62,25.68,24.49,25.17,172972880,1
30-Mar-14,25.21,25.81,24.92,25.62,145692448,0
6-Apr-14,25.67,26.73,25.62,26.16,162080128,0
13-Apr-14,26.29,27.09,26.17,26.18,217599888,0
20-Apr-14,26.28,27.24,26.14,27.04,169182400,0
27-Apr-14,26.96,27.05,26.19,26.26,134633472,0
4-May-14,26.19,26.70,26.01,26.41,125474456,0
11-May-14,26.19,26.53,25.99,26.30,111743440,0
18-May-14,26.40,26.54,25.74,25.82,120714976,0
25-May-14,25.79,26.30,25.75,26.29,96800200,0
1-Jun-14,26.25,27.32,26.18,27.32,118674624,0
8-Jun-14,27.30,28.21,27.12,28.17,136477328,0
15-Jun-14,28.07,30.06,27.72,29.87,255349968,0
22-Jun-14,29.67,30.20,29.67,30.20,166258464,0
29-Jun-14,30.10,31.00,29.85,30.93,181727264,0
6-Jul-14,30.97,31.36,30.66,31.14,87071808,0
13-Jul-14,31.00,31.45,30.44,31.25,140665952,0
20-Jul-14,31.41,34.74,31.16,33.70,338484128,0
27-Jul-14,33.55,34.83,33.54,34.25,165890864,0
3-Aug-14,34.25,34.57,33.61,33.75,158812256,0
10-Aug-14,33.79,34.09,32.39,32.60,168338208,0
17-Aug-14,32.82,34.23,32.68,34.17,142869760,0
24-Aug-14,34.22,35.20,33.98,34.94,142022352,0
31-Aug-14,35.09,35.15,34.61,34.92,106662352,0
7-Sep-14,34.79,35.12,34.43,35.00,107240360,0
14-Sep-14,34.88,35.56,34.50,34.62,115851752,0
21-Sep-14,34.71,35.22,34.23,34.82,140271360,0
28-Sep-14,34.78,35.03,33.63,34.26,130497088,0
5-Oct-14,34.06,35.00,33.26,34.03,158119728,-1
12-Oct-14,34.15,34.48,30.50,31.91,194369616,0
19-Oct-14,31.72,32.67,29.65,31.38,288389440,0
26-Oct-14,31.04,33.33,30.90,33.18,140601216,0
2-Nov-14,33.07,34.01,32.40,34.01,177534672,0
9-Nov-14,33.81,34.78,33.19,33.58,150950096,0
16-Nov-14,33.43,33.97,33.00,33.95,117742024,0
23-Nov-14,33.80,36.46,33.76,35.59,188328896,1
30-Nov-14,35.89,37.69,35.84,37.25,105604848,0
7-Dec-14,37.21,37.90,36.90,37.67,133851392,0
14-Dec-14,37.46,37.73,36.22,36.23,138534624,0
21-Dec-14,36.37,37.16,35.33,36.37,202352448,0
28-Dec-14,36.40,37.74,36.39,37.55,77543080,0
4-Jan-15,37.45,37.52,36.11,36.36,71416624,-1
11-Jan-15,36.19,37.11,35.26,36.76,145973616,0
18-Jan-15,36.90,37.49,35.51,36.45,205122992,0
25-Jan-15,36.10,37.03,35.57,36.45,122608968,0
1-Feb-15,36.19,36.30,33.00,33.04,192581232,0
8-Feb-15,33.06,34.05,32.61,33.30,149658720,0
15-Feb-15,33.00,34.37,32.67,34.36,105364312,0
22-Feb-15,34.36,34.75,33.91,34.41,71340144,0
1-Mar-15,34.40,34.50,33.21,33.25,130215000,0
8-Mar-15,33.29,34.50,33.08,33.19,129343072,0
15-Mar-15,33.20,33.27,30.36,30.93,288378400,0
22-Mar-15,30.93,31.62,30.30,31.31,194315600,0
29-Mar-15,31.29,33.00,29.31,32.00,215163664,0
5-Apr-15,31.70,32.10,30.65,30.81,135931728,0
12-Apr-15,30.81,31.94,30.45,31.93,125251928,0
19-Apr-15,31.81,32.99,31.27,32.47,183823280,1
26-Apr-15,32.61,32.97,32.01,32.08,107352464,0
3-May-15,32.08,33.49,32.08,33.42,126366000,0
10-May-15,33.30,33.50,31.93,32.80,131563648,0
17-May-15,32.68,33.13,32.00,32.99,101608256,0
24-May-15,32.98,33.56,32.85,33.45,109031224,0
31-May-15,33.27,34.75,32.84,34.46,129378352,0
7-Jun-15,34.37,34.59,31.83,31.84,182764640,-1
14-Jun-15,31.81,32.16,31.15,31.32,161408512,0
21-Jun-15,31.12,32.57,30.94,32.07,138354448,0
28-Jun-15,32.26,32.39,30.76,31.02,149818704,0
5-Jul-15,30.70,30.98,30.01,30.56,123890800,0
12-Jul-15,30.24,30.45,28.82,29.17,200117216,0
19-Jul-15,29.27,30.48,29.10,29.47,238947472,0
26-Jul-15,29.62,29.62,28.06,28.06,180787280,0
2-Aug-15,28.07,29.45,27.62,28.95,155554864,0
9-Aug-15,29.00,29.39,28.69,28.88,129142352,0
16-Aug-15,29.07,29.68,28.66,29.02,113330336,0
23-Aug-15,28.83,29.20,26.56,26.56,149486064,0
30-Aug-15,25.20,28.61,24.87,28.42,272094528,0
6-Sep-15,28.33,29.42,27.66,28.52,188948064,0
13-Sep-15,28.98,30.12,28.90,29.47,105561728,0
20-Sep-15,29.47,30.20,28.81,29.02,170340544,0
27-Sep-15,29.09,29.34,27.87,28.81,140924368,0
4-Oct-15,28.68,30.53,28.64,30.51,175246544,1
11-Oct-15,30.73,32.60,30.56,32.14,159307344,0
18-Oct-15,32.16,33.20,30.85,33.04,197344544,0
25-Oct-15,32.88,35.03,32.87,34.90,176414736,0
1-Nov-15,34.77,34.96,33.77,33.86,113204416,0
8-Nov-15,33.73,34.41,33.41,33.84,100859888,0
15-Nov-15,33.60,33.83,31.96,32.11,113423696,0
22-Nov-15,32.09,35.29,31.93,34.66,157675104,0
29-Nov-15,34.66,34.85,33.90,34.46,66126660,0
6-Dec-15,34.55,35.41,34.00,34.94,119066256,0
13-Dec-15,34.79,35.22,34.20,34.27,92312584,0
20-Dec-15,34.38,35.47,33.86,33.87,133451968,0
27-Dec-15,34.11,35.26,33.82,34.98,54849088,0
3-Jan-16,34.95,35.59,34.44,34.45,49941448,0
10-Jan-16,33.88,34.01,31.43,31.51,137717312,-1
17-Jan-16,31.81,32.93,29.45,29.76,215867904,0
24-Jan-16,29.98,30.24,29.21,29.93,123960160,0
31-Jan-16,29.99,31.03,29.57,31.02,137919568,0
7-Feb-16,30.72,31.12,28.52,29.04,145884832,0
14-Feb-16,28.74,29.15,27.68,28.64,127045544,0
21-Feb-16,28.75,29.76,28.36,28.71,121076912,0
28-Feb-16,29.11,30.08,28.38,29.80,109598608,0
6-Mar-16,29.72,31.35,29.58,30.63,118167472,0
13-Mar-16,30.59,31.79,30.38,31.76,105088752,0
20-Mar-16,31.66,32.69,31.06,32.68,133464280,1
27-Mar-16,32.23,32.47,31.70,31.88,76938544,0
3-Apr-16,31.87,32.75,31.62,32.45,79273920,0
10-Apr-16,32.20,32.38,31.35,31.63,98172360,-1
17-Apr-16,31.90,32.34,31.38,31.46,106853632,0
24-Apr-16,31.43,32.26,31.22,31.64,170872704,0
1-May-16,31.36,31.80,30.10,30.28,121888448,0
8-May-16,30.45,30.69,29.52,30.04,114502024,0
15-May-16,30.08,30.25,29.57,29.91,90482608,0
22-May-16,29.90,30.57,29.50,30.15,114524040,0
29-May-16,30.23,31.65,30.13,31.57,89038568,0
5-Jun-16,31.51,31.76,31.31,31.62,70711416,0
12-Jun-16,31.64,32.24,31.58,32.04,94236656,0
19-Jun-16,32.05,32.50,31.22,31.76,111138096,0
26-Jun-16,32.07,33.00,31.40,31.55,115885872,0
3-Jul-16,31.41,32.89,30.44,32.75,133532448,1
10-Jul-16,32.50,34.00,32.38,34.00,90638720,0
17-Jul-16,34.04,35.30,34.04,35.07,129963912,0
24-Jul-16,35.18,35.93,33.86,34.66,179479040,0
31-Jul-16,34.62,35.28,34.52,34.86,113362504,0
7-Aug-16,34.82,35.13,33.99,34.98,93679352,0
14-Aug-16,34.90,35.17,34.44,34.57,83727680,0
21-Aug-16,34.70,35.27,34.63,35.24,85976456,0
28-Aug-16,35.20,35.69,34.90,35.26,76498904,0
4-Sep-16,35.48,36.33,35.15,36.08,86662720,0
11-Sep-16,36.38,36.65,35.44,35.44,90647848,0
18-Sep-16,35.19,38.05,35.06,37.67,159678176,0
25-Sep-16,37.69,38.02,36.86,37.19,111638192,0
2-Oct-16,36.92,37.92,36.60,37.75,108885448,0
9-Oct-16,37.69,38.31,37.33,38.10,83041464,0
16-Oct-16,38.25,38.36,36.46,37.45,92718608,0
23-Oct-16,37.55,38.05,34.81,35.15,180407632,-1
30-Oct-16,35.43,35.49,34.71,34.74,96293768,0
