Date,Open,High,Low,Close,Volume,BuySell
22-Sep-13,52.95,53.47,52.80,52.80,30792200,0
29-Sep-13,52.08,52.56,50.06,52.24,147596608,0
6-Oct-13,51.73,52.68,51.29,52.67,100401504,0
13-Oct-13,52.29,53.35,50.25,52.51,117244000,0
20-Oct-13,51.94,54.58,51.76,54.30,103899696,0
27-Oct-13,54.27,54.85,52.07,52.77,103975600,0
3-Nov-13,52.89,53.24,51.30,52.51,103889504,0
10-Nov-13,52.74,53.97,51.58,53.96,95968496,0
17-Nov-13,53.91,54.96,53.15,54.87,88313600,0
24-Nov-13,55.49,57.52,55.30,57.46,102555696,0
1-Dec-13,57.50,58.14,57.17,57.22,53280600,0
8-Dec-13,57.10,57.75,55.62,56.06,93165400,0
15-Dec-13,56.28,57.07,55.91,56.17,71880400,0
22-Dec-13,56.34,58.00,55.40,57.70,111195296,0
29-Dec-13,57.97,58.46,57.80,58.14,34143900,0
5-Jan-14,58.14,58.95,57.71,58.66,49674900,0
12-Jan-14,59.16,59.47,58.11,58.49,76026704,0
19-Jan-14,58.51,59.82,57.53,58.11,128857904,0
26-Jan-14,58.09,58.44,55.09,55.09,88049504,0
2-Feb-14,55.08,56.39,54.69,55.36,102640096,0
9-Feb-14,55.50,56.93,54.20,56.62,113020896,0
16-Feb-14,56.77,58.23,56.39,58.15,76600000,0
23-Feb-14,58.02,58.65,57.22,57.61,62900800,0
2-Mar-14,57.62,58.23,56.14,56.82,92681400,0
9-Mar-14,56.30,59.80,55.69,59.40,92092304,1
16-Mar-14,59.14,59.48,56.62,56.80,90125600,-1
23-Mar-14,57.21,61.20,57.05,60.17,116467504,1
30-Mar-14,60.37,61.48,59.02,60.04,111950496,0
6-Apr-14,60.83,61.29,59.80,59.81,72705400,0
13-Apr-14,59.69,60.00,54.55,55.30,128169104,-1
20-Apr-14,55.85,55.94,54.35,55.22,102777696,0
27-Apr-14,55.26,56.35,54.94,55.70,71319696,0
4-May-14,55.63,56.37,54.68,55.58,77134000,0
11-May-14,53.88,54.74,53.24,54.01,97519600,0
18-May-14,54.27,54.83,52.97,53.31,75217400,0
25-May-14,53.08,54.60,53.06,54.53,64844700,0
1-Jun-14,54.75,55.92,54.69,55.57,49611500,0
8-Jun-14,55.65,57.13,55.02,56.97,60502500,0
15-Jun-14,56.91,57.94,56.87,57.04,61552100,0
22-Jun-14,56.85,57.81,56.33,57.55,64878200,0
29-Jun-14,57.54,58.22,56.60,57.53,65200200,0
6-Jul-14,57.44,57.99,56.82,57.05,57810900,0
13-Jul-14,56.89,56.99,54.96,55.80,65840400,0
20-Jul-14,56.53,58.98,56.20,58.23,100506704,1
27-Jul-14,58.12,59.35,57.90,59.01,50983400,0
3-Aug-14,58.94,59.28,55.97,56.48,77568600,-1
10-Aug-14,56.91,56.98,55.60,56.34,66554800,0
17-Aug-14,56.54,57.50,56.13,56.75,48372300,0
24-Aug-14,56.86,59.08,56.76,58.49,49017400,0
31-Aug-14,58.98,59.95,58.81,59.45,53682800,0
7-Sep-14,59.46,60.37,59.15,59.91,39875700,0
14-Sep-14,59.84,60.41,58.78,60.03,57938600,0
21-Sep-14,59.78,61.85,59.45,61.11,72438304,1
28-Sep-14,60.94,61.64,60.15,60.56,69571200,0
5-Oct-14,60.03,60.74,58.61,60.30,86947296,0
12-Oct-14,60.78,60.80,58.51,58.52,77833000,-1
19-Oct-14,58.50,59.15,54.26,56.20,136281600,0
26-Oct-14,56.10,58.78,56.07,58.74,64978600,0
2-Nov-14,58.45,60.54,58.25,60.48,74481600,0
9-Nov-14,60.79,61.55,59.42,61.47,64007000,0
16-Nov-14,61.25,61.93,59.99,60.28,59604200,0
23-Nov-14,60.00,61.07,59.75,60.45,50383300,0
30-Nov-14,60.70,61.31,59.95,60.16,37523800,0
7-Dec-14,59.98,63.06,59.55,62.70,69020000,1
14-Dec-14,62.60,63.16,59.96,60.04,99116800,-1
21-Dec-14,60.74,62.35,58.11,61.93,98705800,1
28-Dec-14,62.16,62.97,61.61,62.55,44125000,0
4-Jan-15,62.42,63.49,62.07,62.49,49248700,0
11-Jan-15,62.06,62.28,58.35,59.34,105385200,-1
18-Jan-15,59.28,59.70,54.50,55.93,158529200,0
25-Jan-15,56.04,57.87,55.19,56.68,92201904,0
1-Feb-15,56.41,56.99,54.37,54.38,99489600,0
8-Feb-15,54.53,58.73,54.27,57.89,90563400,0
15-Feb-15,57.42,60.22,57.23,59.67,83492000,1
22-Feb-15,59.36,60.14,58.35,59.80,56222400,0
1-Mar-15,59.50,61.92,58.80,61.28,88730304,0
8-Mar-15,61.28,62.87,60.80,60.89,77030200,0
15-Mar-15,60.84,61.86,59.96,61.00,77040600,0
22-Mar-15,61.50,62.10,60.76,61.75,72491200,0
29-Mar-15,61.75,62.08,58.87,59.55,67987904,0
5-Apr-15,60.88,61.46,59.73,60.52,68801600,0
12-Apr-15,59.92,61.78,59.65,61.70,56862900,0
19-Apr-15,61.64,64.48,61.50,62.84,114838000,0
26-Apr-15,63.22,63.60,62.03,62.60,64673900,0
3-May-15,62.70,63.89,61.77,63.61,69536400,0
10-May-15,63.68,65.65,63.25,65.49,82595296,0
17-May-15,65.26,66.18,64.76,65.88,61442700,0
24-May-15,65.80,67.19,65.80,66.47,59471000,0
31-May-15,66.20,66.65,65.31,65.78,52643100,0
7-Jun-15,65.99,67.84,65.58,67.42,72275200,0
14-Jun-15,67.46,68.68,66.47,68.25,70845696,0
21-Jun-15,67.58,68.82,67.30,68.08,78663000,0
28-Jun-15,68.87,69.82,68.64,68.95,74842096,0
5-Jul-15,67.68,68.39,67.16,67.52,67399104,0
12-Jul-15,66.88,67.46,65.21,67.05,80996600,-1
19-Jul-15,67.89,69.95,67.68,69.21,85328704,1
26-Jul-15,69.50,70.61,68.68,68.91,65411500,0
2-Aug-15,68.15,69.45,67.57,68.53,66902200,0
9-Aug-15,68.59,69.42,67.55,68.05,54504200,0
16-Aug-15,68.22,69.01,66.07,67.89,71710096,0
23-Aug-15,67.62,68.36,63.57,63.60,85350000,-1
30-Aug-15,59.29,64.73,50.07,64.13,147421408,0
6-Sep-15,63.61,64.35,60.75,61.50,92873000,0
13-Sep-15,62.77,64.34,61.45,62.56,55792400,0
20-Sep-15,62.64,64.64,60.78,60.94,88719400,0
27-Sep-15,61.52,61.91,59.46,61.47,75338200,0
4-Oct-15,60.92,61.87,58.53,60.81,92829200,0
11-Oct-15,61.24,63.03,61.22,61.93,64455600,0
18-Oct-15,61.84,62.65,59.54,62.43,91073200,0
25-Oct-15,62.00,64.19,61.91,63.87,70449800,0
1-Nov-15,63.84,65.83,63.31,64.25,69159200,0
8-Nov-15,64.45,69.03,64.39,68.46,74139800,0
15-Nov-15,68.70,68.72,65.23,65.56,64311300,0
22-Nov-15,65.46,68.11,65.17,67.54,60356400,0
29-Nov-15,67.31,67.58,66.04,67.17,34073500,0
6-Dec-15,67.28,68.00,65.58,67.89,73710096,0
13-Dec-15,67.66,67.75,63.51,64.07,72269000,0
20-Dec-15,64.23,68.00,63.60,64.40,99426496,0
27-Dec-15,65.02,66.89,64.83,66.60,48011500,0
3-Jan-16,66.29,67.30,65.71,66.03,38276400,0
10-Jan-16,63.95,64.13,58.85,58.92,114925600,0
17-Jan-16,58.83,59.68,56.22,57.04,142133200,0
24-Jan-16,57.73,57.97,54.66,56.95,111498304,0
31-Jan-16,56.48,59.54,55.60,59.50,101700200,0
7-Feb-16,59.16,59.65,55.02,57.75,114451904,0
14-Feb-16,56.69,57.57,52.50,57.49,158303296,0
21-Feb-16,58.23,59.25,57.08,57.82,78006800,0
28-Feb-16,58.51,58.88,54.33,57.54,107636200,0
6-Mar-16,57.41,60.55,56.29,60.05,98704896,1
13-Mar-16,59.54,60.05,57.81,59.34,82398304,0
20-Mar-16,59.15,60.97,57.99,60.48,90746400,0
27-Mar-16,60.22,60.82,58.87,59.48,49307000,0
3-Apr-16,59.53,60.23,58.53,59.87,70722400,0
10-Apr-16,59.44,59.57,57.07,57.74,70134000,-1
17-Apr-16,57.91,62.91,57.91,61.87,116464400,1
24-Apr-16,61.64,64.66,61.53,63.97,75503600,0
1-May-16,63.60,64.64,62.70,63.20,67248200,0
8-May-16,63.69,64.00,60.59,61.60,71489600,0
15-May-16,61.37,62.60,61.02,61.20,60542300,0
22-May-16,61.21,64.22,61.00,63.51,75077504,0
29-May-16,63.45,66.20,63.16,65.43,61666500,0
5-Jun-16,65.73,65.92,63.55,64.64,60069700,0
12-Jun-16,64.64,65.76,63.58,63.84,60041800,0
19-Jun-16,63.48,64.34,60.90,62.28,83349000,0
26-Jun-16,63.45,64.15,59.34,59.60,97160600,-1
3-Jul-16,58.71,62.19,57.05,61.26,123433800,0
10-Jul-16,60.45,62.17,58.76,61.83,74557696,0
