Date,Open,High,Low,Close,Volume,BuySell
12-Jul-15,71.00,77.80,71.00,77.31,23132020,0
19-Jul-15,79.50,79.70,76.40,79.63,45890440,0
26-Jul-15,79.95,81.20,75.95,76.41,27700660,0
2-Aug-15,76.63,79.94,76.29,79.47,15881324,0
9-Aug-15,80.00,81.19,77.29,78.46,16418928,0
16-Aug-15,79.43,80.48,75.12,76.42,16321104,0
23-Aug-15,75.86,76.41,72.26,72.27,15068029,0
30-Aug-15,68.24,75.25,61.42,74.69,27712142,0
6-Sep-15,74.21,74.43,69.64,70.57,15938605,0
13-Sep-15,71.85,74.50,70.81,73.76,13153489,0
20-Sep-15,73.50,77.76,72.56,75.44,18997976,0
27-Sep-15,75.69,76.19,71.70,73.35,17531392,0
4-Oct-15,72.81,73.27,68.65,71.41,17123072,0
11-Oct-15,72.00,75.22,71.35,74.39,16646267,0
18-Oct-15,74.41,78.00,73.00,77.39,11757154,0
25-Oct-15,76.89,79.94,76.11,77.98,13376500,0
1-Nov-15,78.18,79.20,76.21,77.97,11222588,0
8-Nov-15,78.43,78.93,71.58,72.01,20824688,0
15-Nov-15,72.00,72.86,70.25,70.77,18178736,0
22-Nov-15,71.02,75.57,70.64,73.65,17258010,0
29-Nov-15,74.03,75.00,73.68,74.61,8731504,0
6-Dec-15,74.52,75.00,71.07,72.22,18033096,-1
13-Dec-15,71.92,72.20,69.39,69.69,18274732,0
20-Dec-15,70.07,73.30,69.77,70.67,19211644,0
27-Dec-15,70.52,74.81,70.37,73.96,16676107,1
3-Jan-16,73.71,74.96,72.63,72.76,13410562,0
10-Jan-16,71.38,73.68,71.10,71.18,19505178,-1
17-Jan-16,71.35,73.44,68.18,69.20,20864368,0
24-Jan-16,70.01,74.50,68.74,74.39,19034032,1
31-Jan-16,73.70,78.22,73.34,78.06,21373172,0
7-Feb-16,77.37,77.48,72.14,72.78,31864208,0
14-Feb-16,72.09,73.30,70.01,71.92,17868972,-1
21-Feb-16,72.90,74.39,71.92,73.52,14568839,0
28-Feb-16,74.39,78.90,71.83,77.84,24531194,1
6-Mar-16,77.28,78.00,76.12,77.20,22324820,0
13-Mar-16,77.01,77.39,75.55,76.95,12446398,0
20-Mar-16,76.88,78.39,76.10,77.31,22190460,0
27-Mar-16,76.97,77.50,75.86,76.46,11471453,0
3-Apr-16,76.62,79.16,76.06,79.08,17648296,0
10-Apr-16,78.97,79.09,77.03,78.47,13952067,0
17-Apr-16,78.73,79.00,76.89,78.05,14682104,0
24-Apr-16,77.92,78.88,76.64,78.10,11186448,0
1-May-16,77.88,79.55,77.13,78.07,12060477,0
8-May-16,78.07,84.17,78.00,84.00,23518804,0
15-May-16,84.00,86.66,83.64,85.13,14975357,0
22-May-16,85.33,86.24,80.46,82.42,24805512,0
29-May-16,82.51,84.82,82.42,84.10,10781010,0
5-Jun-16,84.16,85.42,82.67,85.30,11137703,0
12-Jun-16,85.50,85.73,84.33,85.34,10981123,0
19-Jun-16,85.27,85.75,83.98,84.82,16255613,0
26-Jun-16,85.49,86.50,83.42,83.73,21163552,0
3-Jul-16,83.23,89.40,82.50,88.24,18624772,0
10-Jul-16,88.19,90.26,87.50,89.85,12881184,0
17-Jul-16,89.93,90.15,87.63,88.86,15695517,0
24-Jul-16,89.08,89.30,87.33,88.16,9854585,0
31-Jul-16,88.16,88.79,85.20,86.39,10901315,0
7-Aug-16,86.30,90.49,84.25,88.79,16430376,0
14-Aug-16,88.71,90.47,87.59,89.56,10255022,0
21-Aug-16,89.71,90.20,88.24,89.92,9271454,0
28-Aug-16,89.88,90.48,87.92,88.17,10383520,0
4-Sep-16,88.35,90.54,87.77,89.61,10500642,0
11-Sep-16,89.69,90.18,85.95,85.97,11160662,0
18-Sep-16,85.58,89.27,85.35,88.94,13949792,0
25-Sep-16,88.88,89.50,86.76,88.83,12627024,0
2-Oct-16,88.78,89.91,88.06,89.51,8557365,0
9-Oct-16,89.25,89.46,86.70,87.40,8605116,0
16-Oct-16,87.44,88.70,86.50,88.53,12844898,0
23-Oct-16,88.72,90.15,86.98,87.92,12417968,0
30-Oct-16,88.61,89.68,87.18,88.08,10376881,0
6-Nov-16,88.44,89.18,81.00,84.05,20905740,-1
13-Nov-16,85.32,88.84,80.16,81.21,23784248,0
20-Nov-16,81.01,82.93,79.92,82.53,19391872,0
27-Nov-16,82.53,84.47,81.73,82.95,9846947,0
4-Dec-16,82.95,84.50,79.93,80.91,16520129,0
11-Dec-16,80.91,83.79,79.69,83.78,17731590,0
18-Dec-16,83.60,86.56,83.29,86.46,19976824,1
25-Dec-16,86.35,87.62,85.33,87.57,12687428,0
1-Jan-17,87.66,88.16,87.03,87.32,7267509,0
8-Jan-17,87.85,87.97,85.83,86.31,10867128,0
15-Jan-17,86.25,87.77,85.41,87.03,12060780,0
22-Jan-17,86.71,89.00,86.71,88.95,9672922,0
29-Jan-17,88.66,89.90,88.20,89.43,12027763,0
5-Feb-17,89.09,89.56,88.31,89.27,10732633,0
12-Feb-17,89.30,90.54,88.50,90.20,11849876,0
19-Feb-17,90.31,97.77,86.35,96.65,47812056,0
26-Feb-17,91.82,95.48,91.35,93.08,24994966,0
5-Mar-17,92.60,92.87,90.33,91.50,17417806,0
12-Mar-17,91.02,92.09,90.44,91.51,9956308,0
19-Mar-17,91.24,93.67,90.67,91.98,16151539,0
26-Mar-17,92.03,92.95,91.32,91.68,9513731,0
2-Apr-17,91.50,91.67,90.57,90.81,8733383,0
9-Apr-17,90.80,92.42,90.27,90.70,12400963,0
16-Apr-17,90.65,92.14,90.16,91.50,8717287,0
23-Apr-17,91.80,92.63,91.03,91.60,9675146,0
30-Apr-17,92.01,92.90,89.83,90.39,11987296,0
7-May-17,90.65,91.80,87.14,89.63,17775984,-1
14-May-17,89.58,89.77,88.67,88.95,9495049,0
21-May-17,88.76,90.73,88.51,90.28,13433884,0
28-May-17,90.11,93.09,90.04,92.99,8422790,0
4-Jun-17,92.94,93.55,91.42,93.54,9207818,0
11-Jun-17,93.58,93.88,90.46,90.83,10714386,0
18-Jun-17,90.60,92.45,88.91,89.41,16111025,0
25-Jun-17,89.96,90.24,88.57,88.85,15104034,0
2-Jul-17,89.53,89.73,85.45,85.64,16302919,0
9-Jul-17,85.96,86.10,82.20,83.04,14370936,0
16-Jul-17,83.39,85.70,82.20,85.65,17189808,0
23-Jul-17,85.68,86.19,85.09,86.16,11214195,0
30-Jul-17,86.12,90.38,85.60,87.64,12762062,0
6-Aug-17,87.79,87.99,85.48,86.66,21613888,0
13-Aug-17,86.54,87.23,85.51,86.47,14402697,0
20-Aug-17,86.75,87.29,84.16,84.49,12017535,0
27-Aug-17,84.73,85.16,82.45,82.60,12214644,0
3-Sep-17,82.78,83.00,80.10,80.85,14937133,0
10-Sep-17,80.72,82.02,80.55,81.72,12581448,0
17-Sep-17,82.10,82.98,80.52,81.43,17051624,0
24-Sep-17,81.24,81.61,77.40,77.52,19087364,0
1-Oct-17,77.60,78.91,77.44,77.55,17358090,0
8-Oct-17,77.55,78.94,76.76,78.18,14891364,0
15-Oct-17,78.29,78.66,77.20,77.74,14179358,0
22-Oct-17,77.79,78.10,76.12,76.71,19811286,0
29-Oct-17,76.88,77.94,76.23,77.30,17830884,0
5-Nov-17,77.20,78.19,75.21,78.00,24716284,1
12-Nov-17,78.09,80.09,76.49,79.72,18996956,0
19-Nov-17,79.66,80.37,78.51,79.63,16663291,0
26-Nov-17,79.70,80.96,79.54,79.76,10261147,0
3-Dec-17,79.76,82.18,78.72,81.21,19608268,0
10-Dec-17,81.32,82.48,77.94,78.48,16603183,0
17-Dec-17,78.18,79.83,77.19,79.54,20163656,0
24-Dec-17,79.98,80.36,77.07,78.24,17067180,-1
31-Dec-17,78.12,78.68,77.69,77.76,8617040,0
7-Jan-18,78.22,78.33,76.88,77.84,15139252,0
14-Jan-18,77.82,78.72,76.60,77.35,18104748,0
21-Jan-18,77.97,80.67,77.56,79.66,19072024,1
28-Jan-18,79.82,80.59,78.40,79.39,17640544,0
4-Feb-18,79.17,79.88,76.65,77.19,19830012,-1
11-Feb-18,77.29,77.94,70.25,71.38,34764896,0
18-Feb-18,71.52,72.78,67.65,70.80,36339520,0
25-Feb-18,70.78,70.80,67.05,69.02,27075956,0
4-Mar-18,69.60,70.02,66.36,67.17,29155946,0
11-Mar-18,66.72,67.87,66.47,67.23,19186132,0
18-Mar-18,67.26,67.95,64.94,65.36,22007612,0
25-Mar-18,65.18,65.36,59.95,60.03,36011308,0
1-Apr-18,60.88,62.62,60.39,62.29,20367224,0
8-Apr-18,61.94,62.00,59.48,60.54,24588580,0
15-Apr-18,60.89,61.83,60.34,60.92,22112032,0
22-Apr-18,60.02,61.81,57.55,58.22,32643320,0
29-Apr-18,58.00,58.26,56.11,57.66,32182016,0
6-May-18,57.90,58.45,54.11,58.01,41759012,0
13-May-18,58.50,59.86,57.62,59.24,27417394,0
20-May-18,59.37,59.60,55.71,56.79,28448338,0
27-May-18,57.00,58.12,56.20,57.77,17943186,0
3-Jun-18,57.57,59.06,56.94,57.65,20828894,0
10-Jun-18,57.85,58.79,57.01,58.47,22141886,0
17-Jun-18,58.60,61.64,58.58,61.61,24228372,0
24-Jun-18,61.43,63.45,60.47,63.21,25696384,0
1-Jul-18,62.85,64.54,62.13,62.82,19917568,0
8-Jul-18,62.50,64.62,61.52,64.43,11505017,0
15-Jul-18,64.65,64.75,63.29,63.85,15371473,0
22-Jul-18,63.89,63.99,60.55,60.69,27043340,0
29-Jul-18,60.40,61.70,58.94,60.26,22798948,0
5-Aug-18,60.10,64.99,58.24,64.48,36885912,1
12-Aug-18,63.85,64.12,59.10,59.65,36736512,-1
19-Aug-18,59.48,61.31,58.83,61.02,28210672,0
26-Aug-18,61.03,61.68,58.75,59.03,22414884,0
2-Sep-18,59.35,59.87,57.63,58.27,23563458,0
9-Sep-18,58.45,58.62,56.06,56.59,29620936,0
16-Sep-18,56.90,59.91,56.69,58.97,32447060,0
23-Sep-18,58.02,58.49,56.38,57.12,36766920,0
30-Sep-18,57.00,57.30,54.32,55.11,28365980,0
7-Oct-18,55.49,56.50,55.14,55.89,24047074,0
14-Oct-18,55.85,57.48,53.03,54.24,41444892,0
21-Oct-18,54.05,57.76,54.05,57.56,31694014,0
28-Oct-18,57.66,58.08,54.30,54.65,31845602,0
4-Nov-18,55.17,56.50,50.41,50.73,50943712,0
11-Nov-18,51.07,54.15,51.04,53.99,33329952,0
