Date,Open,High,Low,Close,Volume,BuySell
15-Mar-20,27.00,28.69,25.12,25.95,73414400,0
22-Mar-20,28.80,29.38,26.73,28.81,73250400,0
29-Mar-20,28.73,29.70,25.18,26.17,50681300,0
5-Apr-20,25.91,26.67,24.77,26.30,31900500,0
12-Apr-20,25.29,25.46,23.59,23.89,28963600,0
19-Apr-20,23.96,24.11,22.08,22.23,25976000,0
26-Apr-20,22.43,23.43,22.14,22.28,22514700,0
3-May-20,22.06,22.56,21.63,22.37,23641300,0
10-May-20,22.48,22.52,21.12,21.13,19987900,0
17-May-20,21.27,21.97,20.84,21.25,26607500,0
24-May-20,20.96,21.04,20.43,20.64,22939700,0
31-May-20,20.31,21.16,20.29,20.35,22673700,0
7-Jun-20,20.39,20.43,19.70,19.76,23383400,0
14-Jun-20,19.76,20.37,19.09,20.01,36111500,0
21-Jun-20,20.32,20.39,19.10,19.31,29673100,0
28-Jun-20,19.31,19.61,18.74,19.59,35969700,0
5-Jul-20,19.61,19.81,18.48,18.65,27374400,0
12-Jul-20,18.38,18.39,17.76,17.78,30405200,0
19-Jul-20,17.59,18.55,17.39,18.09,43844000,0
26-Jul-20,18.03,18.62,17.45,18.32,41584200,0
2-Aug-20,18.20,18.25,17.58,17.60,28338300,0
9-Aug-20,17.45,17.45,16.99,17.20,23956100,0
16-Aug-20,17.19,17.64,16.98,17.14,26247700,0
23-Aug-20,17.03,17.04,16.52,16.55,20971500,0
30-Aug-20,16.36,16.58,15.86,15.94,23867600,0
6-Sep-20,15.89,17.04,15.35,16.37,57842400,0
13-Sep-20,17.04,17.32,16.40,17.10,50121800,0
20-Sep-20,16.87,17.58,16.48,17.33,30414200,0
27-Sep-20,17.58,17.72,16.88,16.95,38213500,0
4-Oct-20,16.64,16.80,16.25,16.76,30239600,0
11-Oct-20,16.64,16.73,16.05,16.06,18699100,0
18-Oct-20,15.77,15.99,15.40,15.89,23339800,0
25-Oct-20,15.76,16.31,15.72,16.07,19264000,0
1-Nov-20,16.24,17.09,16.05,16.94,35262600,0
8-Nov-20,16.80,17.10,15.40,15.45,38129800,-1
15-Nov-20,15.29,16.19,15.21,15.60,35150700,0
22-Nov-20,15.64,15.72,15.46,15.65,11591600,0
29-Nov-20,15.59,15.76,15.12,15.17,10269800,0
6-Dec-20,15.16,15.39,14.83,14.85,12703200,0
13-Dec-20,14.85,15.21,14.70,15.01,16789700,0
20-Dec-20,14.95,14.96,14.53,14.63,11568500,0
27-Dec-20,14.76,14.89,14.56,14.62,8521900,0
3-Jan-21,14.47,14.57,14.37,14.41,9467300,0
10-Jan-21,14.35,14.81,14.14,14.14,21015400,0
17-Jan-21,14.28,14.53,14.21,14.46,11867300,0
24-Jan-21,14.37,14.41,13.78,13.86,11239500,0
31-Jan-21,13.71,14.39,13.64,14.30,31110400,0
7-Feb-21,14.14,14.24,13.53,13.56,19266100,0
14-Feb-21,13.50,13.64,13.35,13.35,17578700,0
21-Feb-21,13.32,13.69,13.29,13.59,15571700,0
28-Feb-21,13.77,14.42,13.71,14.25,51662200,1
7-Mar-21,14.04,15.03,13.81,14.48,56360600,0
14-Mar-21,14.51,14.92,13.93,14.12,46612600,0
21-Mar-21,14.12,14.37,13.74,14.21,34897000,0
28-Mar-21,14.10,14.45,13.84,14.05,35690800,0
4-Apr-21,14.07,14.25,13.67,13.67,23453600,-1
11-Apr-21,13.56,13.58,13.14,13.16,20529200,0
18-Apr-21,13.19,13.25,12.95,12.96,34717100,0
25-Apr-21,13.01,13.27,12.97,13.05,40616000,0
2-May-21,13.04,13.14,12.91,13.11,36760500,0
9-May-21,13.05,13.55,13.02,13.23,48266800,0
16-May-21,13.29,13.98,13.29,13.52,57729800,1
23-May-21,13.60,13.95,13.33,13.48,33673100,0
30-May-21,13.40,13.40,13.14,13.21,27210000,0
6-Jun-21,13.15,13.43,13.11,13.12,22603700,0
13-Jun-21,13.15,13.18,12.91,12.91,22119600,-1
20-Jun-21,12.90,13.05,12.71,12.86,37462800,0
27-Jun-21,12.86,12.93,12.51,12.58,33604000,0
4-Jul-21,12.54,12.54,12.23,12.23,29390700,0
11-Jul-21,12.23,12.39,12.12,12.17,38061400,0
18-Jul-21,12.12,12.29,12.02,12.29,36578400,0
25-Jul-21,12.41,12.47,12.34,12.36,12772767,0
