Date,Open,High,Low,Close,Volume,BuySell
29-Aug-21,40.15,40.20,37.65,37.85,76915104,0
5-Sep-21,37.60,37.60,35.85,36.15,78839536,0
12-Sep-21,36.10,37.70,35.80,37.65,68248624,0
19-Sep-21,36.90,38.70,36.75,38.40,107149040,0
26-Sep-21,40.15,42.25,38.00,38.20,109160000,0
3-Oct-21,39.25,44.45,38.90,42.35,123457120,0
10-Oct-21,42.95,45.85,40.25,41.85,118620704,0
17-Oct-21,42.35,43.45,39.05,39.05,90607104,0
24-Oct-21,39.50,39.70,36.45,37.40,75764240,0
31-Oct-21,37.00,37.60,33.90,33.95,105563040,0
7-Nov-21,33.85,34.45,30.25,30.85,117760640,0
14-Nov-21,30.85,33.45,30.55,31.60,135286976,0
21-Nov-21,31.40,32.30,29.20,29.45,116110304,0
28-Nov-21,29.15,32.70,28.45,32.30,130857856,0
5-Dec-21,31.15,35.20,29.90,34.10,210024160,0
12-Dec-21,34.05,35.15,29.75,30.15,186281904,0
19-Dec-21,30.15,33.85,29.90,33.00,203956464,0
26-Dec-21,34.35,34.85,29.50,29.90,120257160,0
2-Jan-22,29.60,29.70,28.15,29.70,104475584,0
9-Jan-22,29.35,34.20,28.60,33.70,199353440,0
16-Jan-22,35.05,36.55,31.05,33.50,275556288,0
23-Jan-22,35.06,41.91,34.49,41.79,265204192,1
30-Jan-22,43.90,48.08,39.57,41.32,483042400,0
6-Feb-22,40.82,41.42,35.22,38.55,357289792,-1
13-Feb-22,38.26,42.08,35.63,41.62,428156416,0
20-Feb-22,41.92,44.20,38.13,43.29,467985216,1
27-Feb-22,44.49,52.87,41.13,41.17,451639008,-1
6-Mar-22,42.35,45.00,39.55,44.11,493686208,1
13-Mar-22,44.11,51.22,43.66,48.54,476321792,0
20-Mar-22,49.22,51.75,37.33,37.49,459622496,-1
27-Mar-22,37.71,39.18,34.29,34.65,468923296,0
3-Apr-22,34.67,35.04,31.17,33.78,431339488,0
10-Apr-22,33.54,37.44,31.70,37.20,449222592,0
17-Apr-22,38.66,40.91,37.51,40.54,355341504,0
24-Apr-22,40.93,45.30,37.10,45.14,491128192,1
1-May-22,45.84,49.41,42.45,49.03,676691968,0
8-May-22,49.36,51.79,41.53,49.81,820263424,0
15-May-22,52.67,62.61,50.88,52.44,830727872,0
22-May-22,53.25,63.86,49.73,58.73,691904768,0
29-May-22,58.10,62.23,46.97,47.01,555756032,-1
5-Jun-22,47.02,49.70,44.40,47.96,483723808,0
12-Jun-22,45.81,56.68,45.05,56.52,522484096,0
19-Jun-22,61.81,67.69,56.38,63.96,671318912,1
26-Jun-22,60.76,61.14,51.00,51.01,370875584,-1
3-Jul-22,50.18,61.47,49.91,57.62,559657408,1
10-Jul-22,59.98,60.94,49.31,50.04,384973088,-1
17-Jul-22,51.31,58.51,51.16,51.64,543353728,0
24-Jul-22,50.08,53.51,43.29,46.08,571490688,0
31-Jul-22,46.10,50.05,39.45,39.83,546107392,0
7-Aug-22,40.52,41.21,36.38,37.38,649261568,0
14-Aug-22,37.05,39.64,34.23,34.29,554780032,0
21-Aug-22,34.60,36.92,33.05,36.66,522704288,0
28-Aug-22,38.19,41.91,36.96,41.86,542776000,0
4-Sep-22,43.08,48.28,42.00,47.23,769336320,1
11-Sep-22,47.08,49.38,41.57,41.84,557045120,-1
18-Sep-22,41.21,50.89,40.17,49.12,789139520,1
25-Sep-22,50.41,58.31,46.41,56.26,746793728,0
2-Oct-22,56.63,61.35,52.77,61.32,769013824,0
9-Oct-22,60.00,61.09,50.54,59.07,692253504,0
16-Oct-22,58.90,69.55,57.05,64.38,823145280,0
23-Oct-22,59.79,59.84,52.87,54.08,762721280,-1
30-Oct-22,53.91,56.08,48.84,50.18,712964480,0
6-Nov-22,51.38,63.57,49.60,59.55,739510976,0
13-Nov-22,58.84,60.54,44.02,44.37,666751488,0
20-Nov-22,45.34,47.75,41.79,45.83,687384512,0
27-Nov-22,46.55,48.00,43.62,44.83,315307488,0
4-Dec-22,45.81,48.61,40.47,41.79,543728896,0
11-Dec-22,42.69,48.09,42.14,46.49,571358016,0
18-Dec-22,46.41,51.12,39.48,50.24,677025280,1
25-Dec-22,50.16,56.26,49.50,53.50,516715712,0
1-Jan-23,53.95,58.29,53.27,54.01,365135616,0
8-Jan-23,52.59,56.57,51.68,55.15,85258416,0
