Date,Open,High,Low,Close,Volume,BuySell
8-Jan-16,12650.72,12659.41,10376.29,10888.91,1109454720,0
15-Jan-16,10656.87,10809.57,9668.90,9997.92,1137549952,0
22-Jan-16,9807.25,10554.04,9807.25,10111.57,1042635584,0
29-Jan-16,10194.75,10291.50,8986.52,9418.20,950230336,0
5-Feb-16,9389.62,9844.02,9196.15,9673.48,807029632,0
19-Feb-16,9385.52,10273.63,9385.52,10162.32,996174400,0
26-Feb-16,10290.05,10397.52,9392.67,9573.70,1165139840,0
4-Mar-16,9528.72,9946.93,9000.89,9536.71,1237700352,0
11-Mar-16,9642.25,9805.37,9254.24,9363.41,888039104,0
18-Mar-16,9466.42,10170.69,9418.55,10126.59,1087657472,0
25-Mar-16,10255.90,10473.22,10223.16,10339.68,1345451008,0
1-Apr-16,10399.17,10552.58,10024.06,10379.65,1143974656,0
8-Apr-16,10393.65,10743.23,10288.80,10413.54,1012232384,0
15-Apr-16,10513.87,10810.41,10430.31,10733.63,1232602880,0
22-Apr-16,10665.44,10665.44,9976.04,10151.76,1086433920,0
29-Apr-16,10122.13,10279.09,9986.39,10141.54,785045632,0
6-May-16,10144.15,10501.43,10100.54,10100.54,849386496,0
13-May-16,10018.51,10018.51,9544.12,9759.27,791399680,0
20-May-16,9729.79,10007.38,9591.18,9816.75,810808768,0
27-May-16,9839.78,9937.83,9605.45,9813.63,802336320,0
3-Jun-16,9756.87,10412.95,9681.24,10344.91,1143001344,1
8-Jun-16,10383.45,10403.80,10232.13,10316.82,616018240,0
17-Jun-16,10190.78,10261.96,9779.11,10182.53,1093209728,0
24-Jun-16,10183.77,10357.18,9901.90,10147.70,1119778176,0
1-Jul-16,10090.05,10555.95,10090.05,10458.43,1180775040,0
8-Jul-16,10369.69,10672.92,10362.85,10611.80,1275521280,0
15-Jul-16,10633.62,10890.02,10487.55,10823.21,1291836800,0
22-Jul-16,10793.17,10872.34,10661.39,10709.07,1046196224,0
29-Jul-16,10684.55,10873.26,10262.30,10329.43,1088643584,0
5-Aug-16,10289.88,10420.42,10086.64,10342.28,775300544,0
12-Aug-16,10315.00,10594.77,10259.30,10528.10,890825088,0
