Date,Open,High,Low,Close,Volume,BuySell
8-Jan-16,2417.02,2417.02,2154.58,2219.61,183393136,0
15-Jan-16,2182.85,2202.32,2052.30,2070.93,186925408,0
22-Jan-16,2040.41,2135.36,2026.27,2061.96,164669120,0
29-Jan-16,2067.56,2074.90,1900.35,1973.01,166754608,0
5-Feb-16,1970.21,1983.25,1917.24,1967.26,120937880,0
19-Feb-16,1916.42,2034.16,1914.49,2004.11,136451968,0
26-Feb-16,2025.18,2064.61,1925.20,1955.40,160930720,0
4-Mar-16,1951.68,2128.57,1891.10,2122.27,251166048,0
11-Mar-16,2122.55,2133.56,2037.29,2070.72,162461824,0
18-Mar-16,2079.91,2165.15,2055.32,2141.18,230478848,0
25-Mar-16,2156.95,2214.64,2135.53,2149.20,220704544,0
1-Apr-16,2152.81,2171.79,2100.92,2167.78,154380080,0
8-Apr-16,2151.37,2186.92,2114.26,2123.80,115879992,0
15-Apr-16,2140.56,2197.74,2135.29,2182.07,149416880,0
22-Apr-16,2166.00,2173.09,2093.82,2157.72,141194352,0
29-Apr-16,2149.25,2163.24,2130.30,2135.51,80427808,0
6-May-16,2136.20,2167.73,2106.44,2107.01,82661832,0
13-May-16,2100.64,2100.64,2055.51,2076.19,92462032,0
20-May-16,2068.92,2083.85,2053.72,2083.12,79407496,0
27-May-16,2082.97,2095.17,2062.17,2074.92,62572656,0
3-Jun-16,2076.93,2158.72,2065.64,2152.64,120722272,0
8-Jun-16,2148.96,2151.06,2124.84,2132.96,44133120,0
17-Jun-16,2113.91,2122.46,2073.10,2102.20,91748560,0
24-Jun-16,2109.57,2130.90,2052.98,2076.30,81229976,0
1-Jul-16,2070.94,2133.35,2070.82,2127.09,100019720,0
8-Jul-16,2121.90,2174.42,2120.49,2148.76,134044704,0
15-Jul-16,2152.74,2222.25,2150.37,2192.39,157880544,1
22-Jul-16,2190.47,2205.80,2154.36,2157.23,102334184,0
29-Jul-16,2155.32,2186.08,2125.27,2155.24,115459152,0
5-Aug-16,2151.54,2159.14,2130.17,2148.68,79174496,0
12-Aug-16,2147.70,2222.69,2137.52,2222.49,118006680,0
19-Aug-16,2227.08,2310.28,2225.62,2249.34,218624752,0
26-Aug-16,2249.08,2256.33,2205.01,2219.31,105588816,0
2-Sep-16,2219.02,2237.66,2205.12,2229.89,96088504,0
9-Sep-16,2230.41,2246.37,2217.48,2229.31,92748560,0
14-Sep-16,2201.68,2202.90,2172.40,2176.52,67685472,-1
23-Sep-16,2178.76,2210.79,2178.76,2196.29,64730748,0
30-Sep-16,2190.39,2190.39,2162.44,2177.35,59927948,0
14-Oct-16,2187.65,2212.43,2185.47,2209.81,98207720,0
21-Oct-16,2207.35,2246.58,2189.27,2240.75,139813296,1
28-Oct-16,2245.46,2285.08,2243.63,2253.80,160845072,0
4-Nov-16,2247.99,2284.95,2236.20,2271.93,141196208,0
11-Nov-16,2271.96,2315.96,2244.43,2308.43,187429600,0
18-Nov-16,2304.61,2338.58,2297.74,2307.27,198693440,0
25-Nov-16,2304.77,2394.71,2304.77,2393.95,259051216,0
2-Dec-16,2406.70,2455.43,2395.81,2416.51,390796768,0
9-Dec-16,2378.21,2422.78,2358.87,2411.31,258849648,0
16-Dec-16,2408.09,2423.39,2298.43,2302.32,231739808,-1
23-Dec-16,2299.71,2304.60,2262.88,2278.48,156735888,0
30-Dec-16,2266.38,2300.16,2251.71,2286.90,127303976,0
