Date,Open,High,Low,Close,Volume,BuySell
20-Sep-20,75.00,76.79,67.00,68.35,20621000,0
27-Sep-20,67.11,93.36,65.11,89.85,22461700,0
4-Oct-20,94.46,102.63,81.55,83.53,17786700,0
11-Oct-20,85.83,100.42,82.30,99.11,8520200,0
18-Oct-20,100.13,101.00,87.00,92.56,10389800,0
25-Oct-20,94.00,103.97,86.10,97.28,12146800,0
1-Nov-20,98.00,109.28,91.63,94.88,19215100,0
8-Nov-20,96.67,119.88,93.37,119.00,11294900,0
15-Nov-20,116.88,117.03,98.00,114.77,14968700,0
22-Nov-20,109.00,124.18,105.37,122.80,14634800,0
29-Nov-20,123.31,148.00,122.60,147.62,7164900,0
6-Dec-20,147.00,155.95,135.51,150.94,9805100,0
13-Dec-20,151.90,170.55,149.12,152.50,10337200,0
20-Dec-20,154.50,158.43,142.33,157.77,10908200,0
27-Dec-20,158.00,174.94,155.10,164.92,6111000,0
3-Jan-21,169.36,170.02,147.24,153.47,5744600,0
10-Jan-21,155.00,155.25,135.20,146.20,14428200,0
