Date,Open,High,Low,Close,Volume,BuySell
13-Jan-13,1570000.00,1595000.00,1413000.00,1416000.00,300,0
20-Jan-13,1409000.00,1432000.00,1144000.00,1156000.00,300,0
27-Jan-13,1158000.00,1200000.00,1010000.00,1056000.00,500,0
3-Feb-13,1050000.00,1208000.00,1030000.00,1064000.00,500,0
10-Feb-13,1128000.00,1212000.00,1041000.00,1053000.00,600,0
17-Feb-13,1043000.00,1062000.00,947000.00,960000.00,500,0
24-Feb-13,945000.00,1139000.00,871000.00,991000.00,700,0
3-Mar-13,925000.00,1384000.00,900000.00,1126000.00,1800,0
10-Mar-13,1159000.00,1170000.00,875000.00,886000.00,900,0
17-Mar-13,884000.00,892000.00,786000.00,793000.00,1100,0
24-Mar-13,896000.00,970000.00,780000.00,824000.00,1600,0
31-Mar-13,781000.00,850000.00,752000.00,769000.00,1100,0
7-Apr-13,762000.00,843000.00,715000.00,757000.00,1300,0
14-Apr-13,743000.00,765000.00,626000.00,628000.00,1000,0
21-Apr-13,637000.00,895000.00,618000.00,733000.00,2300,0
28-Apr-13,742000.00,777000.00,616000.00,648000.00,1000,0
5-May-13,629000.00,683000.00,602000.00,608000.00,1000,0
12-May-13,607000.00,629000.00,566000.00,594000.00,800,0
19-May-13,596000.00,609000.00,562000.00,565000.00,900,0
26-May-13,580000.00,663000.00,563000.00,611000.00,1300,0
2-Jun-13,575000.00,639000.00,568000.00,634000.00,900,0
9-Jun-13,634000.00,782000.00,622000.00,625000.00,1400,0
16-Jun-13,608300.00,792000.00,603500.00,734900.00,2200,1
23-Jun-13,699800.00,887500.00,623400.00,781300.00,2700,0
30-Jun-13,862800.00,898400.00,692700.00,716900.00,1900,0
7-Jul-13,694500.00,711700.00,605700.00,605700.00,1200,-1
14-Jul-13,572000.00,577500.00,479300.00,498200.00,1600,0
21-Jul-13,488800.00,512100.00,427300.00,432400.00,1500,0
28-Jul-13,426100.00,435000.00,393900.00,396100.00,1500,0
4-Aug-13,404300.00,414000.00,331900.00,333300.00,1800,0
11-Aug-13,330600.00,369800.00,322400.00,349500.00,2000,0
18-Aug-13,364400.00,383500.00,332100.00,367300.00,2500,0
25-Aug-13,370500.00,406800.00,356600.00,357600.00,2600,0
1-Sep-13,350400.00,485900.00,345100.00,469500.00,3500,1
8-Sep-13,427700.00,453400.00,398300.00,418200.00,2200,-1
15-Sep-13,409600.00,414500.00,325100.00,336600.00,2400,0
22-Sep-13,321300.00,335400.00,288800.00,306400.00,2700,0
29-Sep-13,305300.00,326900.00,295800.00,321400.00,3500,0
6-Oct-13,349800.00,397100.00,320100.00,359500.00,4600,0
13-Oct-13,388300.00,475000.00,313600.00,324600.00,5900,0
20-Oct-13,349700.00,376900.00,240400.00,250600.00,5900,0
27-Oct-13,239300.00,274000.00,238700.00,249400.00,3400,0
3-Nov-13,251700.00,262500.00,244100.00,248900.00,3000,0
10-Nov-13,245200.00,248500.00,222600.00,222800.00,4900,0
17-Nov-13,223100.00,226900.00,207600.00,208300.00,5100,0
24-Nov-13,201700.00,218300.00,184800.00,184900.00,5500,0
1-Dec-13,181300.00,193700.00,181100.00,193200.00,1800,0
8-Dec-13,191700.00,220100.00,187700.00,189600.00,5600,0
15-Dec-13,187200.00,217000.00,185200.00,209500.00,4800,0
22-Dec-13,204400.00,220600.00,177700.00,184800.00,5000,0
29-Dec-13,180200.00,181400.00,156600.00,162600.00,2100,0
5-Jan-14,164700.00,176800.00,162400.00,172400.00,2600,0
12-Jan-14,166500.00,171500.00,153300.00,154100.00,3700,0
19-Jan-14,155300.00,169900.00,150200.00,155400.00,4200,0
26-Jan-14,152200.00,187900.00,146000.00,182025.00,5600,0
2-Feb-14,180275.00,225500.00,167500.00,218825.00,10700,1
9-Feb-14,224350.00,271025.00,172400.00,180500.00,9500,-1
16-Feb-14,179225.00,184375.00,150250.00,152525.00,6900,0
23-Feb-14,150250.00,171900.00,148300.00,160200.00,6200,0
2-Mar-14,158700.00,172250.00,152500.00,165250.00,8300,0
9-Mar-14,185750.00,192350.00,155000.00,164025.00,9600,0
16-Mar-14,166650.00,197025.00,158125.00,190500.00,11000,1
23-Mar-14,180000.00,180400.00,156500.00,165525.00,9200,-1
30-Mar-14,164250.00,174625.00,158325.00,159600.00,10200,0
6-Apr-14,156900.00,157100.00,136350.00,147300.00,8500,0
13-Apr-14,150275.00,171850.00,140350.00,167500.00,11900,1
20-Apr-14,161375.00,179300.00,144525.00,145400.00,8500,-1
27-Apr-14,145025.00,151300.00,137300.00,145900.00,7200,0
4-May-14,143850.00,149125.00,131500.00,133650.00,7300,0
11-May-14,137300.00,139000.00,121850.00,121950.00,7800,0
18-May-14,119000.00,121850.00,110925.00,111250.00,8300,0
25-May-14,112300.00,112500.00,100800.00,101475.00,6200,0
1-Jun-14,97700.00,98525.00,92775.00,93375.00,6100,0
8-Jun-14,93625.00,95475.00,75975.00,76075.00,9600,0
15-Jun-14,75475.00,89000.00,73875.00,83250.00,13200,0
22-Jun-14,83825.00,85825.00,66950.00,71575.00,12300,0
29-Jun-14,70725.00,75575.00,67300.00,67975.00,13900,0
6-Jul-14,67750.00,68425.00,59200.00,60250.00,9100,0
13-Jul-14,61175.00,69225.00,60800.00,65025.00,14400,0
20-Jul-14,62050.00,74800.00,59225.00,62500.00,17800,0
27-Jul-14,63725.00,68025.00,61125.00,66650.00,12100,0
3-Aug-14,66000.00,90325.00,63550.00,86825.00,21900,1
10-Aug-14,85050.00,97775.00,74875.00,86850.00,23900,0
17-Aug-14,83325.00,84100.00,61575.00,65000.00,19900,-1
24-Aug-14,60975.00,62250.00,58300.00,59750.00,15300,0
31-Aug-14,58400.00,64200.00,57800.00,61525.00,12900,0
7-Sep-14,61375.00,63300.00,58400.00,58550.00,12300,0
14-Sep-14,58900.00,65475.00,58375.00,63550.00,16000,0
21-Sep-14,64050.00,68300.00,55550.00,57400.00,20400,0
28-Sep-14,58600.00,72400.00,58425.00,65800.00,27000,1
5-Oct-14,73025.00,82600.00,64925.00,66600.00,23100,0
12-Oct-14,63475.00,94125.00,62125.00,93975.00,30100,0
19-Oct-14,90450.00,140700.00,87375.00,104675.00,44700,0
26-Oct-14,106100.00,107175.00,72275.00,75550.00,32600,-1
2-Nov-14,77925.00,80625.00,61850.00,62750.00,28000,0
9-Nov-14,62700.00,69375.00,57150.00,57450.00,22700,0
16-Nov-14,56875.00,58600.00,51900.00,55725.00,23900,0
23-Nov-14,56775.00,58500.00,51700.00,52850.00,18200,0
30-Nov-14,51925.00,52350.00,47950.00,50725.00,12800,0
7-Dec-14,52800.00,56000.00,44050.00,45675.00,23300,0
14-Dec-14,46150.00,76175.00,44675.00,75200.00,44900,1
21-Dec-14,68450.00,80700.00,55650.00,57375.00,41500,-1
28-Dec-14,54125.00,55000.00,50375.00,52175.00,12300,0
4-Jan-15,52550.00,68050.00,50975.00,60825.00,20400,0
11-Jan-15,64200.00,78000.00,58100.00,63925.00,40000,1
18-Jan-15,65000.00,85025.00,64525.00,78050.00,46600,0
25-Jan-15,73575.00,81975.00,58700.00,63425.00,29000,-1
1-Feb-15,62375.00,81775.00,57750.00,80900.00,54200,1
8-Feb-15,75975.00,83300.00,61700.00,69500.00,52000,-1
15-Feb-15,72250.00,73375.00,55875.00,56425.00,42000,0
22-Feb-15,57500.00,58400.00,48750.00,49525.00,28000,0
1-Mar-15,50575.00,51175.00,42150.00,44600.00,43800,0
8-Mar-15,44225.00,46625.00,41625.00,45950.00,53900,0
15-Mar-15,45250.00,50375.00,43550.00,45575.00,51700,0
22-Mar-15,44450.00,45375.00,35800.00,38150.00,45900,0
29-Mar-15,37525.00,42075.00,35000.00,38100.00,55000,0
5-Apr-15,36325.00,47800.00,35450.00,36025.00,32700,0
12-Apr-15,36825.00,37100.00,27975.00,28050.00,68500,0
19-Apr-15,27250.00,30600.00,25950.00,28225.00,69700,0
26-Apr-15,27125.00,27425.00,24675.00,24825.00,34300,0
3-May-15,24325.00,28125.00,24200.00,24425.00,56100,0
10-May-15,24075.00,28750.00,23700.00,23800.00,59200,0
17-May-15,24000.00,26625.00,22650.00,22675.00,46400,0
24-May-15,22675.00,22750.00,19105.00,19560.00,86300,0
31-May-15,20005.00,21445.00,19285.00,20260.00,99800,0
7-Jun-15,19775.00,21565.00,19430.00,20365.00,106500,0
14-Jun-15,20560.00,21775.00,17930.00,18575.00,84200,0
21-Jun-15,19500.00,20750.00,17735.00,18475.00,90300,0
28-Jun-15,17570.00,17825.00,15665.00,16570.00,99000,0
5-Jul-15,18640.00,24030.00,18120.00,21295.00,177700,1
12-Jul-15,23335.00,24800.00,20065.00,20655.00,185300,-1
19-Jul-15,18390.00,18585.00,13750.00,13760.00,122500,0
26-Jul-15,13780.00,14940.00,12940.00,14555.00,128400,0
2-Aug-15,15695.00,16735.00,12655.00,13020.00,149100,0
9-Aug-15,12930.00,13970.00,12170.00,13205.00,158300,0
16-Aug-15,12545.00,15250.00,12175.00,12910.00,142300,0
23-Aug-15,13170.00,21125.00,12485.00,20955.00,197500,1
30-Aug-15,34185.00,36845.00,21340.00,31525.00,305800,0
6-Sep-15,32280.00,45625.00,29500.00,39210.00,210800,0
13-Sep-15,34500.00,35930.00,28625.00,30390.00,151300,-1
20-Sep-15,30235.00,31800.00,17520.00,26455.00,189600,0
27-Sep-15,24955.00,29190.00,22940.00,26980.00,215500,0
4-Oct-15,28880.00,32320.00,24500.00,24500.00,189700,0
11-Oct-15,23495.00,23620.00,18520.00,19055.00,148500,0
18-Oct-15,18960.00,20080.00,15755.00,15960.00,181200,0
25-Oct-15,16070.00,16940.00,12865.00,13870.00,222500,0
1-Nov-15,14250.00,15200.00,13275.00,14105.00,180200,0
8-Nov-15,14060.00,14525.00,12450.00,12885.00,199100,0
15-Nov-15,12995.00,18880.00,12885.00,18705.00,274200,0
22-Nov-15,18625.00,18900.00,14075.00,14445.00,272800,0
29-Nov-15,14250.00,14720.00,13225.00,13590.00,139600,0
6-Dec-15,13395.00,15750.00,11915.00,12385.00,295200,0
13-Dec-15,12460.00,20555.00,12445.00,19905.00,378100,1
20-Dec-15,19545.00,21545.00,12950.00,16975.00,365700,-1
27-Dec-15,15650.00,16970.00,12940.00,13610.00,169900,0
3-Jan-16,14100.00,14630.00,12685.00,14175.00,175300,0
10-Jan-16,16465.00,21985.00,14765.00,21410.00,413100,1
17-Jan-16,20860.00,25695.00,17270.00,24075.00,435500,0
24-Jan-16,22325.00,29500.00,20875.00,20930.00,291700,-1
31-Jan-16,21470.00,23170.00,19115.00,19235.00,264300,0
7-Feb-16,19430.00,23665.00,18315.00,22800.00,304000,0
14-Feb-16,24540.00,30960.00,23595.00,26630.00,323700,1
21-Feb-16,24860.00,25685.00,20920.00,20975.00,189300,-1
28-Feb-16,19780.00,22900.00,18000.00,19305.00,258700,0
6-Mar-16,19130.00,19975.00,14155.00,15125.00,224400,0
13-Mar-16,15735.00,16800.00,13775.00,13810.00,257800,0
20-Mar-16,13965.00,14250.00,11325.00,11750.00,253300,0
27-Mar-16,11760.00,12800.00,10625.00,11665.00,238000,0
3-Apr-16,11415.00,11815.00,9055.00,9110.00,285000,0
10-Apr-16,9075.00,11465.00,8985.00,10460.00,328800,0
17-Apr-16,10115.00,11265.00,8705.00,8720.00,368200,0
24-Apr-16,8930.00,8945.00,7350.00,7755.00,421900,0
1-May-16,7995.00,9250.00,6895.00,8510.00,456100,0
8-May-16,8190.00,8765.00,7345.00,7635.00,431700,0
15-May-16,7465.00,7525.00,6400.00,7315.00,416800,0
22-May-16,7210.00,8000.00,6475.00,6750.00,540200,0
29-May-16,6730.00,6835.00,5420.00,5425.00,355900,0
5-Jun-16,5275.00,5730.00,4930.00,4995.00,360900,0
12-Jun-16,4940.00,6105.00,4675.00,6045.00,428100,0
19-Jun-16,6600.00,8560.00,6290.00,6960.00,798700,0
26-Jun-16,6045.00,7770.00,5130.00,7475.00,728400,1
3-Jul-16,7465.00,8340.00,4375.00,4425.00,756700,-1
10-Jul-16,4585.00,4915.00,3605.00,3660.00,479100,0
17-Jul-16,3555.00,3680.00,3260.00,3345.00,496300,0
24-Jul-16,3370.00,3405.00,2980.00,3050.00,467000,0
31-Jul-16,3005.00,3243.00,2490.00,2535.00,1155200,0
7-Aug-16,2489.00,2780.00,2147.00,2203.00,1535000,0
14-Aug-16,2144.00,2213.00,1955.00,2070.00,1304800,0
21-Aug-16,2026.00,2240.00,1960.00,1975.00,1204800,0
28-Aug-16,2002.00,2221.00,1925.00,2083.00,1751900,0
4-Sep-16,2069.00,2087.00,1824.00,1827.00,1382000,0
11-Sep-16,1795.00,2250.00,1676.00,2242.00,1470300,1
18-Sep-16,2292.00,2610.00,1895.00,2208.00,3063000,0
25-Sep-16,2057.00,2179.00,1608.00,1649.00,1633500,-1
2-Oct-16,1774.00,1917.00,1567.00,1665.00,2212200,0
9-Oct-16,1703.00,1729.00,1553.00,1589.00,1735300,0
16-Oct-16,1550.00,1917.00,1493.00,1758.00,2181700,0
23-Oct-16,1736.00,1788.00,1418.00,1423.00,1492200,0
30-Oct-16,1358.00,1640.00,1310.00,1588.00,1737100,0
6-Nov-16,1569.00,2084.00,1562.00,2039.00,2908600,1
13-Nov-16,1690.00,1727.00,1252.00,1354.00,3409900,-1
20-Nov-16,1370.00,1442.00,1140.00,1152.00,1629000,0
27-Nov-16,1124.00,1126.00,1041.00,1057.00,802600,0
4-Dec-16,1077.00,1182.00,1023.00,1144.00,1556600,0
11-Dec-16,1063.00,1074.00,878.00,914.00,1741700,0
18-Dec-16,913.00,974.00,875.00,885.00,1566800,0
25-Dec-16,865.00,866.00,758.00,783.00,1031200,0
1-Jan-17,783.00,892.00,750.00,875.00,1126000,0
8-Jan-17,803.00,814.00,623.00,651.00,1275600,0
15-Jan-17,651.00,672.60,596.00,612.60,2977600,0
22-Jan-17,629.60,633.40,568.00,568.00,3306200,0
29-Jan-17,570.00,591.00,473.60,476.60,4028900,0
5-Feb-17,496.40,544.60,459.60,470.60,5358100,0
12-Feb-17,480.20,491.20,432.20,438.20,3952600,0
19-Feb-17,423.40,443.20,369.80,405.00,5634900,0
26-Feb-17,393.60,476.40,390.60,428.80,4239400,0
5-Mar-17,430.00,450.60,399.40,402.60,5103600,0
12-Mar-17,401.20,404.80,372.80,378.00,5023200,0
19-Mar-17,375.60,381.40,316.60,326.40,5663800,0
26-Mar-17,325.20,398.00,309.20,364.40,9840600,0
2-Apr-17,393.20,398.00,303.20,323.40,6197100,0
9-Apr-17,323.40,351.80,303.80,350.00,7868500,0
16-Apr-17,352.40,435.00,343.60,429.20,9153100,1
23-Apr-17,414.20,415.00,362.20,379.80,8481300,-1
30-Apr-17,317.60,328.00,282.20,283.60,6170600,0
7-May-17,278.00,279.00,256.40,263.00,5920600,0
14-May-17,254.60,267.80,241.00,248.20,5220700,0
21-May-17,243.00,317.60,230.00,259.00,12284400,0
28-May-17,244.00,244.40,218.00,219.00,6677300,0
4-Jun-17,224.20,229.60,206.00,210.20,5326100,0
11-Jun-17,212.20,231.60,198.60,212.80,8521800,0
18-Jun-17,218.40,229.20,199.60,202.20,9701800,0
25-Jun-17,194.80,201.60,187.40,188.40,6628200,0
2-Jul-17,183.40,235.80,178.20,194.80,13174700,0
9-Jul-17,188.00,222.60,186.00,204.20,7901500,0
16-Jul-17,203.20,211.40,169.00,171.20,7854000,0
23-Jul-17,164.90,168.90,148.85,148.95,16616900,0
30-Jul-17,148.20,164.20,141.00,150.95,20228500,0
6-Aug-17,146.55,152.25,143.10,148.95,20803700,0
13-Aug-17,148.25,228.10,141.25,215.45,41640700,1
20-Aug-17,181.70,207.80,150.00,194.85,45067400,-1
27-Aug-17,191.70,200.90,151.55,154.40,30719400,0
3-Sep-17,150.55,175.95,141.80,144.70,24384000,0
10-Sep-17,154.80,173.30,149.30,159.15,27127200,0
17-Sep-17,147.65,147.70,122.80,123.45,19731900,0
24-Sep-17,119.65,121.65,110.60,114.35,21139000,0
1-Oct-17,115.00,121.50,102.50,103.00,21989300,0
8-Oct-17,101.80,101.90,91.65,92.10,17440700,0
15-Oct-17,91.50,97.65,82.00,83.60,20822600,0
22-Oct-17,81.95,87.30,75.90,76.30,20128800,0
29-Oct-17,75.25,99.90,75.10,78.10,42906200,0
5-Nov-17,83.40,83.40,74.25,75.20,28877300,0
12-Nov-17,75.00,85.25,72.80,80.30,32887000,0
19-Nov-17,83.60,91.00,77.60,78.60,32248700,0
26-Nov-17,76.25,76.85,65.30,66.10,13772200,0
3-Dec-17,66.35,85.00,63.40,70.95,43112600,0
10-Dec-17,64.60,71.65,60.20,60.30,33662600,0
17-Dec-17,60.00,60.05,50.95,51.85,23748300,0
24-Dec-17,50.45,52.05,49.05,50.30,19445300,0
31-Dec-17,51.25,51.35,48.75,51.05,12550000,0
7-Jan-18,50.30,50.90,44.00,44.95,13443300,0
