Date,Open,High,Low,Close,Volume,BuySell
2-Aug-20,14.64,14.79,14.00,14.38,5312477,0
9-Aug-20,14.81,16.14,14.62,14.90,10377123,0
16-Aug-20,15.11,16.02,14.88,15.98,10349758,0
23-Aug-20,16.56,17.30,16.07,17.17,9060418,0
30-Aug-20,17.93,18.24,17.43,18.22,8991797,0
6-Sep-20,17.15,17.63,15.71,16.45,15669753,0
13-Sep-20,15.28,15.90,14.83,15.30,9217825,0
20-Sep-20,15.64,16.19,15.28,15.55,6100689,0
27-Sep-20,14.76,15.18,12.87,13.34,8732499,0
4-Oct-20,13.95,15.23,13.60,14.63,7108334,0
11-Oct-20,14.55,16.05,14.50,15.96,7454314,0
18-Oct-20,17.01,17.25,15.83,16.83,8121218,0
25-Oct-20,16.97,18.06,16.70,18.03,8233398,0
1-Nov-20,17.44,17.86,16.47,16.78,9662647,0
8-Nov-20,17.67,21.44,17.41,21.09,15970106,0
15-Nov-20,23.25,23.38,19.97,20.69,15030357,0
22-Nov-20,20.95,21.20,19.98,20.64,6131049,0
29-Nov-20,20.95,22.30,20.13,22.24,5359587,0
6-Dec-20,20.95,20.95,20.00,20.30,6642702,0
13-Dec-20,19.56,19.80,18.63,19.02,7712229,0
20-Dec-20,19.22,19.68,18.77,19.40,4321407,0
27-Dec-20,18.70,19.28,17.93,18.18,4216864,0
3-Jan-21,18.22,20.59,18.01,20.18,5725597,0
10-Jan-21,20.52,22.72,19.82,22.72,9873134,1
17-Jan-21,21.90,23.90,21.73,23.08,6906131,0
24-Jan-21,26.00,28.55,25.77,27.45,7215984,0
31-Jan-21,29.62,29.86,23.48,23.80,9755842,-1
7-Feb-21,25.21,27.39,25.07,27.22,5960400,0
14-Feb-21,26.96,30.68,26.71,30.34,7791773,0
21-Feb-21,30.79,31.92,28.58,30.27,6365379,0
28-Feb-21,27.71,27.90,22.48,23.08,13962717,0
7-Mar-21,24.24,25.01,21.41,22.67,11398754,0
14-Mar-21,20.99,23.35,20.25,21.44,13507492,0
21-Mar-21,20.87,22.10,20.47,21.24,9369570,0
28-Mar-21,21.18,21.32,17.46,19.33,13878378,0
4-Apr-21,18.74,20.66,18.63,20.16,6025693,0
11-Apr-21,20.73,20.91,18.60,19.09,8170818,0
18-Apr-21,18.83,19.73,18.57,19.49,6980638,0
25-Apr-21,19.46,20.49,18.62,20.38,7330710,0
2-May-21,19.21,20.26,18.50,18.71,8376457,0
9-May-21,18.44,18.72,17.57,18.36,5786071,0
16-May-21,17.67,17.69,15.34,16.22,10279555,0
23-May-21,16.44,17.84,16.32,17.26,7181242,0
30-May-21,17.26,18.76,17.03,18.50,5052853,0
6-Jun-21,20.00,20.07,18.45,19.07,5199237,0
13-Jun-21,18.52,18.56,18.05,18.34,4715162,0
20-Jun-21,18.39,18.61,16.78,17.70,6272656,0
27-Jun-21,17.53,19.56,17.12,19.54,5087307,0
4-Jul-21,19.55,19.79,17.40,17.66,6594790,0
11-Jul-21,16.50,16.60,14.47,15.95,12662694,0
18-Jul-21,15.75,16.73,15.61,16.26,6092568,0
25-Jul-21,15.52,15.71,14.22,14.47,9800245,0
1-Aug-21,12.68,12.98,10.11,12.00,45007556,0
8-Aug-21,12.38,12.86,11.76,11.87,14895114,0
15-Aug-21,12.27,13.45,12.25,12.68,11478601,0
22-Aug-21,12.10,12.10,10.11,10.32,22084340,0
29-Aug-21,10.59,12.06,10.49,11.46,21760976,0
5-Sep-21,11.33,13.03,11.09,12.59,15716534,0
12-Sep-21,13.20,13.56,12.31,12.61,11626252,0
19-Sep-21,12.55,12.69,10.68,11.15,18202344,0
26-Sep-21,10.04,10.93,9.43,9.72,31266280,0
3-Oct-21,9.86,10.44,9.67,10.00,19362120,0
10-Oct-21,9.55,11.04,9.09,10.97,24517796,0
17-Oct-21,11.46,11.72,10.74,11.56,16296752,0
24-Oct-21,11.55,13.32,11.55,12.85,18915152,0
31-Oct-21,13.00,13.03,11.06,11.21,17199436,0
7-Nov-21,11.08,11.82,10.27,10.38,19728500,0
14-Nov-21,10.62,12.04,10.34,11.99,21020714,0
21-Nov-21,12.05,12.32,10.81,11.16,17678666,0
28-Nov-21,11.06,11.14,9.56,9.80,14977230,0
5-Dec-21,9.87,9.90,8.54,8.78,28797938,0
12-Dec-21,8.74,10.03,8.60,9.79,18491516,0
