Date,Open,High,Low,Close,Volume,BuySell
21-Apr-19,65.00,66.00,60.32,62.00,25764660,0
28-Apr-19,61.00,74.17,59.94,66.22,27100504,0
5-May-19,66.53,80.25,64.75,79.18,14352938,0
12-May-19,75.01,80.79,73.25,79.63,9195881,0
19-May-19,77.39,90.28,70.60,89.98,15273380,0
26-May-19,90.10,91.46,74.20,76.25,13641960,0
2-Jun-19,76.80,83.17,73.58,79.73,6743948,0
9-Jun-19,80.00,98.89,75.65,94.05,16512948,0
16-Jun-19,98.51,105.99,91.57,100.29,17460508,0
23-Jun-19,101.00,107.34,97.00,100.47,12426820,0
30-Jun-19,100.85,101.50,84.61,88.79,18687964,0
7-Jul-19,85.13,91.97,83.10,91.88,12477661,0
14-Jul-19,91.44,94.93,89.10,93.30,9884479,0
21-Jul-19,94.00,101.99,92.88,93.38,12053109,0
28-Jul-19,94.19,104.49,93.51,102.20,9919733,0
4-Aug-19,102.60,103.00,92.10,93.66,10027970,0
11-Aug-19,90.70,95.84,87.29,94.20,5527069,0
18-Aug-19,93.05,96.22,89.69,92.53,5571412,0
25-Aug-19,94.18,96.20,90.41,91.63,4990391,0
1-Sep-19,92.33,93.69,88.71,91.67,4776941,0
8-Sep-19,91.50,96.50,84.86,85.41,16303835,-1
15-Sep-19,85.75,85.94,76.81,78.85,14912473,0
22-Sep-19,78.50,86.00,78.26,82.63,9349724,0
29-Sep-19,82.29,83.60,75.09,76.04,8044605,0
6-Oct-19,76.13,78.49,73.39,76.53,8539378,0
13-Oct-19,76.99,77.43,70.90,71.35,10761843,0
20-Oct-19,70.46,71.27,64.53,66.08,27290812,0
27-Oct-19,65.29,66.50,60.97,63.45,16689362,0
3-Nov-19,63.96,70.55,62.26,70.39,16987072,0
10-Nov-19,70.81,70.85,65.36,69.85,7315590,0
17-Nov-19,69.51,71.10,66.71,70.01,8193798,0
24-Nov-19,70.47,74.00,68.19,73.16,10365700,0
1-Dec-19,73.80,75.84,72.86,74.50,5661077,0
8-Dec-19,74.06,74.50,62.11,62.74,22846648,0
15-Dec-19,62.39,67.27,62.02,63.54,18646260,0
22-Dec-19,63.59,68.48,63.56,66.93,11637322,0
29-Dec-19,67.02,68.19,65.74,66.64,4570488,0
5-Jan-20,66.56,69.24,65.52,67.28,4959138,0
12-Jan-20,66.63,74.00,65.81,73.09,17024344,1
19-Jan-20,73.89,78.79,72.26,75.56,13579263,0
26-Jan-20,75.56,77.12,72.37,73.00,6047542,0
2-Feb-20,71.33,76.67,70.26,76.30,8670499,0
9-Feb-20,77.69,93.30,77.51,88.64,33809004,0
16-Feb-20,89.09,91.93,86.52,90.95,12176113,0
23-Feb-20,93.02,110.75,92.40,101.76,30292576,0
1-Mar-20,97.80,121.93,97.02,105.00,67706920,0
8-Mar-20,109.35,129.83,102.50,114.32,84418728,0
15-Mar-20,105.00,116.50,100.88,107.47,58741176,0
22-Mar-20,105.00,135.98,102.00,130.55,79647520,0
29-Mar-20,142.00,164.94,133.88,151.70,87381736,0
5-Apr-20,160.76,161.69,114.50,128.20,76791024,-1
12-Apr-20,113.63,125.88,108.53,124.51,87301360,0
19-Apr-20,127.00,154.25,125.60,150.06,67751456,0
26-Apr-20,153.30,181.50,138.36,158.80,93690024,1
3-May-20,156.59,167.85,132.67,138.56,85784104,-1
10-May-20,140.77,162.00,140.45,155.40,38060144,0
17-May-20,159.43,175.44,158.00,174.83,43597584,0
24-May-20,170.03,177.80,162.64,171.06,34859712,0
31-May-20,169.10,179.99,149.16,179.48,38471372,0
7-Jun-20,183.18,224.46,183.00,207.60,130149232,1
14-Jun-20,204.35,232.00,198.66,219.52,56616588,0
21-Jun-20,227.84,243.88,226.38,243.48,56415208,0
28-Jun-20,247.47,261.62,247.29,256.80,54381360,0
