Date,Open,High,Low,Close,Volume,BuySell
8-Jan-16,8385.00,8385.00,6863.27,7200.30,95953496,0
15-Jan-16,7039.20,7138.67,6406.24,6632.11,96117680,0
22-Jan-16,6511.12,7011.48,6511.12,6700.96,89548488,0
29-Jan-16,6761.90,6831.96,5973.12,6272.91,79773432,0
5-Feb-16,6241.61,6521.02,6122.94,6399.22,66413976,0
19-Feb-16,6206.24,6793.32,6205.25,6714.98,83785808,0
26-Feb-16,6801.00,6861.78,6186.74,6304.22,95580032,0
4-Mar-16,6276.51,6524.42,5928.19,6261.24,102483248,0
11-Mar-16,6320.44,6433.51,6070.17,6140.84,72776832,0
18-Mar-16,6208.32,6678.27,6163.83,6632.24,93010824,0
25-Mar-16,6721.83,6906.34,6713.35,6812.94,122301776,0
1-Apr-16,6851.09,6923.55,6585.50,6799.11,105316560,0
8-Apr-16,6810.51,7048.02,6748.84,6830.38,89460568,0
15-Apr-16,6901.33,7060.89,6824.05,7011.92,98989448,0
22-Apr-16,6960.63,6960.63,6501.62,6611.61,87500768,0
29-Apr-16,6603.34,6691.48,6515.25,6616.83,67197280,0
6-May-16,6621.95,6854.62,6563.62,6563.62,73373712,0
13-May-16,6513.66,6513.66,6250.38,6398.48,71482400,0
20-May-16,6380.51,6575.23,6297.94,6433.56,77394640,0
27-May-16,6451.36,6506.66,6279.87,6420.72,71666984,0
3-Jun-16,6385.62,6847.18,6329.82,6802.30,119442176,1
8-Jun-16,6839.95,6856.88,6739.75,6809.42,66737940,0
17-Jun-16,6730.38,6775.91,6439.71,6720.07,106795296,0
24-Jun-16,6719.40,6865.40,6493.63,6658.70,106370520,0
1-Jul-16,6623.07,6935.92,6622.51,6875.68,112590032,0
8-Jul-16,6820.04,7031.82,6812.63,6987.70,121427016,0
15-Jul-16,6997.87,7128.01,6856.78,7093.01,121902088,0
22-Jul-16,7071.76,7104.31,6997.02,7002.72,95741952,0
29-Jul-16,6983.38,7101.78,6680.66,6736.08,100040456,0
5-Aug-16,6709.00,6779.83,6586.43,6729.82,63836672,0
12-Aug-16,6717.15,6899.85,6683.64,6829.87,73903424,0
19-Aug-16,6847.78,7058.64,6837.19,7021.19,110625168,0
26-Aug-16,7017.50,7035.78,6861.02,6942.08,72137384,0
2-Sep-16,6944.30,7004.36,6839.80,6872.16,63448668,0
9-Sep-16,6889.91,7023.93,6840.00,6935.74,74283512,0
14-Sep-16,6813.26,6848.31,6712.12,6726.92,43254432,0
23-Sep-16,6746.35,6857.68,6746.23,6822.03,54727468,0
30-Sep-16,6809.62,6809.64,6627.87,6783.59,56578292,0
14-Oct-16,6828.78,6969.04,6818.77,6931.37,75218064,0
21-Oct-16,6939.25,6984.74,6847.55,6948.87,75951344,0
28-Oct-16,6958.61,7033.48,6911.97,6911.97,76155440,0
4-Nov-16,6892.32,6966.32,6852.96,6895.16,70307784,0
11-Nov-16,6897.26,6946.98,6769.47,6941.25,75679968,0
18-Nov-16,6923.89,7008.57,6913.43,6928.97,78682552,0
25-Nov-16,6924.73,6989.80,6798.25,6921.69,76368696,0
2-Dec-16,6946.37,6973.10,6849.32,6858.43,75482000,-1
9-Dec-16,6814.89,6908.75,6804.79,6831.71,70160016,0
16-Dec-16,6828.32,6828.40,6462.24,6543.18,73815400,0
23-Dec-16,6543.84,6557.69,6472.09,6497.71,50373748,0
30-Dec-16,6479.56,6539.65,6403.11,6472.23,44466576,0
6-Jan-17,6492.00,6606.66,6489.90,6520.04,45476836,0
13-Jan-17,6514.42,6562.97,6321.10,6324.51,49544664,0
20-Jan-17,6316.76,6316.76,5992.24,6265.49,43025744,0
26-Jan-17,6275.79,6341.55,6265.42,6341.38,25033590,0
3-Feb-17,6353.77,6359.30,6323.81,6335.56,4957811,0
10-Feb-17,6335.22,6462.05,6323.83,6442.28,48783440,0
17-Feb-17,6441.55,6536.86,6439.11,6465.45,57388728,0
24-Feb-17,6467.63,6648.95,6467.63,6635.27,74217032,1
3-Mar-17,6637.96,6686.16,6595.52,6679.28,74745744,0
10-Mar-17,6686.86,6771.33,6659.23,6718.11,75533936,0
17-Mar-17,6719.47,6855.16,6698.06,6759.80,82528384,0
24-Mar-17,6751.00,6875.90,6715.81,6861.22,73933104,0
31-Mar-17,6861.41,6870.22,6659.77,6745.68,71910048,0
7-Apr-17,6783.87,6904.14,6783.87,6882.71,51812436,0
14-Apr-17,6881.82,6883.30,6747.55,6774.89,90012784,0
21-Apr-17,6760.97,6794.90,6633.41,6691.46,71546728,-1
28-Apr-17,6671.86,6673.60,6510.85,6640.18,73552264,0
5-May-17,6611.80,6640.33,6493.18,6493.18,50598432,0
12-May-17,6479.37,6499.40,6291.33,6403.11,62047144,0
19-May-17,6424.42,6621.05,6418.48,6496.07,63155044,0
26-May-17,6485.62,6532.40,6324.35,6442.21,67334240,0
2-Jun-17,6490.79,6512.83,6318.96,6420.93,44585888,0
9-Jun-17,6425.46,6700.29,6424.58,6695.29,67708368,1
16-Jun-17,6659.47,6742.81,6625.50,6704.95,76629384,0
23-Jun-17,6699.20,6860.42,6688.63,6823.53,84092752,0
30-Jun-17,6837.08,6951.56,6833.91,6946.43,84099360,0
7-Jul-17,6950.36,6999.19,6869.75,6971.46,99608304,0
14-Jul-17,6957.77,6969.63,6827.05,6916.64,97016536,0
21-Jul-17,6879.97,6986.36,6623.81,6956.81,114138976,0
28-Jul-17,6952.80,7010.05,6820.85,6995.56,115557416,0
4-Aug-17,6995.87,7116.17,6913.45,6913.45,145608928,-1
