Date,Open,High,Low,Close,Volume,BuySell
13-Jan-13,13391.82,13496.68,13382.29,13488.43,2527200,0
20-Jan-13,13488.43,13649.93,13445.80,13649.70,7840800,0
27-Jan-13,13649.70,13895.98,13622.96,13895.98,5038700,0
3-Feb-13,13895.98,14019.78,13860.58,14009.79,6100200,0
10-Feb-13,14009.79,14022.62,13852.20,13992.97,6107600,0
17-Feb-13,13992.97,14038.97,13906.73,13981.76,6332600,0
24-Feb-13,13981.76,14058.27,13834.40,14000.57,5462100,0
3-Mar-13,14000.57,14149.15,13784.01,14089.66,6948500,0
10-Mar-13,14089.66,14413.17,14030.37,14397.07,5721300,0
17-Mar-13,14397.07,14539.29,14373.32,14514.11,8060600,0
24-Mar-13,14514.11,14546.82,14382.09,14512.03,5749500,0
31-Mar-13,14512.03,14585.10,14395.00,14578.54,4672600,0
7-Apr-13,14578.54,14684.49,14434.43,14565.25,5530000,0
14-Apr-13,14565.25,14887.51,14497.80,14865.06,6199200,0
21-Apr-13,14865.06,14865.06,14444.03,14547.51,8212600,0
28-Apr-13,14547.51,14768.05,14457.60,14712.55,6807400,0
5-May-13,14712.55,15009.59,14687.05,14973.96,5690000,0
12-May-13,14973.96,15144.83,14941.09,15118.49,5436900,0
19-May-13,15113.42,15357.40,15053.46,15354.40,6637400,1
26-May-13,15348.33,15542.40,15180.23,15303.10,6657100,0
2-Jun-13,15307.33,15521.49,15115.57,15115.57,5746800,0
9-Jun-13,15123.55,15304.98,14844.22,15248.12,7014500,0
16-Jun-13,15247.81,15300.64,14953.45,15070.18,5135500,0
23-Jun-13,15078.71,15340.09,14688.43,14799.40,9425500,-1
30-Jun-13,14795.79,15075.01,14551.27,14909.60,7714900,0
7-Jul-13,14911.60,15137.51,14858.93,15135.84,3927400,0
14-Jul-13,15137.22,15498.39,15137.22,15464.30,6062300,0
21-Jul-13,15459.69,15589.40,15415.71,15543.74,6971700,1
28-Jul-13,15543.97,15604.22,15405.16,15558.83,5770800,0
4-Aug-13,15557.14,15658.43,15479.13,15658.36,5657900,0
11-Aug-13,15651.98,15655.21,15346.65,15425.51,4251800,0
18-Aug-13,15415.22,15504.14,15054.38,15081.47,5338400,0
