Date,Open,High,Low,Close,Volume,BuySell
22-Jun-14,1960.45,1963.91,1959.17,1962.87,4336240128,0
29-Jun-14,1962.92,1968.17,1944.69,1960.96,15983469568,0
6-Jul-14,1960.79,1985.59,1958.22,1985.44,11075160064,0
13-Jul-14,1984.22,1984.22,1952.86,1967.57,14692809728,0
20-Jul-14,1969.86,1983.94,1955.59,1978.22,15952350208,0
27-Jul-14,1976.93,1991.39,1965.77,1978.34,14213850112,0
3-Aug-14,1978.25,1984.85,1916.37,1925.15,17417529344,0
10-Aug-14,1926.62,1942.92,1904.78,1931.59,16207389696,0
17-Aug-14,1933.43,1964.04,1928.29,1955.06,13747449856,0
24-Aug-14,1958.36,1994.76,1958.36,1988.40,12814929920,0
31-Aug-14,1991.74,2005.04,1990.52,2003.37,11571709952,0
7-Sep-14,2004.07,2011.17,1990.10,2007.71,11520669696,0
14-Sep-14,2007.17,2007.17,1980.26,1985.54,14732609536,0
21-Sep-14,1986.04,2019.26,1978.48,2010.40,17261819904,0
28-Sep-14,2009.08,2009.08,1965.99,1982.85,16145359872,0
5-Oct-14,1978.96,1985.17,1926.03,1967.90,18807609344,0
12-Oct-14,1970.01,1977.84,1906.05,1906.13,20382539776,0
19-Oct-14,1905.65,1912.09,1820.66,1886.76,24810659840,0
26-Oct-14,1885.62,1965.27,1882.30,1964.58,17947860992,1
2-Nov-14,1962.97,2018.19,1951.37,2018.05,18810910720,0
9-Nov-14,2018.21,2034.26,2001.01,2031.92,18652340224,0
16-Nov-14,2032.01,2046.18,2030.17,2039.82,16172309504,0
23-Nov-14,2038.29,2071.46,2034.46,2063.50,17004640256,0
30-Nov-14,2065.07,2075.76,2064.75,2067.56,11770900480,0
7-Dec-14,2065.78,2079.47,2049.57,2075.37,18286299136,0
14-Dec-14,2074.84,2075.78,2002.33,2002.33,19961180160,-1
21-Dec-14,2005.03,2077.85,1972.56,2070.65,25431949312,1
28-Dec-14,2069.28,2092.70,2069.28,2088.77,9565679616,0
4-Jan-15,2087.63,2093.55,2046.04,2058.20,10207410176,0
11-Jan-15,2054.44,2064.43,1992.44,2044.81,19362859008,-1
18-Jan-15,2046.13,2056.93,1988.12,2019.42,20275570688,0
25-Jan-15,2020.76,2064.62,2004.49,2051.82,15424020480,0
1-Feb-15,2050.42,2057.62,1989.18,1994.99,19558889472,0
8-Feb-15,1996.67,2072.40,1980.90,2055.47,20821110784,0
15-Feb-15,2053.47,2097.03,2041.88,2096.99,18132049920,1
22-Feb-15,2096.47,2110.61,2085.44,2110.30,13260470272,0
1-Mar-15,2109.83,2119.59,2103.00,2104.50,16561930240,0
8-Mar-15,2105.23,2117.52,2067.27,2071.26,17049499648,0
15-Mar-15,2072.25,2083.49,2039.69,2053.40,17328979968,-1
22-Mar-15,2055.35,2113.92,2055.35,2108.10,19504990208,1
29-Mar-15,2107.99,2114.86,2045.50,2061.02,16498140160,0
5-Apr-15,2064.11,2088.97,2048.38,2066.96,12933470208,0
12-Apr-15,2064.87,2102.61,2056.52,2102.06,15962370048,0
19-Apr-15,2102.03,2111.91,2072.37,2081.18,17285169152,0
26-Apr-15,2084.11,2120.92,2084.11,2117.69,16604499968,0
3-May-15,2119.29,2125.92,2077.59,2108.29,18949060608,0
10-May-15,2110.23,2120.95,2067.93,2116.10,17753819136,0
17-May-15,2115.56,2123.89,2085.57,2122.73,15824270336,0
24-May-15,2121.30,2134.72,2120.01,2126.06,14852419584,0
31-May-15,2125.34,2126.22,2099.18,2107.39,13377829888,0
7-Jun-15,2108.64,2121.92,2085.67,2092.83,15604780032,0
14-Jun-15,2092.34,2115.02,2072.14,2094.11,15214050304,0
21-Jun-15,2091.34,2126.65,2072.49,2109.99,17173879808,0
28-Jun-15,2112.50,2129.87,2095.38,2101.49,17463769088,0
5-Jul-15,2098.63,2098.63,2056.32,2076.78,14481300480,0
