Date,Open,High,Low,Close,Volume,BuySell
22-Jun-14,23237.63,23300.31,23122.75,23194.06,5420998656,0
29-Jun-14,23165.26,23393.81,22802.10,23221.52,7022739456,0
6-Jul-14,23273.19,23626.14,22960.08,23546.36,5603097600,0
13-Jul-14,23581.40,23592.38,23126.68,23233.45,5795416064,0
20-Jul-14,23310.16,23583.35,23240.61,23454.79,5075918848,0
27-Jul-14,23484.53,24247.20,23372.63,24216.01,8277327360,0
3-Aug-14,24249.27,24912.22,24248.36,24532.43,10194088960,0
10-Aug-14,24590.11,24690.60,24190.93,24331.41,6179832320,0
17-Aug-14,24533.34,25010.31,24491.02,24954.94,6232063488,0
24-Aug-14,24943.60,25201.21,24765.03,25112.23,6629464576,0
31-Aug-14,25049.96,25243.16,24630.80,24742.06,7299624448,0
7-Sep-14,24703.74,25362.98,24576.23,25240.15,9774111744,0
14-Sep-14,25293.09,25293.09,24487.94,24595.32,5698434048,0
21-Sep-14,24410.38,24471.80,24103.53,24306.16,7939968512,0
28-Sep-14,24072.18,24082.62,23555.62,23678.41,7424485888,0
5-Oct-14,23399.51,23399.51,22565.60,23064.56,6997890560,0
12-Oct-14,23053.79,23581.35,22988.64,23088.54,7059868160,0
19-Oct-14,22884.00,23409.96,22868.02,23023.21,7765208576,0
26-Oct-14,23239.78,23460.77,22964.92,23302.20,6181816320,1
2-Nov-14,23275.40,24046.40,23012.80,23998.06,8800252928,0
9-Nov-14,24133.45,24133.45,23430.20,23550.24,6669248512,0
16-Nov-14,24074.85,24110.24,23703.72,24087.38,10734484480,0
23-Nov-14,24313.06,24313.06,23252.63,23437.12,7559449600,0
30-Nov-14,23883.32,24228.11,23799.42,23987.45,12139409408,0
7-Dec-14,23678.00,24170.05,23293.81,24002.64,17791162368,0
14-Dec-14,24113.14,24189.59,23169.67,23249.20,14071379968,-1
21-Dec-14,22977.84,23189.60,22529.75,23116.63,10995408896,0
28-Dec-14,23264.05,23495.62,23264.05,23349.34,5499177984,0
4-Jan-15,23694.53,23998.90,23442.55,23721.30,6752194560,0
11-Jan-15,23699.19,24169.06,23312.50,23919.95,11730692096,0
18-Jan-15,24118.59,24369.00,23905.01,24103.52,7741578752,0
25-Jan-15,23971.23,24896.22,23590.05,24850.45,10477369344,1
1-Feb-15,24907.19,24995.08,24450.05,24507.05,7690751488,0
8-Feb-15,24347.27,25048.26,24324.37,24679.39,8749692928,0
15-Feb-15,24529.55,24702.54,24226.29,24682.54,6389761024,0
22-Feb-15,24717.49,24871.79,24653.88,24832.08,2725382144,0
1-Mar-15,24916.24,25101.96,24664.68,24823.29,6790921728,0
8-Mar-15,24996.76,24997.83,24126.09,24164.00,8205315584,0
15-Mar-15,23982.50,24205.86,23677.06,23823.21,7976588288,-1
22-Mar-15,23771.40,24524.55,23711.27,24375.24,7876883456,0
29-Mar-15,24538.34,24613.69,24294.95,24486.20,7398044160,0
5-Apr-15,24727.46,25297.80,24725.52,25275.64,8951367680,1
12-Apr-15,25708.24,27922.67,25640.04,27272.39,12467212288,0
19-Apr-15,27374.33,28031.96,27304.12,27653.12,18803292160,0
26-Apr-15,27770.79,28213.63,26959.77,28060.98,13337905152,0
3-May-15,28245.14,28588.52,27997.90,28133.00,10491724800,0
10-May-15,28231.26,28343.74,27207.28,27577.34,10270284800,0
17-May-15,27837.04,27928.60,27191.03,27822.28,8436133888,0
24-May-15,27792.44,28041.32,27393.31,27992.83,7529491968,0
31-May-15,28462.32,28524.60,27242.11,27424.19,10652510208,-1
7-Jun-15,27373.06,27854.74,27094.50,27260.16,10505694208,0
14-Jun-15,27147.24,27428.59,26573.96,27280.54,10157889536,0
21-Jun-15,27095.18,27131.36,26553.04,26760.53,8873575424,0
28-Jun-15,26854.32,27470.50,26522.45,26663.87,9607824384,0
5-Jul-15,26560.13,26631.51,25617.78,26064.11,9578411008,0
12-Jul-15,26083.99,26261.53,22836.82,24901.28,19473733632,0
19-Jul-15,24709.58,25517.45,24596.44,25415.27,8523761152,0
26-Jul-15,25540.31,25634.32,25073.20,25128.51,5777767936,0
2-Aug-15,24906.78,24947.35,24140.62,24636.28,8654429184,0
9-Aug-15,24533.14,24641.93,24217.78,24552.47,5882307072,0
16-Aug-15,24433.66,24924.07,23826.96,23991.03,7586570752,0
23-Aug-15,23945.60,24024.37,22185.85,22409.62,9396619264,0
30-Aug-15,21605.97,22424.40,20865.26,21612.39,16327225344,0
6-Sep-15,21793.02,21793.02,20715.02,20840.61,9476161536,0
13-Sep-15,20683.31,22228.59,20524.88,21504.37,11332203520,0
20-Sep-15,21678.88,22203.36,21411.17,21920.83,9075334144,0
27-Sep-15,21614.43,22111.67,20957.99,21186.32,8441146368,0
4-Oct-15,20579.22,21530.80,20368.12,21506.09,6832679936,0
11-Oct-15,21930.97,22807.86,21719.29,22458.80,10358704128,1
18-Oct-15,22614.33,23178.14,22356.56,23067.37,8778904576,0
25-Oct-15,23085.61,23220.38,22727.59,23151.94,5346074112,0
1-Nov-15,23423.64,23423.64,22612.56,22640.04,7671008768,0
8-Nov-15,22502.28,23342.07,22332.71,22867.33,8660096000,0
15-Nov-15,22753.51,22980.97,22318.62,22396.14,8607776768,0
22-Nov-15,21958.28,22790.07,21958.28,22754.72,7268029440,0
29-Nov-15,22760.05,22802.71,22051.01,22068.32,7020381696,0
6-Dec-15,21974.81,22563.47,21907.35,22235.89,9462780928,0
13-Dec-15,22336.32,22352.25,21440.70,21464.05,7457095168,-1
20-Dec-15,21063.28,22005.19,21010.26,21755.56,8316089856,0
27-Dec-15,21641.17,22217.45,21641.17,22138.13,3985356544,0
3-Jan-16,22151.73,22151.73,21864.12,21914.40,3209974784,0
10-Jan-16,21782.62,21794.84,20323.97,20453.71,9908060160,0
17-Jan-16,19997.42,20234.78,19500.38,19520.77,9465091072,0
24-Jan-16,19287.38,19647.75,18534.30,19080.51,11320418304,0
31-Jan-16,19341.41,19709.99,18811.83,19683.11,9871820800,0
7-Feb-16,19770.96,19770.96,18764.82,19288.17,8328282624,0
14-Feb-16,18486.93,18627.51,18278.80,18319.58,3888255488,0
21-Feb-16,18668.87,19436.39,18668.87,19285.50,8400588288,0
28-Feb-16,19374.24,19524.97,18867.70,19364.15,6764625408,0
6-Mar-16,19366.17,20200.38,19053.78,20176.70,8869640192,1
13-Mar-16,20306.09,20331.69,19818.42,20199.60,7937664000,0
20-Mar-16,20371.59,20687.97,20168.74,20671.63,7917303808,0
27-Mar-16,20738.25,20772.46,20268.53,20345.61,5469799936,0
3-Apr-16,20386.32,20872.55,20250.15,20498.92,6777140224,0
10-Apr-16,20311.86,20370.52,20045.47,20370.40,6144532480,0
17-Apr-16,20255.84,21511.08,20240.69,21316.47,8199595520,0
24-Apr-16,21129.68,21634.74,21002.77,21467.04,7597497856,0
1-May-16,21408.56,21654.07,21023.77,21067.05,7081301504,0
8-May-16,21061.77,21061.77,20058.77,20109.87,6344350720,0
15-May-16,20279.90,20347.76,19594.61,19719.29,7017045504,0
22-May-16,19711.77,20145.77,19631.71,19852.20,6802129408,0
29-May-16,19788.13,20620.15,19712.67,20576.77,7259817984,0
5-Jun-16,20523.67,21049.20,20465.84,20947.24,10202393600,0
12-Jun-16,20971.13,21352.37,20840.95,21042.64,6398514176,0
19-Jun-16,20647.51,20664.59,19964.37,20169.98,9406863360,0
26-Jun-16,20425.06,21034.18,19662.70,20259.13,10627820544,0
3-Jul-16,19982.66,20828.03,19898.75,20794.37,7308664320,0
10-Jul-16,20967.47,21166.02,20304.39,20564.17,7017092608,0
17-Jul-16,20951.17,21739.21,20840.00,21659.25,9519293440,0
24-Jul-16,21656.88,22118.22,21612.60,21964.27,6734142464,0
31-Jul-16,22071.77,22300.51,21830.46,21891.37,8443288064,0
7-Aug-16,22027.65,22260.95,21725.38,22146.09,5684830720,0
14-Aug-16,22324.18,22816.75,22260.07,22766.91,8952710144,0
21-Aug-16,22765.23,23193.90,22765.23,22937.22,11007119360,0
28-Aug-16,22941.53,23036.07,22702.61,22909.54,8192925184,0
4-Sep-16,22904.20,23306.48,22762.73,23266.70,9340679168,0
11-Sep-16,23576.31,24364.00,23530.36,24099.70,10144376832,0
18-Sep-16,23596.03,23652.41,23155.73,23335.59,7323762688,0
25-Sep-16,23486.62,24058.65,23394.95,23686.48,9368568832,0
2-Oct-16,23554.83,23828.60,23239.36,23297.15,8274435072,0
9-Oct-16,23652.83,24004.09,23500.71,23851.82,6125458432,0
16-Oct-16,24013.84,24064.50,23006.12,23233.31,7455234048,0
23-Oct-16,23164.54,23500.82,22978.01,23374.40,4645936128,0
30-Oct-16,23431.63,23631.34,22847.73,22954.81,6784023552,0
6-Nov-16,22845.82,23268.05,22587.59,22642.62,6037515776,0
13-Nov-16,22682.71,23048.32,21957.71,22531.09,9640882176,-1
20-Nov-16,22344.23,22499.39,22114.02,22344.21,7465552896,0
27-Nov-16,22313.04,22804.26,22227.80,22723.45,7509451776,0
4-Dec-16,22738.94,23012.28,22559.20,22564.82,10172932096,0
11-Dec-16,22580.75,23076.24,22375.28,22760.98,7285969408,0
18-Dec-16,22860.27,22863.61,21965.68,22020.75,9964277760,0
25-Dec-16,21945.84,21955.94,21491.83,21574.76,7042659840,0
1-Jan-17,21562.70,22069.62,21488.82,22000.56,6445058560,0
8-Jan-17,21993.36,22605.66,21883.82,22503.01,5960676352,0
15-Jan-17,22561.11,22971.49,22476.35,22937.38,7106660352,0
22-Jan-17,22895.36,23151.75,22657.35,22885.91,6403922432,0
29-Jan-17,22926.30,23397.09,22861.29,23360.78,6351556096,0
5-Feb-17,23211.88,23439.02,22997.46,23129.21,3842115584,0
12-Feb-17,23239.29,23718.47,23149.70,23574.98,10448582656,1
19-Feb-17,23664.53,24161.39,23614.47,24033.74,13900647424,0
26-Feb-17,24066.00,24216.53,23909.15,23965.70,9638665216,0
5-Mar-17,23941.81,24080.87,23511.60,23552.72,9541879808,0
12-Mar-17,23600.49,23816.23,23438.86,23568.67,7863989760,0
19-Mar-17,23643.30,24385.81,23567.93,24309.93,10315181056,0
26-Mar-17,24312.57,24656.65,24207.10,24358.27,9488175104,0
2-Apr-17,24235.69,24470.66,24105.38,24111.59,8573613056,0
9-Apr-17,24236.56,24400.80,23982.40,24267.30,8382052352,0
16-Apr-17,24302.01,24378.38,23994.13,24261.66,5866179072,0
23-Apr-17,24268.17,24276.31,23723.87,24042.02,5979910144,0
30-Apr-17,24185.76,24717.44,23958.18,24615.13,7636119040,0
7-May-17,24773.80,24773.80,24358.72,24476.35,5390161920,0
14-May-17,24604.29,25211.28,24476.20,25156.34,8096604160,0
21-May-17,25233.31,25413.35,25025.05,25174.87,8512818176,0
28-May-17,25318.29,25724.40,25201.34,25639.27,7923725824,0
4-Jun-17,25672.40,25973.00,25579.15,25924.05,8082890752,0
