Date,Open,High,Low,Close,Volume,BuySell
25-Aug-13,3601.88,3660.66,3589.02,3657.79,6555129856,0
1-Sep-13,3661.81,3684.22,3573.57,3589.87,7088139776,0
8-Sep-13,3622.64,3677.07,3593.62,3660.01,6682279936,0
15-Sep-13,3675.12,3731.84,3675.12,3722.18,8343289856,0
22-Sep-13,3755.00,3798.76,3712.47,3774.73,9197370368,0
29-Sep-13,3786.84,3795.72,3745.54,3781.59,8879040512,0
6-Oct-13,3737.60,3819.28,3734.74,3807.75,8965999616,0
13-Oct-13,3776.64,3800.08,3650.03,3791.87,9459030016,0
20-Oct-13,3767.49,3914.93,3766.28,3914.28,8862950400,0
27-Oct-13,3922.65,3961.10,3887.67,3943.36,9760130048,0
3-Nov-13,3942.56,3966.71,3904.20,3922.04,9814299648,0
10-Nov-13,3932.60,3955.97,3855.07,3919.23,10057730048,0
17-Nov-13,3913.64,3985.97,3899.31,3985.97,9063919616,0
24-Nov-13,3990.06,3994.97,3911.61,3991.65,8713400320,0
1-Dec-13,4004.37,4069.70,3987.16,4059.89,6033959936,0
8-Dec-13,4065.66,4069.86,4004.76,4062.52,9050439680,0
15-Dec-13,4073.75,4081.78,3992.29,4000.98,9014110208,0
22-Dec-13,4019.37,4111.93,3979.59,4104.74,11306760192,0
29-Dec-13,4136.15,4175.36,4127.72,4156.59,5017359872,1
5-Jan-14,4153.58,4177.73,4124.96,4131.91,6156910080,0
12-Jan-14,4137.03,4182.74,4103.75,4174.67,11274120192,0
19-Jan-14,4167.41,4219.28,4097.99,4197.58,10614509568,0
26-Jan-14,4222.98,4246.55,4128.17,4128.17,8742389760,0
2-Feb-14,4132.22,4136.46,4044.76,4103.88,11190290432,-1
9-Feb-14,4105.06,4126.51,3968.19,4125.86,10957299712,0
16-Feb-14,4125.12,4250.91,4122.61,4244.02,9973310464,1
23-Feb-14,4253.71,4284.85,4226.75,4263.41,7973960192,0
2-Mar-14,4273.32,4342.59,4272.11,4308.12,11073609728,0
9-Mar-14,4261.42,4371.71,4239.65,4336.22,11083150336,0
16-Mar-14,4332.62,4354.43,4241.94,4245.40,11301760000,0
23-Mar-14,4274.22,4344.39,4268.34,4276.79,10859060224,0
30-Mar-14,4289.49,4289.49,4131.81,4155.76,11461359616,-1
6-Apr-14,4185.63,4286.09,4118.71,4127.73,11119720448,0
13-Apr-14,4110.92,4185.19,3991.64,3999.73,11396830208,0
20-Apr-14,4038.06,4110.46,3946.03,4095.52,8121419776,0
27-Apr-14,4105.37,4177.16,4068.10,4075.56,9433140224,0
4-May-14,4091.81,4149.56,4014.17,4123.90,10332789760,0
11-May-14,4099.25,4138.34,4021.05,4071.87,10285910016,0
18-May-14,4092.84,4155.13,4035.96,4090.59,9392029696,0
25-May-14,4080.33,4186.58,4075.70,4185.81,8475230208,0
1-Jun-14,4206.44,4252.08,4204.72,4242.62,7215130112,0
8-Jun-14,4247.96,4322.51,4207.61,4321.40,8503439872,0
15-Jun-14,4324.35,4346.74,4284.53,4310.65,9011390464,0
22-Jun-14,4303.93,4372.18,4296.26,4368.04,9916980224,1
29-Jun-14,4368.96,4399.87,4339.41,4397.93,10969450496,0
6-Jul-14,4398.37,4485.93,4396.59,4485.93,6391869952,0
13-Jul-14,4477.74,4478.02,4351.04,4415.49,8844340224,0
20-Jul-14,4441.39,4451.93,4352.23,4432.15,9289849856,0
27-Jul-14,4421.20,4485.50,4404.51,4449.56,8838590464,0
3-Aug-14,4451.12,4476.06,4324.02,4352.64,10070209536,-1
10-Aug-14,4365.62,4395.38,4321.89,4370.90,9038279680,0
17-Aug-14,4387.38,4482.47,4371.84,4464.93,8059069952,0
24-Aug-14,4490.53,4547.24,4486.44,4538.55,7363489792,0
31-Aug-14,4563.72,4580.27,4546.62,4580.27,6906120192,0
7-Sep-14,4592.42,4610.14,4542.74,4582.90,7127059968,0
14-Sep-14,4579.06,4600.40,4544.44,4567.60,8924430336,0
21-Sep-14,4567.45,4610.57,4499.87,4579.79,10569910272,0
28-Sep-14,4568.45,4568.87,4466.64,4512.19,9071599616,0
5-Oct-14,4465.84,4522.06,4367.74,4475.62,10193899520,0
12-Oct-14,4492.40,4496.26,4276.24,4276.24,11421200384,0
19-Oct-14,4274.91,4303.82,4116.60,4258.44,12874699776,0
26-Oct-14,4254.16,4486.26,4248.22,4483.72,9388650496,0
2-Nov-14,4469.02,4641.51,4450.29,4630.74,10195869696,1
9-Nov-14,4633.71,4654.19,4594.92,4632.53,9939840000,0
16-Nov-14,4635.10,4703.10,4626.49,4688.54,8864289792,0
23-Nov-14,4678.44,4751.60,4653.33,4712.97,8514059776,0
30-Nov-14,4725.17,4810.86,4723.62,4791.63,5649800192,0
7-Dec-14,4777.73,4788.98,4724.62,4780.76,8958470144,0
