Date,Open,High,Low,Close,Volume,BuySell
19-Jan-14,1172.71,1173.37,1166.76,1168.43,7117429760,0
26-Jan-14,1175.05,1182.04,1141.80,1144.13,15747340288,0
2-Feb-14,1147.39,1147.43,1119.80,1130.88,19054249984,0
9-Feb-14,1130.10,1130.75,1082.72,1116.55,20380139520,0
16-Feb-14,1116.58,1149.90,1109.11,1149.21,16742179840,0
23-Feb-14,1151.89,1168.43,1148.66,1164.63,13891539968,0
2-Mar-14,1166.74,1193.50,1166.74,1183.03,18711730176,0
9-Mar-14,1174.23,1212.82,1164.77,1203.32,17512169472,0
16-Mar-14,1201.56,1204.39,1171.87,1181.41,16641059840,0
23-Mar-14,1187.12,1208.14,1186.75,1193.73,17678139392,0
30-Mar-14,1196.02,1196.70,1146.83,1151.81,16779360256,0
6-Apr-14,1158.11,1193.96,1150.41,1153.38,16381500416,0
13-Apr-14,1150.35,1160.42,1107.93,1111.44,18333880320,0
20-Apr-14,1120.81,1141.11,1095.79,1137.90,13344490496,0
27-Apr-14,1139.59,1157.87,1120.98,1123.03,15348509696,0
4-May-14,1127.18,1137.80,1102.26,1128.80,18038030336,0
11-May-14,1122.22,1127.99,1091.50,1107.22,16112379904,0
18-May-14,1111.69,1136.95,1082.53,1102.91,15469769728,0
25-May-14,1100.58,1126.20,1092.00,1126.19,13605170176,1
1-Jun-14,1132.43,1144.10,1130.80,1134.50,11860009984,0
8-Jun-14,1136.37,1167.54,1118.66,1165.21,14147690496,0
15-Jun-14,1166.28,1179.84,1154.33,1162.68,13863870464,0
22-Jun-14,1162.02,1188.52,1158.10,1188.43,16250999808,0
29-Jun-14,1189.47,1193.60,1168.53,1189.50,15983469568,0
6-Jul-14,1188.41,1213.55,1185.24,1208.15,11075160064,0
13-Jul-14,1204.64,1204.65,1151.12,1159.93,14692809728,0
20-Jul-14,1168.00,1169.55,1131.42,1151.61,15952350208,-1
27-Jul-14,1146.39,1163.66,1140.05,1144.72,14213850112,0
3-Aug-14,1145.18,1150.61,1107.31,1114.86,17417529344,0
10-Aug-14,1118.46,1131.86,1108.27,1131.35,16207389696,0
17-Aug-14,1136.48,1151.61,1129.11,1141.65,13747449856,0
24-Aug-14,1149.40,1164.06,1147.45,1160.34,12814929920,0
31-Aug-14,1167.13,1177.07,1161.80,1174.35,11571709952,0
7-Sep-14,1177.29,1183.85,1160.02,1170.13,11520669696,0
14-Sep-14,1169.32,1174.22,1155.11,1160.61,14733169664,0
21-Sep-14,1159.98,1163.86,1141.45,1146.92,17061839872,0
28-Sep-14,1141.99,1141.99,1107.51,1119.33,16145389568,0
5-Oct-14,1110.43,1120.55,1077.96,1104.74,18807609344,0
12-Oct-14,1107.36,1108.00,1053.32,1053.32,20362539008,0
19-Oct-14,1054.27,1099.44,1040.47,1082.33,24810659840,0
26-Oct-14,1078.68,1122.42,1078.50,1118.82,17947860992,0
2-Nov-14,1113.56,1174.33,1104.05,1173.51,18810910720,1
9-Nov-14,1174.50,1178.40,1160.89,1173.32,18652340224,0
16-Nov-14,1173.85,1188.67,1171.97,1173.81,16172309504,0
23-Nov-14,1171.86,1184.50,1151.98,1172.42,16974640128,0
30-Nov-14,1174.83,1191.76,1172.44,1173.23,11770900480,0
7-Dec-14,1170.55,1184.49,1154.05,1182.43,18286299136,0
14-Dec-14,1179.96,1188.23,1152.44,1152.44,19961180160,-1
21-Dec-14,1157.72,1198.97,1134.51,1195.96,25401950208,1
28-Dec-14,1196.01,1217.01,1193.57,1215.21,9565679616,0
4-Jan-15,1214.44,1221.44,1189.16,1198.80,10207410176,0
11-Jan-15,1192.36,1196.13,1153.40,1185.68,19362859008,0
18-Jan-15,1186.94,1200.52,1151.30,1176.65,20275570688,0
25-Jan-15,1179.08,1194.15,1161.30,1188.93,15424020480,0
1-Feb-15,1188.93,1201.24,1164.90,1165.39,19528890368,-1
8-Feb-15,1168.58,1214.71,1153.79,1205.46,20821110784,1
15-Feb-15,1202.26,1223.74,1190.27,1223.13,18132049920,0
22-Feb-15,1223.10,1231.92,1218.29,1231.79,13260470272,0
1-Mar-15,1230.22,1239.67,1222.64,1233.37,16561930240,0
8-Mar-15,1233.39,1243.33,1216.22,1217.52,17049499648,0
15-Mar-15,1220.48,1236.78,1206.11,1232.14,17328979968,0
22-Mar-15,1237.08,1267.22,1234.66,1266.37,19504990208,0
29-Mar-15,1264.17,1268.16,1225.47,1240.41,16498140160,0
5-Apr-15,1246.69,1259.97,1239.60,1255.66,12933470208,0
12-Apr-15,1250.24,1266.00,1248.17,1264.77,13342369792,0
19-Apr-15,1265.49,1278.63,1248.23,1251.86,17285169152,0
26-Apr-15,1257.61,1273.25,1255.04,1267.54,16604499968,0
3-May-15,1269.87,1275.84,1216.10,1228.11,18949060608,-1
10-May-15,1230.30,1240.63,1211.13,1234.93,17753819136,0
17-May-15,1234.59,1245.90,1218.37,1243.95,15824270336,0
24-May-15,1242.08,1261.02,1240.84,1252.22,14852419584,0
31-May-15,1248.11,1255.05,1233.72,1246.53,13377829888,0
7-Jun-15,1252.02,1264.94,1238.65,1261.01,15604780032,0
14-Jun-15,1259.67,1270.79,1242.36,1265.02,15214050304,0
21-Jun-15,1259.38,1287.06,1247.52,1284.66,17152520192,1
28-Jun-15,1290.56,1296.00,1274.03,1279.80,17463769088,0
5-Jul-15,1269.36,1273.95,1244.63,1248.26,14481300480,0
12-Jul-15,1239.23,1253.20,1225.98,1252.02,18065680384,0
19-Jul-15,1258.79,1275.90,1258.79,1267.09,15950489600,0
26-Jul-15,1268.82,1268.89,1225.43,1225.99,17926479872,-1
2-Aug-15,1219.21,1244.98,1205.19,1238.68,19254140928,0
9-Aug-15,1238.32,1243.16,1200.41,1206.90,18841049088,0
16-Aug-15,1212.42,1223.39,1189.42,1212.69,17509359616,0
23-Aug-15,1209.24,1225.09,1152.37,1156.79,18271309824,0
30-Aug-15,1119.76,1163.05,1102.58,1162.91,26059970560,0
6-Sep-15,1161.01,1164.89,1124.46,1136.17,18717360128,0
13-Sep-15,1139.07,1170.20,1139.07,1157.79,14045679616,0
20-Sep-15,1158.03,1193.99,1151.31,1163.35,20054769664,0
27-Sep-15,1165.04,1177.96,1119.30,1122.79,18071539712,0
4-Oct-15,1121.87,1121.87,1078.63,1114.12,21346289664,0
11-Oct-15,1115.82,1168.76,1115.82,1165.36,20849399808,1
18-Oct-15,1165.45,1169.71,1135.67,1162.31,17241479168,0
25-Oct-15,1161.80,1169.61,1144.90,1166.06,18785918976,0
1-Nov-15,1165.77,1178.78,1139.92,1161.86,20565929984,0
8-Nov-15,1161.95,1199.96,1161.95,1199.75,20531859456,0
15-Nov-15,1199.58,1199.58,1144.34,1146.55,19691319296,-1
22-Nov-15,1146.37,1178.74,1140.76,1175.15,19652689920,1
29-Nov-15,1174.89,1203.69,1172.88,1202.38,11792690176,0
6-Dec-15,1202.77,1205.08,1168.15,1183.40,20429189120,0
13-Dec-15,1183.07,1183.07,1121.27,1123.61,20618850304,-1
20-Dec-15,1123.63,1151.40,1108.76,1121.02,24571889664,0
27-Dec-15,1122.16,1159.71,1120.61,1154.76,12177089536,0
3-Jan-16,1153.99,1160.94,1135.57,1135.89,10057270272,0
10-Jan-16,1134.08,1134.08,1045.11,1046.20,22089689088,0
17-Jan-16,1046.64,1056.92,983.98,1007.72,25291149312,0
24-Jan-16,1010.30,1021.84,958.48,1020.66,21324990464,0
31-Jan-16,1019.43,1035.38,996.04,1035.38,23703939072,0
7-Feb-16,1033.53,1037.27,985.62,985.62,24081930240,0
14-Feb-16,982.15,983.45,943.10,971.99,25437489152,0
21-Feb-16,972.45,1016.28,972.45,1010.01,18161549312,0
28-Feb-16,1010.39,1039.71,996.70,1037.18,20729329664,1
6-Mar-16,1037.21,1088.24,1033.67,1081.93,25206169600,0
13-Mar-16,1081.28,1094.50,1054.56,1087.56,22103359488,0
20-Mar-16,1086.97,1102.98,1063.66,1101.67,22138769408,0
27-Mar-16,1101.46,1103.63,1065.62,1079.54,13842289664,0
3-Apr-16,1079.94,1118.39,1073.46,1117.68,17686999040,0
10-Apr-16,1117.69,1119.41,1088.56,1097.31,18552209408,0
17-Apr-16,1097.96,1132.14,1091.65,1130.92,19466729472,0
24-Apr-16,1129.72,1147.72,1125.16,1146.69,19364460544,0
1-May-16,1146.26,1156.07,1124.26,1130.85,19991599104,0
8-May-16,1131.21,1140.92,1101.57,1114.72,19877939200,0
15-May-16,1114.72,1129.04,1099.44,1102.44,18573070336,0
22-May-16,1103.23,1119.68,1085.94,1112.28,19066060800,0
29-May-16,1112.47,1150.45,1110.87,1150.45,16852119552,0
5-Jun-16,1150.60,1170.77,1148.60,1164.13,15300079616,0
12-Jun-16,1164.26,1190.17,1161.27,1163.93,17344139264,0
19-Jun-16,1162.53,1164.90,1133.10,1144.70,19227430912,0
26-Jun-16,1146.39,1172.22,1123.49,1127.54,20763869184,0
3-Jul-16,1123.81,1161.05,1085.88,1156.77,22140479488,0
10-Jul-16,1155.46,1178.12,1131.71,1177.36,14779809792,0
17-Jul-16,1179.19,1211.77,1179.19,1205.31,17441689600,0
24-Jul-16,1205.29,1214.16,1198.40,1212.89,15651690496,0
31-Jul-16,1212.84,1224.77,1207.20,1219.94,18198169600,0
7-Aug-16,1220.30,1232.87,1198.73,1231.30,18513539072,0
14-Aug-16,1231.32,1235.78,1220.75,1229.82,16340620288,0
21-Aug-16,1230.53,1243.83,1221.72,1236.77,16049210368,0
28-Aug-16,1236.60,1251.33,1231.27,1238.03,15278969856,0
4-Sep-16,1238.32,1251.83,1228.78,1251.83,15911209984,0
11-Sep-16,1252.45,1261.12,1219.20,1219.21,14728869888,0
18-Sep-16,1218.63,1235.87,1206.07,1224.78,20204331008,0
25-Sep-16,1225.64,1263.46,1225.64,1254.62,16885839872,0
2-Oct-16,1253.95,1255.94,1236.86,1251.65,18967959552,0
9-Oct-16,1251.28,1254.09,1231.35,1236.56,17876430848,-1
16-Oct-16,1239.21,1253.81,1209.32,1212.41,16140520448,0
23-Oct-16,1212.42,1226.35,1208.99,1218.10,16149080064,0
30-Oct-16,1219.73,1231.93,1185.48,1187.61,19108200448,0
6-Nov-16,1187.87,1194.48,1156.08,1163.44,20427739136,0
13-Nov-16,1164.57,1282.82,1164.57,1282.38,25356830720,1
20-Nov-16,1283.03,1316.22,1283.03,1315.64,21123209216,0
27-Nov-16,1317.41,1347.20,1313.67,1347.20,12568189952,0
4-Dec-16,1346.88,1346.88,1308.85,1314.25,21589430272,0
11-Dec-16,1314.98,1392.71,1314.98,1388.07,20337430528,0
18-Dec-16,1387.78,1388.53,1354.07,1364.19,22387609600,0
25-Dec-16,1364.78,1385.06,1360.25,1371.51,14296250368,0
1-Jan-17,1371.59,1381.98,1353.92,1357.13,9386710016,0
8-Jan-17,1357.99,1388.60,1355.39,1367.28,14637129728,0
15-Jan-17,1367.13,1376.17,1346.81,1372.05,17020210176,0
22-Jan-17,1371.51,1371.51,1342.14,1351.85,13591180288,0
29-Jan-17,1351.41,1384.13,1341.46,1370.70,17555939328,0
5-Feb-17,1369.49,1377.93,1342.66,1377.84,19001010176,0
12-Feb-17,1377.33,1391.18,1349.43,1388.84,17320439808,0
19-Feb-17,1390.41,1405.21,1386.35,1399.86,17831659520,0
26-Feb-17,1400.66,1410.40,1382.21,1394.52,14895280128,0
5-Mar-17,1394.53,1414.82,1386.53,1394.13,19514509312,0
12-Mar-17,1392.34,1392.34,1356.69,1365.26,17712480256,0
19-Mar-17,1365.16,1393.18,1353.47,1391.52,18757070848,0
26-Mar-17,1391.46,1391.48,1335.22,1354.64,17128980480,0
2-Apr-17,1352.70,1389.95,1335.04,1385.92,16227479552,0
9-Apr-17,1386.43,1388.74,1349.34,1364.56,16648229888,0
16-Apr-17,1364.76,1377.23,1345.24,1345.24,12243670016,0
23-Apr-17,1345.36,1384.58,1345.36,1379.85,16765230080,0
30-Apr-17,1380.53,1425.70,1380.53,1400.43,19608539136,0
7-May-17,1401.01,1411.04,1380.49,1397.00,18809589760,0
14-May-17,1396.40,1400.81,1379.15,1382.77,17759610880,0
21-May-17,1383.27,1398.99,1351.01,1367.33,19201970176,0
