Date,Open,High,Low,Close,Volume,BuySell
11-Apr-93,3379.20,3408.10,3363.79,3396.48,104150000,0
18-Apr-93,3396.50,3478.61,3395.67,3478.61,138960000,0
25-Apr-93,3478.60,3481.58,3403.50,3413.77,146810000,0
2-May-93,3413.80,3446.19,3383.24,3427.55,146580000,0
9-May-93,3439.40,3459.43,3427.23,3437.19,120470000,0
16-May-93,3437.20,3483.14,3435.26,3443.01,119780000,0
23-May-93,3437.50,3524.11,3415.33,3492.83,128140000,0
30-May-93,3492.80,3565.07,3485.63,3527.43,104270000,0
6-Jun-93,3527.40,3569.78,3527.40,3545.14,75290000,0
13-Jun-93,3545.10,3550.12,3483.97,3505.01,98160000,0
20-Jun-93,3505.00,3528.30,3475.94,3494.77,114760000,0
27-Jun-93,3494.80,3511.93,3462.66,3490.89,108430000,0
4-Jul-93,3491.20,3531.58,3480.93,3483.97,106340000,0
11-Jul-93,3484.00,3527.98,3449.90,3521.06,97270000,0
18-Jul-93,3521.10,3550.93,3509.85,3528.29,113100000,0
25-Jul-93,3528.30,3556.52,3511.53,3546.74,113790000,0
1-Aug-93,3546.70,3583.50,3530.81,3539.47,134980000,0
8-Aug-93,3539.50,3566.02,3536.96,3560.43,107480000,0
15-Aug-93,3560.40,3595.08,3552.33,3569.65,107610000,1
22-Aug-93,3569.70,3617.72,3564.34,3615.48,152290000,0
29-Aug-93,3614.60,3663.83,3595.64,3640.63,121780000,0
5-Sep-93,3640.60,3655.72,3616.60,3633.93,100900000,0
12-Sep-93,3633.90,3636.44,3573.57,3621.63,82660000,0
19-Sep-93,3621.90,3639.24,3586.14,3613.25,135510000,0
26-Sep-93,3613.30,3621.35,3507.06,3543.11,123080000,-1
3-Oct-93,3543.10,3587.26,3542.83,3581.11,107240000,0
10-Oct-93,3581.10,3605.98,3557.36,3584.74,100970000,0
17-Oct-93,3584.70,3642.31,3583.63,3629.73,139980000,1
24-Oct-93,3629.70,3676.96,3620.23,3649.30,124750000,0
31-Oct-93,3649.30,3708.82,3644.82,3680.59,139280000,0
7-Nov-93,3680.60,3703.23,3600.67,3643.43,141750000,0
14-Nov-93,3643.40,3691.21,3631.97,3684.50,139930000,0
21-Nov-93,3684.50,3717.76,3657.12,3694.01,156630000,0
28-Nov-93,3693.17,3697.92,3650.69,3683.95,89580000,0
5-Dec-93,3684.00,3711.61,3673.61,3704.07,115970000,0
12-Dec-93,3704.10,3748.78,3702.11,3740.67,122160000,0
19-Dec-93,3740.70,3770.02,3713.85,3751.57,153430000,0
26-Dec-93,3751.60,3774.21,3736.76,3757.72,90470000,0
2-Jan-94,3757.70,3799.92,3754.09,3754.09,84010000,0
9-Jan-94,3754.10,3826.39,3742.81,3820.77,164940000,0
16-Jan-94,3820.80,3873.67,3813.45,3867.20,144430000,0
23-Jan-94,3867.20,3914.48,3856.22,3914.48,134570000,0
30-Jan-94,3914.50,3953.31,3887.18,3945.43,149140000,0
6-Feb-94,3945.43,3985.96,3870.01,3871.42,136160000,0
13-Feb-94,3871.40,3938.40,3859.04,3894.78,147720000,0
