Date,Open,High,Low,Close,Volume,BuySell
28-Feb-93,442.34,443.77,440.98,443.38,234160000,0
7-Mar-93,443.38,450.00,441.07,446.11,1267289984,0
14-Mar-93,446.12,456.76,446.12,449.83,1334050048,0
21-Mar-93,449.83,453.32,447.99,450.18,1236860032,0
28-Mar-93,450.17,452.09,446.08,447.78,1218400000,0
4-Apr-93,447.76,454.88,440.71,441.39,1268210048,0
11-Apr-93,441.42,443.77,439.48,441.84,1174130048,0
18-Apr-93,441.84,450.40,441.84,448.94,1368380032,0
25-Apr-93,448.94,449.14,436.82,437.03,1420199936,0
2-May-93,437.03,442.29,432.30,440.19,1332600064,0
9-May-93,440.19,446.09,438.25,442.31,1246550016,0
16-May-93,442.34,445.42,438.10,439.56,1256569984,0
23-May-93,439.56,450.59,436.86,445.84,1402579968,0
30-May-93,445.84,454.55,445.26,450.19,1202940032,0
6-Jun-93,450.23,455.63,448.92,450.06,1037260032,0
13-Jun-93,450.07,450.75,444.09,447.26,1215939968,0
20-Jun-93,447.26,448.98,443.61,443.68,1252359936,0
27-Jun-93,443.68,448.64,442.50,447.60,1239320064,0
4-Jul-93,447.60,451.90,445.20,445.84,1312310016,0
11-Jul-93,445.86,448.94,441.40,448.11,1006099968,0
18-Jul-93,448.13,451.12,445.66,445.75,1277369984,-1
25-Jul-93,445.75,447.63,443.71,447.10,1244179968,0
1-Aug-93,447.06,450.77,446.59,448.13,1268089984,1
8-Aug-93,448.13,450.43,446.94,448.68,1196600064,0
15-Aug-93,448.68,451.63,447.53,450.14,1249500032,0
22-Aug-93,450.25,456.99,450.25,456.16,1378029952,0
29-Aug-93,456.12,462.87,454.29,460.54,1235059968,0
5-Sep-93,460.54,463.80,459.91,461.34,1149080064,0
12-Sep-93,461.34,462.07,453.75,461.72,1040620032,0
19-Sep-93,461.70,463.38,456.31,458.83,1409100032,0
26-Sep-93,458.84,459.91,449.64,457.63,1354019968,0
3-Oct-93,457.63,462.17,457.63,461.28,1303789952,0
10-Oct-93,461.28,463.15,456.40,460.31,1299830016,0
17-Oct-93,460.31,471.10,460.31,469.50,1456600064,0
