Date,Open,High,Low,Close,Volume,BuySell
28-Mar-93,682.94,683.74,680.01,681.54,204510000,0
4-Apr-93,681.28,692.56,669.83,669.85,1099920000,0
11-Apr-93,669.74,673.63,663.91,666.33,841790016,0
18-Apr-93,670.31,678.06,666.18,666.78,1187939968,0
25-Apr-93,664.20,668.53,657.80,658.41,1229779968,0
2-May-93,656.79,664.92,644.71,661.42,1101539968,0
9-May-93,662.75,684.38,661.43,681.44,1246620032,0
16-May-93,682.48,684.20,673.73,676.37,1167789952,0
23-May-93,678.46,697.90,675.73,694.29,1427330048,0
30-May-93,692.55,707.05,691.28,700.53,1264720000,0
6-Jun-93,700.96,706.63,700.07,702.01,1023059968,0
13-Jun-93,701.91,703.69,685.69,693.19,1250710016,0
20-Jun-93,694.71,699.52,689.59,689.59,1180480000,0
27-Jun-93,688.57,695.69,682.89,694.81,1173100032,0
4-Jul-93,697.72,705.42,696.21,704.49,1152290048,0
11-Jul-93,705.50,705.96,697.37,705.81,903779968,0
18-Jul-93,706.84,713.96,698.85,699.73,1332710016,0
25-Jul-93,699.39,701.96,694.53,700.24,1251600000,0
1-Aug-93,702.25,708.65,699.82,704.70,1294880000,1
8-Aug-93,706.38,718.36,705.06,718.08,1246179968,0
15-Aug-93,717.54,721.51,715.08,718.26,1293720064,0
22-Aug-93,721.18,737.29,720.00,730.96,1301859968,0
29-Aug-93,729.94,737.45,727.61,734.07,1375330048,0
5-Sep-93,735.59,749.72,734.69,749.71,1289810048,0
12-Sep-93,749.18,749.54,724.48,744.31,1071440000,0
19-Sep-93,744.21,745.42,729.68,740.11,1265859968,0
26-Sep-93,742.29,754.67,730.15,754.65,1447049984,0
3-Oct-93,757.95,766.57,756.45,763.23,1487510016,0
10-Oct-93,763.55,767.45,758.90,764.27,1417459968,0
17-Oct-93,766.44,791.20,764.47,787.42,1734339968,0
24-Oct-93,788.11,789.22,765.75,772.68,1759660032,0
31-Oct-93,774.12,779.58,763.06,779.26,1499309952,0
7-Nov-93,780.37,786.10,748.59,762.99,1608160000,-1
14-Nov-93,763.95,780.86,761.34,779.32,1500749952,1
21-Nov-93,778.76,780.02,750.22,751.56,1706649984,-1
28-Nov-93,746.27,755.02,737.67,754.87,902350016,0
5-Dec-93,756.40,772.24,748.68,772.22,1479849984,0
