Date,Open,High,Low,Close,Volume,BuySell
28-Feb-93,218.10,222.41,216.43,222.41,11069400,0
7-Mar-93,222.41,226.53,222.25,226.22,12519300,0
14-Mar-93,226.22,230.62,226.20,229.53,13153300,0
21-Mar-93,229.53,230.80,227.69,227.84,11827200,0
28-Mar-93,227.84,227.84,224.46,226.94,12049500,0
4-Apr-93,226.94,229.29,224.64,224.74,12642100,0
11-Apr-93,224.74,224.84,222.29,222.83,11070300,0
18-Apr-93,222.83,225.45,222.82,224.43,13683000,0
25-Apr-93,224.43,224.53,221.88,222.69,14202000,0
2-May-93,222.69,222.76,218.40,222.68,13305200,0
9-May-93,222.68,228.30,222.37,227.97,12391600,0
16-May-93,227.97,228.93,227.01,227.48,12525100,0
23-May-93,227.48,230.41,226.96,229.93,14025800,0
30-May-93,229.93,232.93,229.34,232.19,12029400,0
6-Jun-93,232.19,234.33,231.80,233.39,10290200,0
13-Jun-93,233.39,233.39,228.94,229.56,12110900,0
20-Jun-93,229.56,230.49,226.52,229.02,12493600,0
27-Jun-93,229.02,229.54,227.32,229.53,12393200,0
4-Jul-93,229.49,234.25,229.49,234.23,13120600,1
11-Jul-93,234.23,235.03,233.02,234.97,10047100,0
18-Jul-93,234.97,237.91,234.95,236.16,12659000,0
25-Jul-93,236.16,236.16,233.70,234.31,12418900,0
1-Aug-93,234.31,236.53,234.31,236.46,12662200,0
8-Aug-93,236.42,238.72,236.34,238.72,11857600,0
15-Aug-93,238.72,240.40,238.71,239.70,12495000,0
22-Aug-93,239.70,242.96,239.70,242.95,13735800,0
29-Aug-93,242.95,244.84,242.31,244.08,12287800,0
5-Sep-93,244.07,248.69,244.07,248.67,11490800,0
12-Sep-93,248.67,248.73,242.15,246.56,10406200,0
19-Sep-93,246.56,246.88,243.51,245.95,13973000,0
26-Sep-93,245.95,248.76,243.07,248.74,13436700,0
3-Oct-93,248.74,253.01,248.73,253.00,13055400,0
10-Oct-93,253.00,254.54,252.74,253.96,12998200,0
17-Oct-93,254.39,260.13,254.24,259.98,14580200,0
24-Oct-93,259.98,260.41,254.44,255.79,15299000,0
31-Oct-93,255.79,259.18,254.18,259.18,13964600,0
7-Nov-93,259.18,260.17,249.96,253.11,15632500,0
14-Nov-93,253.11,257.95,253.11,257.94,14074300,0
21-Nov-93,257.94,258.04,250.27,250.99,14910200,-1
28-Nov-93,250.99,250.99,246.66,250.15,8625700,0
5-Dec-93,250.15,253.88,249.32,253.86,13819800,0
12-Dec-93,253.86,254.37,252.18,252.81,14257100,0
19-Dec-93,252.81,252.81,249.33,252.25,15117700,0
26-Dec-93,252.25,252.27,249.59,251.32,10289500,0
2-Jan-94,251.32,258.59,251.29,258.59,10061800,0
9-Jan-94,258.58,259.19,256.03,259.19,16895700,1
16-Jan-94,259.19,261.68,258.95,261.27,15185500,0
23-Jan-94,261.27,263.80,261.13,263.80,15117500,0
30-Jan-94,263.80,265.03,261.51,265.03,15873200,0
6-Feb-94,265.03,267.75,261.41,261.67,16710700,0
13-Feb-94,261.67,265.49,258.81,262.89,15401100,0
20-Feb-94,262.89,266.67,262.89,264.05,14986700,0
27-Feb-94,264.05,265.41,261.91,263.00,11974300,0
6-Mar-94,263.00,265.55,259.48,264.71,15370000,0
13-Mar-94,264.71,267.08,264.60,265.49,15661200,0
20-Mar-94,265.49,271.08,265.49,271.08,16624300,0
27-Mar-94,271.08,271.08,266.36,266.45,13685500,0
3-Apr-94,266.45,266.48,247.88,251.06,13830900,-1
10-Apr-94,251.06,256.01,244.92,254.68,15666500,0
17-Apr-94,254.73,255.04,248.44,250.15,13621400,0
24-Apr-94,250.15,250.97,241.95,246.55,16357400,0
1-May-94,246.55,252.55,246.55,252.55,11695000,0
8-May-94,252.55,255.00,250.98,251.65,13999400,0
15-May-94,251.65,251.65,245.32,245.60,13507700,0
22-May-94,245.60,248.76,242.39,248.28,14841000,0
29-May-94,248.28,249.47,247.08,249.46,12260100,0
5-Jun-94,249.46,252.37,248.54,252.10,10392500,0
12-Jun-94,252.10,252.93,248.94,250.58,12251100,0
19-Jun-94,250.58,253.39,250.25,250.39,14293800,0
26-Jun-94,250.39,250.39,239.31,239.39,12971000,0
3-Jul-94,239.39,241.23,238.22,241.12,12747200,0
10-Jul-94,241.12,242.03,239.91,241.92,9279000,0
17-Jul-94,241.92,245.98,240.96,245.62,13392500,0
24-Jul-94,245.62,245.95,243.13,243.33,12994400,0
31-Jul-94,243.33,244.07,241.61,244.06,12133700,0
7-Aug-94,241.78,245.77,241.78,244.19,13555800,0
14-Aug-94,244.19,247.11,244.13,247.11,12812900,0
21-Aug-94,247.11,249.69,246.99,249.69,14102500,1
28-Aug-94,249.69,254.67,249.27,254.59,14431700,0
4-Sep-94,254.59,257.34,254.58,256.19,14142300,0
11-Sep-94,256.19,258.21,255.56,256.76,10785600,0
18-Sep-94,256.76,260.29,255.72,259.79,15292500,0
25-Sep-94,259.79,259.79,253.45,253.65,15636500,0
2-Oct-94,253.65,256.12,252.32,256.12,14870800,0
9-Oct-94,256.12,256.12,247.97,250.71,15114300,-1
16-Oct-94,250.71,256.44,250.71,254.87,14289400,0
23-Oct-94,254.87,255.00,252.03,252.86,14620200,0
30-Oct-94,252.86,255.00,249.89,255.00,16456900,1
6-Nov-94,255.00,255.18,252.74,252.75,15184500,-1
13-Nov-94,252.75,253.50,249.20,249.38,13844700,0
20-Nov-94,249.58,250.96,248.15,248.58,15832000,0
27-Nov-94,248.67,248.97,238.90,242.03,12293600,0
4-Dec-94,242.03,244.28,241.83,242.81,14238100,0
11-Dec-94,242.81,243.32,233.89,235.16,15396400,0
18-Dec-94,235.16,241.88,234.37,241.00,17623900,0
25-Dec-94,241.00,244.80,239.93,244.73,15145500,0
1-Jan-95,244.73,250.36,244.73,250.36,9643500,0
8-Jan-95,250.36,250.36,246.61,248.08,11990900,0
15-Jan-95,248.08,250.00,247.35,249.95,16273000,1
22-Jan-95,249.95,253.13,248.89,249.64,16692900,0
29-Jan-95,249.64,249.64,247.08,248.47,16353700,0
5-Feb-95,248.47,251.20,246.38,250.78,18865600,0
12-Feb-95,250.78,255.42,250.78,255.42,15804500,0
19-Feb-95,255.34,257.50,254.13,254.71,16500500,0
26-Feb-95,254.71,255.47,253.72,255.47,13445800,0
5-Mar-95,255.47,256.90,253.56,256.90,16264800,0
12-Mar-95,256.89,256.89,253.69,256.01,17073400,0
19-Mar-95,256.01,258.21,255.73,257.32,17126600,0
26-Mar-95,257.32,258.85,256.60,258.85,16729600,0
2-Apr-95,258.85,261.55,258.22,260.77,17186600,0
9-Apr-95,260.60,261.55,259.62,260.02,15774100,0
16-Apr-95,260.02,263.99,260.02,263.98,12010900,0
23-Apr-95,263.98,264.82,260.01,262.51,18289200,0
30-Apr-95,262.51,266.18,262.29,266.17,17034900,0
7-May-95,266.20,267.48,264.59,265.62,17696500,0
14-May-95,265.61,269.87,265.27,269.85,17401200,0
21-May-95,269.85,273.08,269.38,270.55,17363200,0
28-May-95,270.55,273.85,270.18,270.57,16751900,0
4-Jun-95,270.67,272.42,268.40,272.27,13510900,0
11-Jun-95,272.27,275.80,272.27,275.21,16237300,0
18-Jun-95,275.21,281.35,275.21,280.81,17377900,0
25-Jun-95,280.80,284.40,280.80,284.02,18432000,0
2-Jul-95,284.03,284.06,279.00,283.63,16364700,0
9-Jul-95,283.63,289.35,283.19,289.35,13628200,0
16-Jul-95,289.47,294.88,289.31,294.88,19032800,0
23-Jul-95,294.85,295.97,285.15,290.53,19963800,0
30-Jul-95,290.53,299.31,290.53,299.23,17487200,0
6-Aug-95,299.23,299.92,295.21,298.27,16673600,0
13-Aug-95,298.29,300.00,298.29,299.08,14590900,0
20-Aug-95,299.08,304.34,299.03,304.30,16627500,0
27-Aug-95,304.30,305.51,303.57,304.36,14411800,0
3-Sep-95,304.36,306.20,300.22,306.17,14671100,0
10-Sep-95,306.17,314.42,306.17,314.42,13418700,0
17-Sep-95,314.42,316.98,313.54,314.29,18680100,0
24-Sep-95,314.29,314.87,311.23,312.05,18352000,0
1-Oct-95,311.72,311.82,303.89,310.38,17510200,0
8-Oct-95,310.38,310.38,300.04,301.82,17154100,-1
15-Oct-95,301.82,302.64,291.26,302.07,17475100,0
22-Oct-95,302.07,304.33,301.60,302.82,18643800,0
29-Oct-95,302.82,302.82,291.64,294.55,20236400,0
5-Nov-95,294.55,302.81,294.55,302.79,18202100,0
12-Nov-95,302.79,304.52,300.75,304.32,17192300,1
19-Nov-95,304.32,304.43,300.49,303.84,18868400,0
26-Nov-95,303.84,304.29,300.25,302.26,12723200,0
3-Dec-95,302.26,309.83,302.26,309.74,19996300,0
10-Dec-95,309.74,314.19,309.74,311.55,19677800,0
17-Dec-95,311.55,313.72,310.32,310.42,22112500,0
24-Dec-95,310.42,312.37,303.38,312.31,20476500,0
31-Dec-95,312.31,316.01,312.24,315.97,10794900,0
7-Jan-96,315.97,316.89,308.93,312.19,17828200,0
14-Jan-96,312.19,312.41,302.76,305.14,18367900,-1
21-Jan-96,305.14,305.53,299.45,305.28,21382500,0
28-Jan-96,305.28,311.22,305.28,311.22,21303000,0
4-Feb-96,311.22,318.48,311.16,317.72,21815200,1
11-Feb-96,317.72,321.37,317.09,321.12,22590400,0
18-Feb-96,321.11,322.23,318.79,321.59,21257100,0
25-Feb-96,321.59,326.09,318.53,325.76,17650100,0
3-Mar-96,325.76,326.45,323.21,324.10,22031100,0
10-Mar-96,324.10,327.69,318.33,319.21,22635300,0
17-Mar-96,319.21,325.96,318.48,325.08,23401100,0
24-Mar-96,325.08,329.59,325.08,329.48,19817500,0
31-Mar-96,329.48,331.52,326.75,330.77,19273300,0
7-Apr-96,330.77,334.91,330.77,334.79,15687800,0
14-Apr-96,334.79,334.79,328.33,331.18,22467300,0
21-Apr-96,331.18,339.10,331.18,338.51,21157200,0
28-Apr-96,338.52,347.91,338.52,347.83,22080200,0
5-May-96,347.83,350.63,345.83,346.85,20190100,0
12-May-96,346.86,351.15,341.34,351.15,21147300,0
19-May-96,351.15,360.64,351.15,360.63,21236200,0
26-May-96,360.63,364.96,360.63,364.59,19792800,0
2-Jun-96,364.59,364.93,358.48,361.85,14219200,0
9-Jun-96,361.85,364.34,354.81,358.84,19953800,0
16-Jun-96,358.84,360.73,355.08,355.08,19283100,0
23-Jun-96,355.08,355.63,343.01,345.21,20167100,0
30-Jun-96,345.21,347.46,339.28,346.61,19883000,0
7-Jul-96,346.61,347.83,339.72,339.78,12514800,0
14-Jul-96,339.78,339.78,322.58,323.69,20863700,-1
21-Jul-96,323.69,324.02,303.04,321.54,18836700,0
28-Jul-96,321.55,321.55,305.12,314.57,19675200,0
4-Aug-96,314.57,324.71,312.54,324.41,19074000,0
11-Aug-96,324.41,328.17,323.62,327.44,17107200,0
18-Aug-96,327.44,328.93,325.02,328.91,16797100,0
25-Aug-96,328.91,331.77,328.15,331.77,16408200,0
1-Sep-96,331.77,335.62,331.02,333.88,14678900,0
8-Sep-96,333.88,334.57,330.42,334.10,14071700,0
15-Sep-96,334.10,341.01,334.09,340.79,19485500,1
22-Sep-96,340.79,343.06,340.79,342.82,21945300,0
29-Sep-96,342.82,345.52,340.85,345.52,21252500,0
6-Oct-96,345.52,349.30,344.59,349.30,21063800,0
13-Oct-96,349.30,349.79,345.38,347.89,20152700,0
20-Oct-96,347.89,350.43,347.18,347.85,21739600,0
27-Oct-96,347.85,347.99,341.31,342.97,20542000,0
3-Nov-96,342.97,343.04,337.71,339.76,22193000,-1
10-Nov-96,339.76,344.58,338.90,344.56,23061000,0
17-Nov-96,344.56,347.90,344.51,346.52,22661900,0
24-Nov-96,346.52,350.09,345.63,349.92,23380400,1
1-Dec-96,349.92,354.29,349.92,354.11,15319700,0
8-Dec-96,354.11,359.35,349.68,355.50,24114900,0
15-Dec-96,355.50,362.43,353.66,354.18,22733600,0
22-Dec-96,354.18,357.83,348.45,356.71,26486400,0
29-Dec-96,356.71,359.17,354.98,359.17,10168600,0
5-Jan-97,359.17,362.62,357.61,361.85,16550200,0
12-Jan-97,361.83,366.09,361.78,366.09,27283100,0
19-Jan-97,366.09,368.38,365.55,367.88,25739200,0
26-Jan-97,367.88,373.17,367.11,368.14,28270400,0
2-Feb-97,368.14,369.78,365.36,369.45,25884400,0
9-Feb-97,369.45,369.94,364.76,366.75,26112200,0
16-Feb-97,366.75,369.27,362.10,369.13,26038200,0
23-Feb-97,369.13,370.65,365.81,366.37,19641300,0
2-Mar-97,366.37,367.15,358.41,360.05,25392900,-1
9-Mar-97,360.05,366.09,359.11,365.46,25561900,0
16-Mar-97,365.46,367.87,359.96,361.04,24513300,0
23-Mar-97,361.04,361.04,350.56,351.73,25442600,0
30-Mar-97,351.73,353.27,348.17,348.95,19229500,0
6-Apr-97,348.95,348.97,335.18,340.84,25924500,0
13-Apr-97,340.84,347.59,339.06,339.25,22222500,0
20-Apr-97,339.25,341.89,336.39,341.74,23856900,0
27-Apr-97,341.74,342.04,335.71,335.85,23021400,0
4-May-97,335.85,354.01,335.37,353.98,24751400,1
11-May-97,353.98,363.53,353.98,361.42,26434800,0
18-May-97,361.42,367.06,361.42,365.28,23990500,0
25-May-97,365.28,375.67,365.02,375.67,21806900,0
1-Jun-97,375.67,380.76,374.26,380.76,19232900,0
8-Jun-97,380.76,387.22,380.59,387.14,23713100,0
15-Jun-97,387.14,392.45,386.75,392.07,26750700,0
22-Jun-97,392.07,396.51,390.79,393.60,26390800,0
29-Jun-97,393.60,393.93,389.97,392.53,26109500,0
6-Jul-97,392.53,396.99,391.95,396.17,20073800,0
13-Jul-97,396.18,402.27,395.48,402.26,26852900,0
20-Jul-97,402.26,410.26,402.23,405.89,29506800,0
27-Jul-97,404.11,409.10,403.14,408.54,27485500,0
3-Aug-97,408.54,414.78,408.18,414.21,26415100,0
10-Aug-97,414.21,421.75,411.59,414.19,26863600,0
17-Aug-97,414.19,414.94,408.58,408.58,26351400,0
24-Aug-97,408.58,419.29,406.17,415.73,25403900,0
31-Aug-97,415.73,423.82,415.73,423.43,22304600,0
7-Sep-97,423.43,433.04,423.43,433.04,21366400,0
14-Sep-97,433.04,440.09,433.02,440.09,26054200,0
21-Sep-97,440.09,447.78,440.02,447.17,28928300,0
28-Sep-97,447.17,450.33,446.94,448.88,26835100,0
5-Oct-97,448.88,461.31,448.54,459.52,27613900,0
12-Oct-97,459.52,465.03,459.52,465.03,26732200,0
19-Oct-97,465.03,466.21,443.96,449.29,25924300,0
26-Oct-97,449.29,459.31,447.02,447.53,30305800,0
2-Nov-97,447.53,447.53,405.37,433.26,40242400,-1
9-Nov-97,433.26,444.93,433.16,435.22,27648800,0
16-Nov-97,435.22,438.03,418.83,428.41,27748600,0
23-Nov-97,428.41,437.88,428.41,435.05,28542500,0
30-Nov-97,435.05,435.05,425.44,429.92,17796300,0
7-Dec-97,429.92,438.06,429.92,438.06,29880900,1
14-Dec-97,438.06,442.03,421.47,422.63,28427900,-1
21-Dec-97,422.63,427.17,412.68,420.03,32514400,0
28-Dec-97,420.03,423.75,420.03,421.49,14666200,0
4-Jan-98,421.49,438.62,421.49,436.52,17766700,0
11-Jan-98,436.52,438.17,412.07,412.95,33123800,0
18-Jan-98,412.95,426.70,404.86,426.25,31946000,1
25-Jan-98,426.25,431.32,424.29,424.81,25532900,0
1-Feb-98,424.81,432.10,420.54,430.05,33068300,0
8-Feb-98,430.05,445.78,430.05,445.50,33854900,0
15-Feb-98,445.50,454.29,445.50,454.29,29103300,0
22-Feb-98,454.29,455.94,451.82,453.99,23880100,0
1-Mar-98,453.99,462.42,453.56,461.83,29727200,0
8-Mar-98,461.83,464.01,456.08,463.72,31618800,0
15-Mar-98,463.72,469.76,460.98,468.77,31046200,0
22-Mar-98,468.78,475.35,468.78,474.25,31781800,0
29-Mar-98,474.25,479.28,473.60,477.15,31025800,0
5-Apr-98,477.14,487.36,475.85,485.79,31778600,0
12-Apr-98,485.79,487.32,472.96,480.04,24618400,0
19-Apr-98,480.06,487.16,477.46,487.01,32350900,0
26-Apr-98,487.01,492.28,479.38,480.32,32546500,0
3-May-98,480.32,485.05,466.03,484.94,32809200,0
10-May-98,484.94,487.54,475.80,479.51,28920000,0
17-May-98,479.51,481.69,472.43,472.44,29656400,0
24-May-98,472.44,472.65,461.87,462.99,26684000,0
31-May-98,462.99,464.51,445.60,456.62,23691300,0
7-Jun-98,456.62,456.62,449.07,454.24,28489800,0
14-Jun-98,454.24,457.39,437.36,441.59,29771800,-1
21-Jun-98,441.59,445.60,433.66,438.47,33107600,0
28-Jun-98,438.42,453.98,438.42,450.27,30935000,0
5-Jul-98,450.27,459.86,450.27,458.31,25333600,0
12-Jul-98,458.31,460.44,457.74,458.43,29865500,1
19-Jul-98,458.43,464.33,458.10,462.36,32949100,0
26-Jul-98,462.36,463.03,436.78,438.58,34002800,-1
2-Aug-98,438.58,438.58,419.75,419.75,33012500,0
9-Aug-98,419.75,420.18,394.03,415.80,38521000,0
16-Aug-98,415.80,415.98,397.81,402.79,33700100,0
23-Aug-98,402.79,412.84,390.00,395.64,32559400,0
30-Aug-98,395.64,398.12,358.07,358.54,36760000,0
6-Sep-98,358.54,360.45,335.87,347.07,46895000,0
13-Sep-98,347.07,361.93,343.07,353.62,32185000,0
20-Sep-98,353.62,363.26,351.42,363.26,37257000,0
27-Sep-98,363.26,376.97,356.36,369.02,37471800,0
4-Oct-98,369.02,371.49,344.46,349.71,40533000,0
11-Oct-98,349.71,349.71,303.87,318.40,46329000,0
18-Oct-98,318.40,342.88,318.40,342.87,41954000,0
25-Oct-98,342.87,367.70,342.73,367.05,38344400,1
1-Nov-98,367.05,379.23,366.91,378.16,35363100,0
8-Nov-98,378.16,400.83,378.16,400.32,37725000,0
15-Nov-98,400.32,400.61,389.36,389.36,32445600,0
22-Nov-98,389.36,394.64,385.63,394.29,33654900,0
