Date,Open,High,Low,Close,Volume,BuySell
14-Mar-93,1.96,2.05,1.96,2.01,183909600,0
21-Mar-93,2.00,2.06,1.91,1.92,168456400,0
28-Mar-93,1.91,1.96,1.88,1.90,183402800,0
4-Apr-93,1.87,1.88,1.77,1.79,277698400,0
11-Apr-93,1.79,1.81,1.73,1.78,160955200,0
18-Apr-93,1.77,1.83,1.67,1.72,333272800,0
25-Apr-93,1.73,1.81,1.72,1.76,241250800,0
2-May-93,1.76,1.88,1.73,1.83,152625200,0
9-May-93,1.83,1.98,1.82,1.96,160356000,0
16-May-93,1.96,2.00,1.89,1.98,220166800,0
23-May-93,1.98,2.11,1.95,2.05,211153600,0
30-May-93,2.03,2.10,1.98,2.02,208460000,0
6-Jun-93,2.02,2.08,1.95,1.96,176523200,0
13-Jun-93,1.95,1.96,1.53,1.56,769462400,0
20-Jun-93,1.57,1.62,1.42,1.46,442906816,0
27-Jun-93,1.45,1.50,1.41,1.43,317671200,0
4-Jul-93,1.45,1.45,1.35,1.38,314484800,0
11-Jul-93,1.37,1.39,1.29,1.31,169534400,0
18-Jul-93,1.31,1.38,0.95,0.98,759231232,-1
25-Jul-93,1.00,1.03,0.91,0.94,559750784,0
1-Aug-93,0.96,1.01,0.93,0.99,194762400,0
8-Aug-93,1.01,1.10,1.00,1.04,242768400,0
15-Aug-93,1.04,1.08,0.93,0.98,239537200,0
22-Aug-93,0.98,1.06,0.96,1.00,162853600,0
29-Aug-93,1.00,1.03,0.94,0.95,175229600,0
5-Sep-93,0.95,0.96,0.90,0.92,268094400,0
12-Sep-93,0.93,0.96,0.91,0.94,163548000,0
19-Sep-93,0.94,0.95,0.84,0.90,262035200,0
26-Sep-93,0.90,0.91,0.85,0.89,143886400,0
3-Oct-93,0.89,0.90,0.80,0.81,263841200,0
10-Oct-93,0.81,0.86,0.79,0.81,204685600,0
17-Oct-93,0.81,1.02,0.81,1.01,440106816,1
24-Oct-93,1.00,1.13,0.97,1.08,427041984,0
31-Oct-93,1.08,1.15,1.04,1.10,320499200,0
7-Nov-93,1.10,1.18,1.08,1.14,267646400,0
14-Nov-93,1.14,1.15,1.06,1.13,175327600,0
21-Nov-93,1.13,1.25,1.13,1.18,250045600,0
28-Nov-93,1.17,1.20,1.12,1.17,117664400,0
5-Dec-93,1.15,1.17,1.11,1.13,135427600,0
12-Dec-93,1.13,1.16,0.99,1.01,235110400,0
19-Dec-93,1.01,1.06,0.99,1.05,233349200,0
26-Dec-93,1.04,1.06,0.95,0.97,212122400,-1
2-Jan-94,0.99,1.08,0.97,1.04,225576400,0
9-Jan-94,1.05,1.21,1.04,1.18,436035584,1
16-Jan-94,1.18,1.21,1.06,1.11,435553984,-1
23-Jan-94,1.11,1.20,1.03,1.19,509580416,1
30-Jan-94,1.19,1.26,1.18,1.21,392243584,0
6-Feb-94,1.20,1.25,1.15,1.20,258389600,0
13-Feb-94,1.20,1.34,1.20,1.32,416024000,0
20-Feb-94,1.32,1.36,1.29,1.29,197892800,0
27-Feb-94,1.29,1.37,1.27,1.29,227446800,0
6-Mar-94,1.29,1.34,1.24,1.31,261290400,0
13-Mar-94,1.32,1.36,1.29,1.33,262648400,0
20-Mar-94,1.38,1.38,1.28,1.30,293330816,-1
27-Mar-94,1.30,1.30,1.17,1.17,309439200,0
3-Apr-94,1.18,1.21,1.13,1.19,218744400,0
10-Apr-94,1.15,1.22,1.13,1.20,162377600,0
17-Apr-94,1.20,1.20,1.07,1.08,221785200,0
24-Apr-94,1.09,1.14,0.96,1.06,446689600,0
1-May-94,1.06,1.13,1.05,1.07,179681600,0
8-May-94,1.07,1.21,1.05,1.15,274097600,0
15-May-94,1.15,1.16,1.04,1.07,158138400,0
22-May-94,1.07,1.16,1.03,1.11,202770400,0
29-May-94,1.11,1.13,1.05,1.07,141058400,0
5-Jun-94,1.05,1.05,0.96,0.99,345441600,0
12-Jun-94,0.98,0.99,0.91,0.95,244176800,0
19-Jun-94,0.94,1.00,0.92,0.95,212363200,0
26-Jun-94,0.94,0.97,0.88,0.91,263446400,0
3-Jul-94,0.90,0.97,0.88,0.92,211688400,0
10-Jul-94,0.92,0.99,0.91,0.97,140403200,0
17-Jul-94,0.97,1.08,0.94,1.01,268657216,1
24-Jul-94,1.00,1.14,0.94,1.11,371554400,0
31-Jul-94,1.11,1.21,1.09,1.20,386582016,0
7-Aug-94,1.20,1.21,1.15,1.19,249362400,0
14-Aug-94,1.18,1.25,1.18,1.24,237795600,0
21-Aug-94,1.24,1.26,1.21,1.25,224700000,0
28-Aug-94,1.24,1.30,1.22,1.28,260360800,0
4-Sep-94,1.28,1.33,1.24,1.26,247903600,0
11-Sep-94,1.26,1.31,1.25,1.28,152849200,0
18-Sep-94,1.27,1.33,1.25,1.30,229238800,0
25-Sep-94,1.30,1.31,1.20,1.21,221390400,0
2-Oct-94,1.21,1.23,1.19,1.20,128284800,0
9-Oct-94,1.20,1.36,1.16,1.32,473272800,0
16-Oct-94,1.33,1.53,1.32,1.47,666097600,0
23-Oct-94,1.46,1.53,1.39,1.52,416152800,0
30-Oct-94,1.53,1.56,1.48,1.50,283872384,0
6-Nov-94,1.50,1.55,1.43,1.44,273828800,-1
13-Nov-94,1.44,1.54,1.43,1.47,270900000,0
20-Nov-94,1.47,1.54,1.42,1.43,198030000,0
27-Nov-94,1.43,1.44,1.30,1.35,209742400,0
4-Dec-94,1.34,1.41,1.27,1.31,269105216,0
11-Dec-94,1.30,1.37,1.24,1.29,246562400,0
18-Dec-94,1.30,1.37,1.27,1.33,265521200,0
25-Dec-94,1.33,1.41,1.33,1.39,223092800,0
1-Jan-95,1.40,1.42,1.37,1.39,91378000,0
8-Jan-95,1.39,1.54,1.35,1.50,353203200,1
15-Jan-95,1.49,1.72,1.46,1.60,666464384,0
22-Jan-95,1.60,1.68,1.52,1.52,490350016,0
29-Jan-95,1.50,1.52,1.39,1.42,419666816,-1
5-Feb-95,1.43,1.50,1.42,1.45,281131200,0
12-Feb-95,1.46,1.58,1.41,1.56,418462784,1
19-Feb-95,1.55,1.59,1.52,1.52,243507600,0
26-Feb-95,1.52,1.53,1.38,1.39,369630784,-1
5-Mar-95,1.37,1.46,1.36,1.44,282685184,0
12-Mar-95,1.42,1.44,1.35,1.41,245618800,0
19-Mar-95,1.42,1.42,1.23,1.25,579241600,0
26-Mar-95,1.25,1.41,1.25,1.35,318152800,0
2-Apr-95,1.34,1.34,1.21,1.26,446532800,0
9-Apr-95,1.27,1.36,1.20,1.31,466477184,0
16-Apr-95,1.32,1.42,1.29,1.37,245347200,0
23-Apr-95,1.36,1.41,1.27,1.40,428876000,1
30-Apr-95,1.39,1.42,1.33,1.37,277874816,0
7-May-95,1.37,1.42,1.34,1.39,244599600,0
14-May-95,1.42,1.56,1.42,1.56,539137216,0
21-May-95,1.54,1.58,1.52,1.53,420795200,0
28-May-95,1.52,1.58,1.51,1.52,302657600,0
4-Jun-95,1.52,1.53,1.46,1.50,162083600,0
11-Jun-95,1.51,1.58,1.50,1.55,254301600,0
18-Jun-95,1.57,1.59,1.55,1.57,159518800,0
25-Jun-95,1.57,1.79,1.55,1.74,634989568,0
2-Jul-95,1.72,1.73,1.62,1.66,258571600,0
9-Jul-95,1.66,1.76,1.63,1.74,196915600,0
16-Jul-95,1.74,1.78,1.65,1.74,356672384,0
23-Jul-95,1.75,1.78,1.54,1.56,522745984,-1
30-Jul-95,1.57,1.70,1.56,1.63,308929600,0
6-Aug-95,1.63,1.63,1.55,1.58,262704400,0
13-Aug-95,1.58,1.59,1.50,1.54,292081984,0
20-Aug-95,1.54,1.63,1.53,1.60,316489600,0
27-Aug-95,1.60,1.65,1.58,1.60,291225216,0
3-Sep-95,1.60,1.61,1.52,1.53,224954800,0
10-Sep-95,1.55,1.62,1.53,1.60,204458800,0
17-Sep-95,1.60,1.63,1.27,1.28,646004800,0
24-Sep-95,1.30,1.34,1.28,1.32,544824000,0
1-Oct-95,1.37,1.37,1.24,1.33,407988000,0
8-Oct-95,1.35,1.38,1.27,1.27,375426816,0
15-Oct-95,1.26,1.32,1.20,1.29,375737600,0
22-Oct-95,1.29,1.41,1.24,1.25,551079168,0
29-Oct-95,1.25,1.27,1.22,1.24,206169600,0
5-Nov-95,1.25,1.33,1.24,1.30,247570400,0
12-Nov-95,1.30,1.46,1.30,1.42,472553216,1
19-Nov-95,1.44,1.52,1.41,1.43,331886784,0
26-Nov-95,1.44,1.44,1.35,1.44,137205600,0
3-Dec-95,1.45,1.45,1.33,1.34,194124000,-1
10-Dec-95,1.43,1.43,1.35,1.41,332166784,0
17-Dec-95,1.41,1.42,1.23,1.26,508622784,0
24-Dec-95,1.25,1.26,1.13,1.15,507668000,0
31-Dec-95,1.16,1.19,1.13,1.14,240550800,0
7-Jan-96,1.15,1.22,1.12,1.22,328809600,0
14-Jan-96,1.23,1.27,1.15,1.21,474146400,0
21-Jan-96,1.21,1.24,1.05,1.07,620003968,0
28-Jan-96,1.06,1.21,1.02,1.09,831219200,0
4-Feb-96,1.04,1.06,0.96,1.04,543129984,0
11-Feb-96,1.06,1.07,0.98,0.99,343532000,0
18-Feb-96,1.00,1.03,0.98,0.98,216120800,0
25-Feb-96,1.00,1.08,1.00,1.07,239055600,0
3-Mar-96,1.07,1.08,0.95,0.96,199844400,0
10-Mar-96,0.97,0.98,0.89,0.93,203529200,0
17-Mar-96,0.94,0.94,0.91,0.92,129396400,0
24-Mar-96,0.93,0.95,0.89,0.91,141758400,0
31-Mar-96,0.91,0.92,0.82,0.88,304220000,0
7-Apr-96,0.90,0.92,0.86,0.86,104591200,0
14-Apr-96,0.85,0.95,0.85,0.91,189593600,0
21-Apr-96,0.91,0.93,0.87,0.90,164987200,0
28-Apr-96,0.90,0.91,0.86,0.88,193169200,0
