Date,Open,High,Low,Close,Volume,BuySell
18-May-97,2.44,2.50,1.71,1.73,86856000,0
25-May-97,1.76,1.77,1.31,1.50,58141200,0
1-Jun-97,1.51,1.65,1.46,1.50,19339200,0
8-Jun-97,1.51,1.71,1.38,1.66,18334800,0
15-Jun-97,1.66,1.71,1.53,1.58,11324400,0
22-Jun-97,1.60,1.60,1.49,1.53,12475200,0
29-Jun-97,1.54,1.54,1.48,1.49,8282400,0
6-Jul-97,1.51,1.92,1.48,1.91,20498400,0
13-Jul-97,1.83,2.57,1.83,2.29,51415200,0
20-Jul-97,2.32,2.49,2.11,2.16,20852400,0
27-Jul-97,2.18,2.33,2.06,2.23,7234800,0
3-Aug-97,2.23,2.51,2.22,2.42,14948400,0
10-Aug-97,2.38,2.41,2.10,2.29,11192400,0
17-Aug-97,2.29,2.33,1.94,2.11,5040000,0
24-Aug-97,2.05,2.21,1.97,2.13,5124000,0
31-Aug-97,2.10,2.40,2.10,2.34,6962400,0
7-Sep-97,2.34,2.67,2.31,2.50,7952400,0
14-Sep-97,2.53,3.70,2.50,3.69,26082000,0
21-Sep-97,3.67,4.08,3.05,3.95,25681200,1
28-Sep-97,4.00,4.81,3.95,4.17,40520400,0
5-Oct-97,4.15,4.50,3.80,4.02,15666000,0
12-Oct-97,4.00,4.19,3.67,3.90,14314800,0
19-Oct-97,3.93,4.10,3.52,3.63,10732800,-1
26-Oct-97,3.68,5.06,3.67,5.03,37365600,1
2-Nov-97,4.80,5.50,3.88,5.08,34734000,0
9-Nov-97,5.22,5.22,4.39,4.48,12998400,-1
16-Nov-97,4.50,4.56,3.67,4.17,25920000,0
23-Nov-97,4.23,4.60,4.22,4.49,20320800,0
30-Nov-97,4.38,4.42,4.04,4.13,8558400,0
7-Dec-97,4.24,4.59,4.14,4.59,10635600,0
14-Dec-97,4.54,4.83,4.40,4.54,15230400,0
21-Dec-97,4.58,4.67,4.17,4.50,17479200,0
28-Dec-97,4.50,4.78,4.43,4.52,8353200,0
4-Jan-98,4.58,5.04,4.53,4.96,14944800,0
11-Jan-98,4.89,4.94,4.23,4.26,23149200,0
18-Jan-98,4.17,5.01,4.15,4.79,31806000,1
25-Jan-98,4.82,5.34,4.81,4.94,32796000,0
1-Feb-98,4.98,5.06,4.63,4.92,22668000,0
8-Feb-98,4.95,5.25,4.88,4.91,20532000,0
15-Feb-98,4.92,5.46,4.77,5.19,32853600,0
22-Feb-98,5.22,5.29,5.05,5.27,12487200,0
1-Mar-98,5.29,6.64,5.21,6.42,64748400,0
8-Mar-98,6.32,6.52,5.83,6.40,44175600,0
15-Mar-98,6.41,7.35,6.40,6.56,76477200,0
22-Mar-98,6.63,7.29,6.49,7.00,38600400,0
29-Mar-98,6.96,7.26,6.63,7.08,35499600,0
5-Apr-98,7.16,8.06,6.98,7.75,54854400,0
12-Apr-98,7.85,8.00,7.06,7.94,50007600,0
19-Apr-98,7.91,8.33,7.67,7.91,61776000,0
26-Apr-98,7.95,8.29,6.71,7.07,57674400,0
3-May-98,6.95,8.29,6.43,7.88,151929600,0
10-May-98,7.92,7.99,7.35,7.70,39853200,0
17-May-98,7.74,7.89,7.21,7.47,50181600,-1
24-May-98,7.50,7.63,7.13,7.17,23355600,0
31-May-98,7.17,7.42,6.65,7.34,52172400,0
7-Jun-98,7.33,7.54,6.88,7.38,31249200,0
14-Jun-98,7.30,10.58,7.25,10.17,106691400,1
21-Jun-98,9.92,13.75,9.85,12.64,181452608,0
28-Jun-98,12.46,17.46,12.04,15.71,218100608,0
5-Jul-98,15.79,20.92,15.79,20.67,126919200,0
12-Jul-98,21.23,23.96,16.35,16.58,206922000,-1
19-Jul-98,16.08,20.08,15.71,19.97,94041600,0
26-Jul-98,20.19,24.50,19.50,20.71,168012000,1
2-Aug-98,19.85,21.23,17.58,18.48,114436800,-1
9-Aug-98,18.29,19.81,16.67,19.33,106075200,0
16-Aug-98,19.50,22.50,19.17,20.46,110854800,0
23-Aug-98,20.13,22.29,19.75,21.61,82922400,0
30-Aug-98,21.71,22.92,17.21,17.65,99754800,0
6-Sep-98,17.57,17.94,10.83,14.38,199063200,0
13-Sep-98,15.67,15.79,12.25,12.68,95415000,0
20-Sep-98,13.40,14.32,11.73,13.28,130607400,0
27-Sep-98,12.67,19.48,12.67,18.21,187379392,0
4-Oct-98,19.40,20.00,16.67,18.38,175258800,1
11-Oct-98,18.15,18.71,13.33,15.20,146613600,-1
18-Oct-98,16.19,16.99,14.96,16.57,86469000,0
25-Oct-98,16.50,19.72,16.50,19.35,88786800,0
1-Nov-98,19.85,21.64,19.04,21.07,113687400,1
8-Nov-98,21.35,22.18,20.67,20.76,103891800,0
15-Nov-98,20.31,23.33,20.13,21.29,93598200,0
22-Nov-98,21.42,30.29,20.58,30.10,237980992,0
29-Nov-98,31.81,38.85,31.01,36.10,186566400,0
6-Dec-98,36.60,36.71,30.33,31.42,150649792,-1
13-Dec-98,32.17,37.39,30.85,37.17,143659808,0
20-Dec-98,36.85,50.29,36.33,47.78,269150400,1
27-Dec-98,50.58,55.00,50.00,54.14,85122000,0
3-Jan-99,55.17,60.31,50.65,53.54,105388200,0
10-Jan-99,54.61,99.56,53.25,80.13,252278800,0
17-Jan-99,92.00,92.50,62.50,70.19,134287600,-1
24-Jan-99,75.25,75.25,46.28,61.50,132754600,0
31-Jan-99,60.75,69.88,55.00,58.47,127027800,0
