Date,Open,High,Low,Close,Volume,BuySell
28-Mar-93,17.31,17.88,17.19,17.50,10528200,0
4-Apr-93,17.56,17.88,17.25,17.25,8224400,0
11-Apr-93,17.25,18.44,17.13,18.06,7948200,0
18-Apr-93,18.06,18.94,17.94,18.88,11232200,0
25-Apr-93,18.88,19.19,18.19,19.00,11304000,0
2-May-93,19.00,19.13,18.31,19.00,7333600,0
9-May-93,19.00,19.94,18.75,19.50,8780000,0
16-May-93,19.50,20.19,19.06,19.94,11942400,0
23-May-93,19.94,20.50,19.81,20.00,12088200,0
30-May-93,20.00,20.31,19.63,19.81,7851000,0
6-Jun-93,19.81,20.00,19.56,19.81,4119000,0
13-Jun-93,19.81,19.81,19.06,19.44,5609600,0
20-Jun-93,19.44,19.75,19.25,19.38,6245600,0
27-Jun-93,19.38,19.50,19.00,19.13,5598200,0
4-Jul-93,19.13,19.19,18.31,18.38,8358200,0
11-Jul-93,18.38,18.94,18.13,18.69,5216200,0
18-Jul-93,18.69,18.94,18.63,18.69,5427800,0
25-Jul-93,18.69,19.19,18.63,18.88,4959000,0
1-Aug-93,19.00,19.88,19.00,19.69,7536200,1
8-Aug-93,19.56,19.56,18.94,19.44,5652000,0
15-Aug-93,19.44,19.63,19.13,19.19,5628600,0
22-Aug-93,19.19,19.94,18.94,19.75,7644800,0
29-Aug-93,19.69,19.69,19.25,19.44,5417400,0
5-Sep-93,19.44,19.94,19.44,19.81,5761200,0
12-Sep-93,19.81,20.25,19.56,20.19,8494400,0
19-Sep-93,20.19,20.38,19.88,19.94,7739600,0
26-Sep-93,19.94,20.06,19.38,19.44,6322400,0
3-Oct-93,19.50,19.75,19.06,19.38,5080600,0
10-Oct-93,19.38,19.56,18.44,18.69,7322800,-1
17-Oct-93,18.69,19.31,18.56,18.88,6189200,0
24-Oct-93,18.88,19.44,18.75,19.13,6602800,0
31-Oct-93,19.00,19.06,18.25,18.75,8637800,0
7-Nov-93,18.75,19.00,18.44,18.63,6909200,0
14-Nov-93,18.63,18.63,17.69,18.19,11789000,0
21-Nov-93,18.38,20.50,18.38,19.25,17739200,1
28-Nov-93,19.25,19.63,19.13,19.38,5529000,0
5-Dec-93,19.38,19.69,18.81,19.06,8073800,0
12-Dec-93,19.19,20.75,19.19,20.00,16864200,0
19-Dec-93,20.00,22.38,20.00,22.19,23393600,0
26-Dec-93,22.19,22.38,21.56,21.88,9881800,0
2-Jan-94,21.88,22.25,21.44,21.63,6017400,0
9-Jan-94,21.69,22.13,21.13,21.44,10845000,0
16-Jan-94,21.44,22.31,21.13,22.19,10620200,0
23-Jan-94,22.19,22.75,21.94,22.56,11416800,0
30-Jan-94,22.56,22.63,21.19,21.31,11021800,-1
6-Feb-94,21.50,21.94,21.25,21.25,9021000,0
13-Feb-94,21.25,21.94,21.06,21.81,8109800,0
20-Feb-94,21.81,24.38,21.75,23.75,24173000,1
27-Feb-94,23.75,23.94,23.13,23.69,9473000,0
6-Mar-94,23.69,23.88,22.56,23.56,9903400,0
13-Mar-94,23.69,23.94,23.25,23.81,7064400,0
20-Mar-94,23.81,24.13,22.56,23.50,11915800,0
27-Mar-94,23.50,23.75,22.88,22.88,5807600,-1
3-Apr-94,22.88,23.06,21.63,22.25,7704000,0
10-Apr-94,22.25,22.88,21.63,22.38,9365600,0
17-Apr-94,22.38,23.06,22.31,22.63,7880600,0
24-Apr-94,22.63,22.88,21.81,21.88,8434800,0
1-May-94,22.19,22.56,22.00,22.50,4320600,0
8-May-94,22.50,22.75,22.06,22.31,5080400,0
15-May-94,22.31,22.44,21.88,21.88,5963000,0
22-May-94,21.88,22.19,21.56,22.13,7543400,0
29-May-94,22.13,23.63,21.88,23.19,9689200,1
5-Jun-94,23.19,24.31,23.00,24.13,7632000,0
12-Jun-94,24.13,24.63,23.75,24.13,9176200,0
19-Jun-94,24.13,25.06,24.00,24.19,10191200,0
26-Jun-94,24.19,24.38,23.13,23.19,9253800,0
3-Jul-94,23.19,23.75,22.81,23.19,6307200,0
10-Jul-94,23.25,24.13,23.25,23.75,3958000,0
17-Jul-94,23.75,23.94,23.25,23.38,6524400,0
24-Jul-94,23.38,23.56,22.56,23.00,4779800,0
31-Jul-94,23.00,23.06,22.31,22.31,6618200,-1
7-Aug-94,22.31,22.81,22.25,22.50,5729800,0
14-Aug-94,22.50,22.69,22.25,22.44,5666000,0
21-Aug-94,22.44,23.25,22.31,22.50,7924800,0
28-Aug-94,22.25,22.75,21.81,22.56,8458000,0
4-Sep-94,22.56,23.13,22.50,22.94,6393600,0
11-Sep-94,22.94,23.19,22.56,22.88,5727800,0
18-Sep-94,22.88,22.94,22.44,22.81,7169600,0
25-Sep-94,22.81,22.81,21.31,21.44,8845000,0
2-Oct-94,21.44,22.19,21.25,21.63,6976000,0
9-Oct-94,21.63,22.25,21.44,22.00,7962200,0
16-Oct-94,22.00,22.31,21.81,22.25,5314000,0
23-Oct-94,22.25,22.31,21.56,21.81,7017800,0
30-Oct-94,21.81,22.06,21.31,21.88,7179400,0
6-Nov-94,21.88,22.06,21.81,21.81,4749000,0
13-Nov-94,21.81,22.25,21.63,21.69,6395200,0
20-Nov-94,21.69,22.88,21.56,22.38,8949000,1
27-Nov-94,22.38,22.69,22.13,22.31,5149600,0
