Date,Open,High,Low,Close,Volume,BuySell
14-May-17,17.98,18.50,17.86,18.46,130800,0
21-May-17,18.58,19.03,18.41,18.70,303900,0
28-May-17,18.73,20.01,18.64,19.93,410300,0
4-Jun-17,19.92,20.42,19.80,20.13,373200,0
11-Jun-17,19.93,21.50,19.91,21.44,499000,0
18-Jun-17,21.30,21.53,20.50,20.75,434100,0
25-Jun-17,21.06,21.90,20.81,21.85,408500,0
2-Jul-17,22.30,22.82,22.15,22.73,492200,0
9-Jul-17,22.57,22.81,22.41,22.59,281900,0
16-Jul-17,22.59,23.80,22.50,23.77,138900,0
23-Jul-17,23.30,24.19,22.90,23.92,295800,0
30-Jul-17,24.23,24.23,23.63,24.06,191000,0
6-Aug-17,24.28,24.78,23.84,23.90,279600,0
13-Aug-17,24.20,24.40,22.89,23.05,492800,0
20-Aug-17,23.54,24.34,23.52,24.29,300900,0
27-Aug-17,24.49,25.90,24.48,25.82,302300,0
3-Sep-17,26.67,27.13,26.31,27.08,414000,0
10-Sep-17,27.31,27.63,27.24,27.28,290500,0
17-Sep-17,27.25,27.33,26.62,27.08,206500,0
24-Sep-17,27.28,27.28,26.51,26.62,349700,0
1-Oct-17,26.23,26.23,25.49,26.02,379300,0
8-Oct-17,26.45,27.66,26.12,27.41,241800,0
15-Oct-17,27.08,28.20,26.90,28.17,260600,0
22-Oct-17,27.99,28.02,27.30,27.64,297700,0
29-Oct-17,27.30,28.92,27.21,28.81,435200,1
5-Nov-17,28.49,28.71,28.05,28.23,221800,0
12-Nov-17,28.78,30.12,28.74,30.05,347100,0
19-Nov-17,30.05,30.22,29.20,30.02,469200,0
26-Nov-17,30.43,32.16,30.18,30.31,432100,0
3-Dec-17,29.49,29.55,27.66,27.84,568100,-1
10-Dec-17,28.34,28.85,27.31,28.25,293100,0
17-Dec-17,29.11,29.39,28.15,28.19,341600,0
24-Dec-17,28.28,29.84,28.05,29.69,318700,0
31-Dec-17,29.95,29.95,28.58,29.70,251100,0
7-Jan-18,30.77,31.90,30.61,31.90,355500,1
14-Jan-18,32.00,33.43,31.82,33.43,345300,0
21-Jan-18,34.03,35.27,33.56,35.16,509000,0
28-Jan-18,35.90,37.53,35.62,37.42,636100,0
4-Feb-18,35.47,35.99,34.31,34.39,743500,0
11-Feb-18,35.05,35.32,25.35,27.20,1782500,-1
18-Feb-18,28.22,32.09,28.00,31.80,922800,0
25-Feb-18,30.93,31.80,30.22,31.67,463900,0
4-Mar-18,32.65,33.07,29.44,30.48,857300,0
11-Mar-18,30.04,32.54,30.04,32.52,412400,0
18-Mar-18,32.58,32.58,30.83,31.16,489500,0
25-Mar-18,31.17,31.60,27.75,27.79,606400,0
1-Apr-18,28.56,29.88,27.56,29.71,550900,0
8-Apr-18,28.93,29.43,27.61,27.95,371600,0
15-Apr-18,28.06,30.12,27.81,28.53,395800,0
22-Apr-18,27.89,28.03,26.52,26.66,616400,0
29-Apr-18,27.06,28.28,26.43,26.81,616900,0
6-May-18,27.20,27.25,26.18,26.75,403100,0
13-May-18,27.34,29.05,27.26,28.46,487100,0
20-May-18,29.00,29.21,27.82,28.29,388700,0
27-May-18,28.86,28.99,26.95,27.03,416600,0
3-Jun-18,26.78,27.00,25.40,26.53,596300,0
10-Jun-18,26.96,27.74,26.40,26.56,440600,0
17-Jun-18,26.60,27.30,25.44,25.70,295700,0
24-Jun-18,25.33,25.35,22.70,23.20,704000,0
1-Jul-18,22.59,22.59,20.21,21.37,734900,0
