Date,Open,High,Low,Close,Volume,BuySell
4-Jun-10,967.61,1027.68,952.61,1027.68,4191727,0
11-Jun-10,1005.03,1128.23,1001.70,1122.20,11595841,0
18-Jun-10,1126.13,1129.68,993.17,1000.28,3394933,0
25-Jun-10,991.96,1059.75,976.41,1016.28,6565748,0
2-Jul-10,1009.22,1014.41,832.62,873.12,5980538,0
9-Jul-10,857.37,936.53,842.73,932.15,5676804,0
16-Jul-10,931.53,941.07,869.02,892.30,6341035,0
23-Jul-10,881.66,964.74,878.07,960.59,7018208,0
30-Jul-10,962.76,982.01,954.52,968.43,7656717,0
6-Aug-10,968.45,1011.39,955.93,1011.39,8683047,0
13-Aug-10,1013.24,1034.33,986.62,1007.21,9045131,0
20-Aug-10,1007.50,1036.82,993.56,995.94,8819436,0
27-Aug-10,994.94,1007.76,973.00,999.46,6826715,0
3-Sep-10,1002.99,1045.21,987.59,1036.70,8964695,0
10-Sep-10,1039.46,1043.24,1007.43,1034.94,8273504,0
17-Sep-10,1034.39,1046.13,964.53,972.23,7486291,0
21-Sep-10,972.45,975.26,930.25,934.46,1759516,0
30-Sep-10,936.21,951.84,921.36,942.54,3363841,0
8-Oct-10,946.47,963.18,945.62,959.86,1083960,0
15-Oct-10,960.91,975.91,937.12,944.25,6766481,-1
22-Oct-10,941.87,1024.58,913.82,1013.45,9639963,1
29-Oct-10,1018.08,1069.75,1018.08,1064.52,9431786,0
5-Nov-10,1071.63,1113.62,1037.24,1072.22,9628735,0
12-Nov-10,1077.50,1163.70,1077.50,1082.24,10543602,0
19-Nov-10,1087.81,1175.31,1077.06,1153.17,11046026,0
26-Nov-10,1153.26,1215.74,1148.81,1196.02,11160276,0
3-Dec-10,1195.31,1221.74,1146.97,1157.94,7977496,0
10-Dec-10,1157.72,1176.42,1123.76,1166.80,5102628,0
17-Dec-10,1175.51,1233.62,1175.51,1232.98,7235316,0
24-Dec-10,1235.67,1239.60,1140.13,1144.50,6154063,0
31-Dec-10,1145.70,1154.53,1080.40,1137.66,4392263,0
7-Jan-11,1142.17,1159.41,1119.61,1126.52,4140619,0
14-Jan-11,1124.34,1124.34,1065.75,1067.42,4251491,0
21-Jan-11,1066.44,1066.99,1013.27,1024.51,4041834,0
28-Jan-11,1024.79,1029.33,968.32,1020.94,3465848,0
1-Feb-11,1021.63,1034.14,1014.40,1032.60,1313863,0
11-Feb-11,1026.45,1075.59,1021.79,1071.58,2648582,0
18-Feb-11,1072.31,1116.96,1072.31,1100.46,6238654,0
25-Feb-11,1096.17,1122.18,1085.80,1095.10,6613003,0
4-Mar-11,1096.34,1102.55,1056.56,1071.86,5487777,0
11-Mar-11,1073.93,1113.01,1069.93,1101.76,6552927,0
18-Mar-11,1099.32,1108.20,1074.87,1083.60,6536937,0
25-Mar-11,1083.15,1084.55,1057.86,1072.34,4727008,0
1-Apr-11,1072.89,1074.41,1002.86,1015.08,5303591,0
8-Apr-11,1011.68,1019.14,992.31,1019.14,2689069,0
15-Apr-11,1021.30,1022.56,997.75,1010.06,4399791,0
22-Apr-11,1008.48,1017.70,986.90,1004.65,5273386,-1
29-Apr-11,1001.08,1001.08,897.20,912.72,5185327,0
6-May-11,911.79,923.06,900.35,918.28,3019466,0
13-May-11,920.12,935.90,897.80,909.77,4325510,0
20-May-11,911.34,916.02,873.87,875.43,3999971,0
27-May-11,873.31,876.60,819.87,822.94,6213195,0
3-Jun-11,819.87,852.66,816.39,847.54,6641176,0
10-Jun-11,845.25,848.22,811.09,824.03,4059722,0
17-Jun-11,820.24,840.69,801.30,802.64,4839243,0
24-Jun-11,800.62,835.30,783.86,832.32,6036773,0
1-Jul-11,832.62,862.34,832.62,855.27,7987847,1
8-Jul-11,856.50,911.87,856.50,894.91,10899298,0
15-Jul-11,894.07,951.40,888.58,951.14,13197583,0
