Date,Open,High,Low,Close,Volume,BuySell
8-Jul-12,10.63,11.06,10.57,11.00,9499300,0
15-Jul-12,11.07,11.15,10.50,10.82,47362100,0
22-Jul-12,10.86,11.11,9.85,9.94,65079500,0
29-Jul-12,9.84,9.86,9.08,9.42,85757504,0
5-Aug-12,9.40,9.77,9.14,9.29,72279504,0
12-Aug-12,9.31,9.56,8.97,9.06,54656000,0
19-Aug-12,9.06,9.47,8.99,9.13,50028500,0
26-Aug-12,9.10,9.93,9.07,9.11,68287000,0
2-Sep-12,9.14,9.21,8.46,8.65,67473104,0
9-Sep-12,8.66,9.49,8.42,9.28,52480100,0
16-Sep-12,9.28,9.70,9.21,9.27,44010400,0
23-Sep-12,9.25,9.42,8.94,9.07,60628300,0
30-Sep-12,9.02,9.30,8.89,9.16,42953900,0
7-Oct-12,9.12,10.48,9.11,10.28,65825300,0
14-Oct-12,10.28,10.49,9.72,10.02,43426800,0
21-Oct-12,10.08,10.40,9.93,10.00,43857600,0
28-Oct-12,10.00,10.28,9.49,9.64,54036700,0
4-Nov-12,9.53,9.82,9.50,9.70,21412200,0
11-Nov-12,9.64,10.49,9.60,10.19,46239700,1
18-Nov-12,10.23,10.50,9.21,9.33,55005400,-1
25-Nov-12,9.46,9.86,9.32,9.84,25527800,0
2-Dec-12,9.78,10.15,9.57,10.00,46142300,0
9-Dec-12,9.99,10.24,9.50,10.11,51449400,1
16-Dec-12,10.11,11.43,9.95,11.22,88907400,0
23-Dec-12,11.48,11.98,11.16,11.86,85329200,0
30-Dec-12,11.80,11.97,11.43,11.50,23287600,0
6-Jan-13,11.57,13.08,11.55,12.98,55684900,0
13-Jan-13,13.14,13.65,12.87,13.35,92730600,0
20-Jan-13,13.30,14.11,13.17,13.61,66368000,0
27-Jan-13,13.64,14.18,13.46,14.17,62994100,0
3-Feb-13,14.16,14.20,13.61,13.82,50922400,0
10-Feb-13,13.64,14.89,13.44,14.62,71429696,0
17-Feb-13,14.66,14.90,14.02,14.45,54127300,0
24-Feb-13,14.40,14.62,13.16,13.75,55760900,0
3-Mar-13,13.84,15.08,13.60,14.82,59887700,0
10-Mar-13,14.75,16.40,14.61,16.24,74962704,0
17-Mar-13,16.05,16.48,15.77,16.00,57135400,0
24-Mar-13,15.83,17.25,15.76,16.71,51096100,0
31-Mar-13,16.78,16.94,16.22,16.51,39411000,0
7-Apr-13,16.43,16.94,13.94,14.39,132997696,-1
14-Apr-13,14.60,15.91,14.40,15.48,59548600,0
21-Apr-13,15.58,15.89,14.71,15.26,72691800,0
28-Apr-13,15.33,16.90,14.84,16.81,88614496,1
5-May-13,16.74,18.31,16.68,17.96,70585600,0
12-May-13,17.99,18.88,17.63,18.13,76474800,0
19-May-13,18.08,19.43,17.78,18.54,58579300,0
26-May-13,18.58,18.93,17.68,18.93,47970000,0
2-Jun-13,19.12,19.25,17.75,18.01,35804400,0
9-Jun-13,18.12,18.66,16.94,18.38,55710900,0
16-Jun-13,18.47,18.96,17.91,18.85,45206700,0
23-Jun-13,18.97,19.05,17.82,18.28,40445100,0
30-Jun-13,18.09,18.87,17.29,18.71,38325700,0
7-Jul-13,18.80,19.73,18.30,19.00,35201400,0
14-Jul-13,19.15,19.64,18.45,19.29,45217600,0
21-Jul-13,19.45,20.70,19.20,20.29,46111600,0
28-Jul-13,20.21,21.99,20.06,21.90,53146100,0
4-Aug-13,21.82,22.05,20.98,21.95,37636700,0
11-Aug-13,21.85,21.96,20.51,20.57,30653800,-1
18-Aug-13,20.51,21.31,18.53,19.83,139878096,0
25-Aug-13,19.77,20.44,18.98,20.12,54198000,0
1-Sep-13,20.14,20.55,18.85,19.73,66456100,0
8-Sep-13,20.05,20.74,19.57,19.89,50270000,0
15-Sep-13,20.85,23.13,20.76,22.47,324019808,1
22-Sep-13,22.98,23.72,22.78,23.30,77351504,0
29-Sep-13,23.31,24.10,23.10,23.57,61868600,0
6-Oct-13,23.16,25.43,22.71,25.19,81900304,0
13-Oct-13,24.95,25.09,23.72,24.40,56797700,0
20-Oct-13,24.20,25.18,23.77,25.01,64910000,0
27-Oct-13,25.20,26.68,24.46,26.31,79406704,0
3-Nov-13,26.42,26.94,25.98,26.70,55205900,0
10-Nov-13,27.13,27.79,26.60,26.89,75618600,0
17-Nov-13,27.19,28.47,27.13,28.12,70576704,0
24-Nov-13,28.27,28.90,27.42,28.60,63147600,0
1-Dec-13,29.00,29.44,28.72,28.98,40273400,0
8-Dec-13,29.00,29.42,27.30,28.23,67299200,0
15-Dec-13,28.26,29.12,27.65,28.37,61489800,0
22-Dec-13,28.67,28.77,26.40,27.55,75278400,-1
29-Dec-13,27.77,27.98,26.86,27.03,28451800,0
