Date,Open,High,Low,Close,Volume,BuySell
27-Nov-11,164.64,170.20,164.24,170.04,873800,0
4-Dec-11,166.12,166.92,156.80,158.40,1067500,0
11-Dec-11,156.20,159.00,155.28,156.08,1070700,0
18-Dec-11,157.28,161.16,156.48,160.24,744600,0
25-Dec-11,159.76,161.84,154.28,154.32,684300,0
1-Jan-12,154.44,156.24,153.92,155.20,655900,0
8-Jan-12,152.52,154.20,151.84,153.04,443400,0
15-Jan-12,152.88,153.72,151.20,152.36,393800,0
22-Jan-12,151.20,151.96,148.68,148.68,513100,0
29-Jan-12,148.72,150.36,147.24,149.28,649200,0
5-Feb-12,150.40,150.92,146.84,146.88,837500,0
12-Feb-12,147.56,148.08,146.00,147.44,555600,0
19-Feb-12,146.60,147.80,145.32,145.52,489400,0
26-Feb-12,145.08,146.20,144.68,145.00,371600,0
4-Mar-12,145.80,146.16,144.16,145.00,685000,0
11-Mar-12,145.24,147.68,144.96,145.36,478900,0
18-Mar-12,145.36,145.48,141.24,141.80,606600,0
25-Mar-12,142.04,144.40,141.44,143.44,346700,0
1-Apr-12,142.48,143.96,141.48,141.96,487600,0
8-Apr-12,142.32,144.04,141.08,143.60,167700,0
15-Apr-12,145.20,147.40,144.20,145.60,781200,0
22-Apr-12,144.72,145.28,142.56,143.64,671300,0
29-Apr-12,144.96,145.60,140.96,141.40,914600,-1
6-May-12,141.56,143.52,140.12,143.36,480100,0
13-May-12,143.92,146.40,143.24,145.44,907200,1
20-May-12,146.60,150.92,146.04,150.56,1177500,0
27-May-12,150.12,151.16,148.00,149.48,802000,0
3-Jun-12,148.28,153.40,147.48,153.28,874300,0
10-Jun-12,153.24,154.32,147.72,147.76,1025300,0
17-Jun-12,146.56,149.64,145.04,145.16,965500,-1
24-Jun-12,145.84,147.44,143.60,146.28,957500,0
1-Jul-12,147.72,148.64,143.52,143.60,757100,0
8-Jul-12,143.56,145.40,142.60,144.64,381100,0
15-Jul-12,144.88,147.84,144.00,144.52,464500,0
22-Jul-12,144.92,146.00,142.20,143.80,318000,0
29-Jul-12,146.08,147.24,140.48,141.00,869500,0
5-Aug-12,141.08,144.12,140.24,140.56,633000,0
12-Aug-12,140.36,140.48,139.28,139.28,723400,0
19-Aug-12,139.44,140.20,138.32,138.40,317600,0
26-Aug-12,138.64,140.84,137.72,139.40,461000,0
2-Sep-12,139.40,141.24,139.20,139.84,295100,0
9-Sep-12,140.00,141.24,137.48,137.64,432700,0
16-Sep-12,137.84,138.16,134.00,134.60,780500,0
