Date,Open,High,Low,Close,Volume,BuySell
22-Aug-4,49.81,54.34,47.80,53.95,67814096,0
29-Aug-4,55.17,56.53,51.59,52.88,56264400,0
5-Sep-4,52.44,52.55,49.29,49.82,39711400,0
12-Sep-4,50.32,53.08,49.62,52.47,23705500,0
19-Sep-4,53.12,58.53,53.03,58.53,48353100,0
26-Sep-4,58.26,61.82,58.17,59.69,43302100,0
3-Oct-4,59.56,67.26,58.68,66.04,83790400,0
10-Oct-4,67.37,69.68,65.87,68.61,66877800,0
17-Oct-4,68.24,72.48,66.45,71.79,65851700,0
24-Oct-4,71.33,89.75,69.54,85.89,158477904,0
31-Oct-4,87.87,99.60,85.95,94.96,209656800,0
7-Nov-4,96.41,100.42,83.96,84.36,143942208,0
14-Nov-4,85.15,94.55,82.33,90.66,129747200,0
21-Nov-4,89.89,93.81,82.56,84.38,153273408,0
28-Nov-4,81.93,89.68,80.35,89.36,93433696,0
5-Dec-4,89.84,91.16,88.42,89.86,77008800,0
12-Dec-4,89.23,90.01,83.92,85.50,65520000,0
19-Dec-4,85.76,90.01,84.41,89.70,86998304,0
26-Dec-4,90.66,93.95,90.60,93.60,45915900,1
2-Jan-5,94.22,99.57,94.20,96.04,53199800,0
9-Jan-5,98.33,101.44,93.51,96.56,116206800,0
16-Jan-5,96.89,99.63,94.89,99.61,78624600,0
23-Jan-5,100.11,102.27,93.71,93.79,85700304,0
30-Jan-5,93.99,96.99,87.82,94.81,112068896,0
6-Feb-5,96.48,108.00,94.96,101.80,178751600,0
13-Feb-5,102.25,102.81,92.28,93.35,147973200,-1
20-Feb-5,91.08,99.55,90.16,98.61,200302704,0
27-Feb-5,97.88,99.08,90.77,92.59,130200800,0
6-Mar-5,92.65,94.58,90.66,92.60,77886000,0
13-Mar-5,93.54,94.57,88.24,88.57,94477800,0
20-Mar-5,88.83,89.86,85.96,89.68,88380704,0
27-Mar-5,89.30,90.74,88.29,89.29,43493200,0
3-Apr-5,90.50,92.05,88.49,89.68,69052704,0
10-Apr-5,89.64,97.19,89.58,95.67,74024896,0
17-Apr-5,96.18,97.04,91.99,92.15,74309200,0
24-Apr-5,91.95,111.58,91.40,107.50,163387504,1
1-May-5,108.50,111.95,107.97,109.59,130948200,0
8-May-5,110.61,114.51,109.69,113.58,108212800,0
15-May-5,113.57,115.68,111.94,114.19,79747296,0
22-May-5,114.41,120.38,113.86,120.35,87691696,0
29-May-5,121.13,132.53,120.90,132.50,189145696,0
5-Jun-5,134.21,145.90,134.18,139.61,189075392,0
12-Jun-5,140.67,149.24,138.48,140.72,204136704,0
19-Jun-5,139.39,141.56,133.22,139.63,133849200,0
26-Jun-5,137.53,148.44,135.36,148.07,157504800,0
3-Jul-5,148.89,154.05,144.07,145.08,159515296,0
10-Jul-5,145.50,148.24,143.72,147.56,67499600,0
17-Jul-5,147.65,152.80,144.92,150.03,89933696,0
24-Jul-5,149.44,158.31,147.61,150.64,153203200,0
31-Jul-5,150.63,151.08,142.96,143.34,82271696,0
7-Aug-5,143.52,149.30,143.51,145.63,60343500,0
14-Aug-5,146.25,147.27,139.79,144.32,62715500,0
21-Aug-5,144.36,145.84,136.99,139.48,73439504,0
28-Aug-5,140.09,141.98,136.16,141.26,58939000,0
4-Sep-5,140.59,144.45,140.59,143.69,43974800,0
11-Sep-5,143.96,149.08,142.11,148.99,45601100,0
18-Sep-5,150.31,157.18,148.40,149.54,110428200,0
25-Sep-5,149.94,159.01,149.79,157.09,93795400,0
2-Oct-5,159.15,159.88,152.23,157.64,79355800,0
9-Oct-5,156.23,160.04,153.42,155.91,83104000,0
16-Oct-5,156.07,156.82,144.80,147.52,85333800,-1
23-Oct-5,148.19,172.57,146.73,169.32,117356400,1
30-Oct-5,171.04,178.80,170.46,178.42,72782200,0
