Date,Open,High,Low,Close,Volume,BuySell
25-Jan-8,5424.64,5434.35,4708.39,5077.43,268130800,0
1-Feb-8,5038.51,5038.51,4414.12,4571.94,170564704,0
5-Feb-8,4695.55,4995.57,4695.55,4921.83,73749504,0
15-Feb-8,4858.81,4913.32,4742.10,4813.31,65576100,0
22-Feb-8,4875.21,5062.26,4649.81,4702.24,177647008,0
29-Feb-8,4704.32,4722.64,4394.59,4674.55,145269904,0
7-Mar-8,4648.73,4836.66,4519.74,4621.69,196899392,0
14-Mar-8,4588.77,4588.77,4092.79,4157.87,143081792,0
21-Mar-8,4138.88,4138.88,3658.04,4037.83,189431392,0
28-Mar-8,4086.07,4103.57,3661.38,3918.16,170222592,0
3-Apr-8,3802.21,3891.66,3457.62,3650.70,140499696,0
11-Apr-8,3611.96,3935.33,3578.38,3783.73,178683104,0
18-Apr-8,3699.14,3710.79,3248.53,3272.50,148030800,0
25-Apr-8,3516.43,3915.84,3122.39,3803.07,299562304,0
30-Apr-8,3740.95,3970.57,3702.02,3959.12,163281408,0
9-May-8,4015.21,4075.57,3761.28,3878.92,273162688,0
16-May-8,3804.99,4038.85,3766.58,3936.12,236822400,0
23-May-8,3926.31,3946.44,3591.57,3675.15,187191504,0
30-May-8,3643.01,3698.00,3533.47,3611.33,141991296,0
6-Jun-8,3600.23,3650.48,3470.56,3489.50,137339696,0
13-Jun-8,3344.45,3352.32,2975.66,2979.12,119133600,-1
20-Jun-8,2981.08,3012.99,2691.87,2849.67,183832608,0
27-Jun-8,2798.43,3010.28,2770.99,2816.02,184335200,0
4-Jul-8,2782.84,2834.27,2617.26,2741.85,165628704,0
11-Jul-8,2747.61,3056.91,2747.61,2953.50,282273792,0
18-Jul-8,2927.24,2997.67,2690.07,2815.46,194161600,0
25-Jul-8,2792.83,2979.75,2780.28,2939.20,211865600,1
1-Aug-8,2959.11,2997.60,2748.75,2840.79,167128192,-1
8-Aug-8,2816.94,2832.90,2581.81,2591.46,134920496,0
15-Aug-8,2579.80,2580.72,2369.58,2447.61,124443296,0
22-Aug-8,2451.31,2535.86,2273.89,2404.93,151959808,0
29-Aug-8,2408.03,2439.91,2291.35,2391.64,115525800,0
5-Sep-8,2372.64,2372.64,2172.94,2183.43,103982096,0
12-Sep-8,2189.82,2198.76,2066.44,2077.85,103242496,0
19-Sep-8,2050.32,2073.11,1804.77,2073.11,150771200,0
26-Sep-8,2228.37,2258.42,2050.97,2243.66,359355584,0
10-Oct-8,2206.56,2206.56,1881.67,1906.96,198249200,0
17-Oct-8,1889.75,2060.49,1805.67,1833.26,199007392,0
24-Oct-8,1828.41,1928.19,1769.11,1781.60,173893600,0
31-Oct-8,1746.67,1746.67,1607.67,1663.66,191702896,0
7-Nov-8,1648.56,1714.66,1606.73,1677.83,156205296,0
14-Nov-8,1714.12,1943.65,1714.12,1943.65,348512992,1
21-Nov-8,1934.74,1994.82,1823.27,1920.73,433468704,0
28-Nov-8,1913.99,1969.02,1801.56,1829.92,278540704,-1
5-Dec-8,1823.77,2046.47,1799.84,2013.18,388304896,1
12-Dec-8,2040.47,2107.60,1936.28,1960.38,424331392,0
19-Dec-8,1991.55,2075.38,1919.87,2052.11,278801600,0
26-Dec-8,2050.77,2055.37,1848.71,1862.10,235219504,-1
31-Dec-8,1852.41,1867.41,1813.73,1817.72,109202896,0
9-Jan-9,1848.33,1959.25,1837.84,1918.36,279716992,0
16-Jan-9,1911.74,2026.65,1873.63,1990.21,338817696,1
23-Jan-9,2010.58,2054.33,1986.06,2032.68,315691008,0
6-Feb-9,2052.44,2240.02,2029.72,2237.28,461747200,0
13-Feb-9,2271.59,2402.44,2248.48,2399.06,653632000,0
20-Feb-9,2421.19,2470.62,2259.59,2344.32,586270016,0
27-Feb-9,2333.81,2419.53,2117.06,2140.49,533637408,-1
6-Mar-9,2123.37,2340.37,2100.64,2286.58,457615904,0
13-Mar-9,2302.01,2333.98,2156.60,2205.42,323838208,0
20-Mar-9,2197.25,2397.21,2180.05,2379.84,450340192,0
27-Mar-9,2384.67,2516.38,2375.52,2498.93,572741696,1
3-Apr-9,2501.31,2612.37,2423.57,2570.50,574723520,0
10-Apr-9,2570.62,2597.06,2457.42,2595.53,364149088,0
17-Apr-9,2621.98,2706.62,2619.37,2650.69,595430016,0
24-Apr-9,2643.73,2713.30,2543.91,2572.89,482383616,0
30-Apr-9,2566.92,2640.02,2485.80,2622.93,298998688,0
8-May-9,2635.13,2800.22,2632.30,2789.22,539864000,0
15-May-9,2808.14,2839.61,2699.95,2796.12,468743616,0
22-May-9,2782.58,2849.64,2719.12,2740.68,407512992,0
27-May-9,2684.21,2768.57,2675.28,2759.71,214384304,0
5-Jun-9,2798.93,2975.18,2798.93,2939.31,567580032,0
12-Jun-9,2937.64,3000.86,2883.32,2906.29,457079392,0
19-Jun-9,2911.42,3086.72,2898.07,3080.00,420623712,0
26-Jun-9,3106.39,3141.17,3028.45,3128.42,478191808,0
3-Jul-9,3132.11,3327.67,3122.16,3327.14,487452096,0
10-Jul-9,3333.10,3428.03,3261.32,3398.31,597990016,0
17-Jul-9,3382.57,3543.02,3358.52,3519.81,576485696,0
24-Jul-9,3532.52,3687.49,3515.53,3667.56,626670016,0
31-Jul-9,3680.15,3765.59,3453.64,3734.62,719691008,0
7-Aug-9,3754.22,3803.06,3539.70,3555.09,629574016,-1
14-Aug-9,3589.72,3613.46,3334.73,3344.46,417233696,0
21-Aug-9,3283.44,3319.80,2982.22,3203.62,416806912,0
28-Aug-9,3222.40,3241.52,3019.12,3046.78,424123712,0
4-Sep-9,3003.54,3099.39,2795.49,3077.14,396038112,0
11-Sep-9,3097.79,3253.45,3047.30,3238.13,405203200,0
18-Sep-9,3248.35,3330.43,3170.96,3199.69,454552000,0
25-Sep-9,3163.51,3237.22,2989.24,3058.53,323213408,0
30-Sep-9,3066.37,3088.08,2923.93,3004.80,130035296,0
9-Oct-9,3078.75,3164.03,3071.27,3163.71,56871000,0
16-Oct-9,3181.58,3287.63,3140.50,3241.71,306852096,1
23-Oct-9,3238.85,3436.39,3231.81,3413.25,398260288,0
30-Oct-9,3421.70,3432.90,3239.00,3280.37,327199392,0
6-Nov-9,3205.83,3506.03,3198.31,3483.02,424675712,0
13-Nov-9,3487.11,3532.19,3445.36,3518.72,406151104,0
20-Nov-9,3541.05,3658.21,3541.05,3631.01,499465600,0
27-Nov-9,3636.53,3698.13,3367.29,3382.51,573336576,-1
4-Dec-9,3415.08,3646.26,3415.08,3643.49,508095904,1
11-Dec-9,3644.62,3672.80,3543.42,3575.02,354802592,0
18-Dec-9,3572.53,3623.27,3385.68,3391.74,339332608,-1
25-Dec-9,3386.33,3445.70,3296.29,3424.78,261629376,0
31-Dec-9,3432.82,3579.52,3432.82,3575.68,268582400,1
8-Jan-10,3592.47,3597.75,3426.70,3480.13,371524128,-1
15-Jan-10,3593.11,3594.53,3411.81,3482.74,452077696,0
22-Jan-10,3471.78,3528.39,3293.19,3366.20,409761152,0
29-Jan-10,3340.01,3372.43,3168.46,3204.16,268546112,0
5-Feb-10,3198.23,3242.52,3094.57,3153.09,290008864,0
12-Feb-10,3152.25,3253.20,3133.81,3251.28,177378288,0
26-Feb-10,3248.95,3301.15,3152.93,3281.67,250710016,0
5-Mar-10,3290.01,3345.91,3239.68,3259.76,293137568,0
12-Mar-10,3268.40,3322.51,3232.12,3233.13,229606544,0
19-Mar-10,3231.22,3296.41,3169.10,3293.87,207503216,0
26-Mar-10,3297.82,3313.92,3220.59,3275.00,232956208,0
2-Apr-10,3295.76,3412.20,3293.67,3407.35,331132288,0
9-Apr-10,3422.85,3436.29,3336.16,3379.17,232668832,0
16-Apr-10,3388.36,3412.94,3324.05,3356.33,322971040,0
23-Apr-10,3313.50,3313.50,3130.96,3190.00,351816864,0
30-Apr-10,3195.46,3207.72,3014.07,3067.37,264925024,0
7-May-10,3005.49,3056.08,2817.15,2836.79,220808864,0
14-May-10,2842.37,2922.13,2756.42,2868.02,259219424,0
21-May-10,2828.88,2828.88,2647.60,2768.79,248902928,0
28-May-10,2787.75,2893.69,2771.59,2850.30,274509440,0
4-Jun-10,2835.33,2857.42,2700.07,2744.39,202988848,0
11-Jun-10,2692.83,2787.82,2672.06,2758.87,218356624,0
18-Jun-10,2778.53,2784.92,2686.61,2696.17,74420704,0
25-Jun-10,2698.98,2795.32,2686.32,2736.29,189850352,0
2-Jul-10,2734.51,2751.45,2462.20,2534.11,189939136,0
9-Jul-10,2507.35,2662.16,2476.49,2647.10,200164256,0
16-Jul-10,2647.42,2689.81,2573.79,2616.13,223883616,0
23-Jul-10,2592.09,2806.98,2585.01,2793.08,323336864,1
30-Jul-10,2798.76,2888.60,2775.78,2868.85,341906880,0
6-Aug-10,2868.28,2929.61,2818.25,2897.66,366882176,0
13-Aug-10,2894.10,2925.30,2799.22,2855.55,326541504,0
20-Aug-10,2851.22,2975.19,2843.02,2898.33,376856736,0
27-Aug-10,2895.71,2933.12,2833.42,2858.57,263079952,0
3-Sep-10,2874.25,2931.76,2859.17,2920.21,351833440,0
10-Sep-10,2935.89,2991.44,2890.03,2932.55,386729312,0
17-Sep-10,2933.59,2984.47,2834.03,2861.37,335018592,0
21-Sep-10,2865.04,2872.22,2829.76,2857.48,86034984,0
30-Sep-10,2869.93,2935.59,2857.42,2935.57,227515136,0
8-Oct-10,2965.65,3055.84,2963.24,3044.23,99994720,0
15-Oct-10,3069.19,3327.68,3069.19,3327.68,803730368,0
22-Oct-10,3345.80,3439.23,3280.00,3378.66,755097408,0
29-Oct-10,3386.85,3499.82,3351.60,3379.98,610640128,0
5-Nov-10,3390.41,3554.47,3390.41,3520.80,662027392,0
12-Nov-10,3534.19,3557.99,3284.35,3291.83,668713984,0
19-Nov-10,3298.74,3319.98,3076.21,3178.85,442925824,-1
26-Nov-10,3148.22,3227.05,3061.62,3194.85,383854368,0
3-Dec-10,3183.54,3206.76,3060.44,3158.16,305139168,0
10-Dec-10,3168.88,3215.28,3101.08,3161.98,297623008,0
17-Dec-10,3176.33,3282.77,3173.56,3225.66,353806528,0
24-Dec-10,3239.02,3263.45,3118.00,3162.96,341001984,0
31-Dec-10,3176.11,3219.66,3025.22,3128.26,288383136,0
7-Jan-11,3155.56,3209.90,3141.12,3166.62,308453568,0
14-Jan-11,3162.08,3182.78,3083.51,3091.86,286267264,0
21-Jan-11,3067.43,3078.88,2935.14,2983.46,300493664,0
28-Jan-11,2986.09,3047.27,2919.16,3036.74,303429728,0
1-Feb-11,3035.42,3087.23,3032.45,3077.28,116968448,0
11-Feb-11,3055.40,3133.50,3024.35,3120.96,202973360,0
18-Feb-11,3123.25,3265.26,3123.25,3211.88,486534432,1
25-Feb-11,3192.15,3269.05,3145.99,3197.62,320207648,0
4-Mar-11,3200.68,3273.66,3178.83,3270.67,427342176,0
11-Mar-11,3287.41,3355.49,3240.18,3247.38,426513184,0
18-Mar-11,3238.91,3263.91,3147.96,3215.69,385610560,0
25-Mar-11,3220.68,3304.26,3175.93,3294.48,336631520,0
1-Apr-11,3307.41,3328.07,3210.17,3272.73,408899392,0
8-Apr-11,3269.19,3353.89,3268.76,3353.36,264434640,0
15-Apr-11,3363.37,3380.53,3296.51,3358.94,460882496,0
22-Apr-11,3346.15,3372.90,3281.83,3299.94,384444768,0
29-Apr-11,3292.48,3292.48,3147.14,3192.72,314695104,0
6-May-11,3192.84,3212.05,3083.91,3121.40,229635184,0
13-May-11,3126.26,3164.65,3080.19,3128.09,230344384,0
20-May-11,3120.44,3154.94,3076.95,3121.60,217618608,0
27-May-11,3115.31,3115.31,2962.07,2963.31,216575776,-1
3-Jun-11,2956.57,3006.56,2923.02,2986.35,204473920,0
10-Jun-11,2977.68,3012.81,2925.87,2961.93,169459616,0
17-Jun-11,2940.39,3000.53,2891.01,2892.16,221037344,0
24-Jun-11,2888.94,3047.94,2862.41,3027.47,248750064,0
1-Jul-11,3028.50,3071.21,2999.95,3049.75,294128064,0
8-Jul-11,3064.94,3140.10,3064.94,3109.18,332876128,1
15-Jul-11,3097.87,3130.77,3054.80,3128.89,281008256,0
22-Jul-11,3131.80,3137.92,3058.25,3067.99,239540304,0
29-Jul-11,3050.90,3050.90,2948.08,2972.08,253519296,-1
5-Aug-11,2969.11,2991.05,2868.16,2897.42,193836240,0
12-Aug-11,2864.51,2894.22,2697.06,2875.36,316214848,0
19-Aug-11,2883.17,2932.14,2782.56,2807.66,234044864,0
26-Aug-11,2809.33,2907.40,2768.42,2901.22,219952704,0
2-Sep-11,2875.78,2901.73,2790.77,2803.85,178949440,0
9-Sep-11,2780.83,2796.35,2711.07,2751.09,148897264,0
16-Sep-11,2712.44,2755.89,2677.13,2733.99,115866400,0
23-Sep-11,2718.32,2778.35,2631.43,2669.48,200578672,0
30-Sep-11,2645.25,2679.56,2572.19,2581.35,177511072,0
14-Oct-11,2588.35,2672.91,2523.34,2653.78,238063792,0
21-Oct-11,2658.95,2687.10,2500.49,2507.88,176333888,0
28-Oct-11,2517.06,2729.14,2501.96,2709.02,297874912,0
4-Nov-11,2704.53,2781.99,2653.72,2763.75,316754336,1
11-Nov-11,2750.99,2769.30,2685.10,2695.00,227947664,0
18-Nov-11,2717.54,2754.00,2601.18,2606.50,221762416,-1
25-Nov-11,2608.56,2617.09,2557.70,2569.97,139805760,0
2-Dec-11,2578.34,2630.66,2507.18,2556.64,193586752,0
9-Dec-11,2561.20,2561.20,2494.69,2503.46,133272072,0
16-Dec-11,2497.92,2502.05,2332.14,2390.13,121454944,0
23-Dec-11,2370.42,2412.57,2294.61,2359.16,171367360,0
30-Dec-11,2345.55,2369.82,2267.11,2345.74,157136368,0
6-Jan-12,2361.50,2365.99,2254.57,2290.60,112560040,0
13-Jan-12,2291.18,2464.38,2271.72,2394.33,287223264,0
20-Jan-12,2376.95,2510.34,2329.25,2504.09,268770656,1
27-Jan-12,2476.73,2510.34,2462.59,2504.09,272648928,0
3-Feb-12,2508.88,2514.65,2423.45,2506.09,201250240,0
10-Feb-12,2511.17,2560.03,2441.70,2533.62,261821152,0
17-Feb-12,2504.41,2562.07,2496.30,2537.09,243824592,0
24-Feb-12,2571.91,2648.02,2520.79,2648.02,336801632,0
2-Mar-12,2658.12,2693.84,2621.86,2679.93,344497248,0
9-Mar-12,2687.74,2694.61,2594.13,2664.30,303599680,0
16-Mar-12,2663.24,2705.75,2575.44,2623.52,359815456,0
23-Mar-12,2617.66,2631.04,2544.52,2552.94,262019264,0
30-Mar-12,2551.43,2571.90,2429.73,2454.90,200924992,0
6-Apr-12,2449.21,2525.53,2441.27,2519.83,96700264,0
13-Apr-12,2510.53,2593.79,2459.35,2580.45,228798256,0
20-Apr-12,2564.23,2627.38,2541.53,2626.84,245238064,0
27-Apr-12,2624.75,2643.77,2559.46,2626.16,299471808,0
4-May-12,2660.67,2716.03,2643.53,2715.88,202727824,0
11-May-12,2699.45,2717.82,2636.52,2636.92,278027168,0
18-May-12,2653.81,2656.28,2567.30,2573.98,228280544,0
25-May-12,2572.37,2635.78,2563.97,2573.10,207212224,0
1-Jun-12,2562.60,2658.25,2545.34,2633.00,268628864,0
8-Jun-12,2598.73,2608.32,2520.41,2524.33,202813712,0
15-Jun-12,2529.60,2584.71,2523.77,2568.05,206083520,0
21-Jun-12,2576.63,2593.22,2502.42,2512.19,133641552,0
29-Jun-12,2501.16,2501.16,2417.49,2461.61,170386352,0
6-Jul-12,2473.54,2490.55,2420.00,2472.61,197992320,0
13-Jul-12,2455.89,2470.21,2402.15,2450.63,215840544,0
20-Jul-12,2452.59,2452.59,2373.65,2398.46,202516800,-1
27-Jul-12,2379.89,2392.35,2341.29,2349.11,150001568,0
3-Aug-12,2350.78,2371.12,2325.61,2353.74,155291360,0
10-Aug-12,2350.12,2413.42,2348.12,2399.75,188278544,0
17-Aug-12,2394.50,2394.50,2295.16,2313.48,167182416,0
24-Aug-12,2294.90,2327.38,2274.57,2275.68,157210480,0
31-Aug-12,2268.49,2268.49,2188.72,2204.87,161626752,0
7-Sep-12,2201.12,2341.52,2186.96,2317.18,234378752,0
14-Sep-12,2320.56,2337.20,2294.82,2315.54,264835456,0
21-Sep-12,2312.05,2314.99,2186.53,2199.06,197229504,0
28-Sep-12,2183.97,2297.03,2172.88,2293.11,203726048,0
12-Oct-12,2291.96,2332.15,2258.11,2304.53,208944352,0
19-Oct-12,2306.01,2342.53,2278.46,2332.47,180603664,0
26-Oct-12,2320.47,2347.90,2237.06,2247.91,194384048,0
2-Nov-12,2241.80,2309.67,2227.65,2306.77,189429264,1
9-Nov-12,2302.74,2318.23,2235.23,2240.92,177791840,0
16-Nov-12,2242.96,2254.70,2162.98,2177.24,154131120,-1
23-Nov-12,2175.18,2202.47,2149.54,2192.68,133015904,0
30-Nov-12,2187.24,2191.36,2109.96,2139.66,152776320,0
7-Dec-12,2136.70,2250.53,2102.14,2246.76,283644224,0
14-Dec-12,2254.92,2357.11,2242.56,2355.86,322685280,1
21-Dec-12,2359.20,2414.22,2346.55,2372.00,377535200,0
28-Dec-12,2368.01,2481.59,2365.41,2480.05,360602560,0
4-Jan-13,2485.56,2558.53,2485.56,2524.41,179990480,0
11-Jan-13,2518.05,2553.35,2473.70,2483.23,362561312,0
18-Jan-13,2474.18,2607.45,2474.00,2595.44,433566528,0
25-Jan-13,2605.65,2663.40,2564.21,2571.67,435404000,0
1-Feb-13,2577.27,2744.32,2577.27,2743.32,492809632,0
8-Feb-13,2753.69,2791.30,2722.87,2771.73,494257056,0
22-Feb-13,2784.06,2787.74,2584.76,2596.60,387946880,0
1-Mar-13,2607.15,2680.85,2564.67,2668.84,356658112,0
8-Mar-13,2619.42,2658.97,2528.69,2606.93,449622144,0
15-Mar-13,2600.28,2619.51,2504.46,2539.87,308289984,0
22-Mar-13,2526.08,2626.54,2491.85,2618.31,330249760,0
29-Mar-13,2628.41,2641.61,2482.49,2495.08,317111424,0
3-Apr-13,2486.43,2524.46,2474.93,2483.55,148594400,0
12-Apr-13,2443.24,2508.59,2429.50,2462.11,236098752,0
19-Apr-13,2453.97,2542.45,2416.62,2533.83,264894096,0
26-Apr-13,2525.11,2539.05,2439.80,2447.31,293898080,0
3-May-13,2434.60,2521.12,2423.08,2492.91,109346176,0
10-May-13,2502.98,2562.01,2500.46,2540.84,283520576,0
17-May-13,2542.41,2598.71,2479.87,2592.05,305808864,0
24-May-13,2597.15,2630.07,2572.88,2597.23,377600640,0
