Date,Open,High,Low,Close,Volume,BuySell
28-Mar-93,13.58,13.88,13.00,13.54,18427500,0
4-Apr-93,13.67,13.83,12.88,12.96,10914300,0
11-Apr-93,13.08,13.58,12.83,13.42,14754000,0
18-Apr-93,13.75,14.71,13.54,13.79,18069000,0
25-Apr-93,13.75,13.75,12.58,12.63,29172000,0
2-May-93,12.63,13.00,12.13,12.75,20210400,0
9-May-93,12.79,13.46,12.50,12.54,15621900,0
16-May-93,12.58,13.21,12.04,12.21,14250300,0
23-May-93,12.17,12.67,11.75,12.17,27156900,0
30-May-93,12.13,13.08,12.13,12.79,13362900,0
6-Jun-93,12.88,13.08,12.21,12.38,8639700,0
13-Jun-93,12.42,12.92,11.67,12.83,17648700,0
20-Jun-93,12.83,13.29,12.83,12.96,13414200,0
27-Jun-93,13.08,13.63,12.96,13.63,16135800,0
4-Jul-93,13.71,14.04,13.25,13.29,13440000,0
11-Jul-93,13.38,13.71,13.33,13.46,11344200,0
18-Jul-93,13.46,13.54,12.92,13.29,10522800,0
25-Jul-93,13.38,13.54,13.00,13.42,14944500,0
1-Aug-93,13.46,13.88,13.33,13.75,11455200,1
8-Aug-93,13.75,14.25,13.58,14.00,10222800,0
15-Aug-93,14.04,14.08,13.58,13.83,9252000,0
22-Aug-93,13.83,14.00,13.13,13.13,12418500,-1
29-Aug-93,13.17,13.67,13.04,13.54,10683600,0
5-Sep-93,13.54,13.67,13.21,13.50,10985700,0
12-Sep-93,13.50,14.71,13.46,14.67,17860800,1
19-Sep-93,14.67,14.71,14.25,14.46,15375600,0
26-Sep-93,14.46,14.83,14.08,14.75,10688100,0
3-Oct-93,14.83,15.13,14.79,15.04,14127000,0
10-Oct-93,15.08,15.38,14.92,14.96,13451700,0
17-Oct-93,15.13,15.46,14.46,14.50,11768700,0
24-Oct-93,14.54,14.67,13.54,13.92,26933700,-1
31-Oct-93,13.96,14.08,13.33,13.38,17646000,0
7-Nov-93,13.38,13.83,12.54,12.96,24880200,0
14-Nov-93,13.00,13.17,12.67,12.83,14409300,0
21-Nov-93,12.83,13.00,12.13,12.29,14667000,0
28-Nov-93,12.17,12.58,12.00,12.50,12605100,0
5-Dec-93,12.63,13.21,12.63,13.17,9987600,0
12-Dec-93,13.25,13.63,13.13,13.17,9774000,0
19-Dec-93,13.04,13.29,12.79,13.21,11876100,0
26-Dec-93,13.21,13.58,13.21,13.54,8355900,0
2-Jan-94,13.58,13.79,13.33,13.38,7510200,0
9-Jan-94,13.38,13.58,13.08,13.54,13578000,0
16-Jan-94,13.54,13.96,13.50,13.83,12397200,0
23-Jan-94,13.92,14.04,12.46,12.54,28670700,0
30-Jan-94,12.54,13.08,12.38,13.04,27050400,0
6-Feb-94,13.17,13.33,12.25,12.33,28067400,0
13-Feb-94,12.33,12.54,12.21,12.21,17205600,0
20-Feb-94,12.25,12.46,12.04,12.17,20618700,0
27-Feb-94,12.25,12.63,12.13,12.63,11058900,0
6-Mar-94,12.71,12.75,11.96,12.13,15245100,0
13-Mar-94,12.17,12.29,11.88,12.13,17947800,0
20-Mar-94,12.33,13.04,12.29,12.79,19356000,1
27-Mar-94,12.79,13.00,12.42,12.42,10089300,0
3-Apr-94,12.50,12.54,11.50,12.13,13895400,-1
10-Apr-94,11.92,12.79,11.83,12.54,15379500,0
17-Apr-94,12.54,13.04,12.38,12.71,14356500,0
24-Apr-94,12.71,12.83,11.88,12.00,16215300,0
1-May-94,12.00,12.04,11.54,11.58,11227800,0
8-May-94,11.67,12.04,11.42,11.54,10789200,0
15-May-94,11.50,11.71,11.29,11.50,10669500,0
22-May-94,11.54,12.46,11.46,12.04,15857400,0
29-May-94,12.04,12.67,11.92,12.67,9975000,0
5-Jun-94,12.63,13.29,12.54,13.29,12411000,0
12-Jun-94,13.33,13.50,13.17,13.33,12010800,0
19-Jun-94,13.33,13.63,13.29,13.29,16031700,0
26-Jun-94,13.21,13.25,12.75,12.79,11394900,0
3-Jul-94,12.79,13.25,12.58,12.96,15340200,0
10-Jul-94,12.96,13.00,12.58,12.75,8061300,0
17-Jul-94,12.75,13.08,12.63,12.88,10455600,0
24-Jul-94,12.96,12.96,12.38,12.63,13546200,0
31-Jul-94,12.63,12.92,12.42,12.79,10162500,0
7-Aug-94,12.79,13.08,12.58,12.63,9903000,0
14-Aug-94,12.67,12.79,12.63,12.79,6326400,0
21-Aug-94,12.79,13.17,12.75,12.92,8513400,0
28-Aug-94,12.88,13.29,12.88,13.21,8232600,0
4-Sep-94,13.25,13.33,12.71,12.79,7248300,0
11-Sep-94,12.75,12.83,12.29,12.42,6747000,0
18-Sep-94,12.46,12.54,12.17,12.33,11537700,0
25-Sep-94,12.33,12.38,11.92,12.04,16773000,0
2-Oct-94,11.96,12.00,11.63,11.67,17572200,0
9-Oct-94,11.67,11.75,11.21,11.71,16676100,0
16-Oct-94,11.71,12.58,11.71,12.46,15897600,1
23-Oct-94,12.50,12.71,11.96,12.13,14212200,0
30-Oct-94,12.13,12.50,11.75,12.46,11871900,0
6-Nov-94,12.33,12.71,12.08,12.13,7886100,0
13-Nov-94,12.13,12.21,11.88,11.96,9561300,-1
20-Nov-94,12.00,12.25,11.67,11.79,16489800,0
27-Nov-94,11.79,12.13,11.29,12.00,15177300,0
4-Dec-94,12.00,12.46,11.75,12.46,15611100,0
11-Dec-94,12.50,12.83,12.25,12.33,18005400,0
18-Dec-94,12.29,12.88,12.29,12.38,16663800,0
25-Dec-94,12.38,12.58,11.96,12.21,8210400,0
1-Jan-95,12.29,12.29,11.96,11.96,16128300,0
8-Jan-95,11.96,12.63,11.92,12.46,10429200,0
15-Jan-95,12.50,12.79,12.17,12.79,10596300,0
22-Jan-95,12.88,13.29,12.21,12.21,17323200,0
29-Jan-95,12.00,12.96,11.96,12.92,12623700,0
5-Feb-95,12.83,13.31,12.67,13.21,12182100,0
12-Feb-95,13.13,13.38,13.04,13.29,15753300,1
19-Feb-95,13.29,13.63,13.21,13.29,12843900,0
26-Feb-95,13.33,13.42,13.25,13.29,11271300,0
5-Mar-95,13.25,13.46,13.17,13.21,11897100,0
12-Mar-95,13.04,13.04,12.29,13.00,23682000,-1
19-Mar-95,12.96,13.21,12.71,13.13,16531500,0
26-Mar-95,13.13,13.13,12.79,12.88,7877700,0
2-Apr-95,12.88,13.04,12.54,12.58,14777400,0
9-Apr-95,12.58,13.79,12.50,13.54,23974500,1
16-Apr-95,13.46,13.63,13.29,13.38,8702400,0
23-Apr-95,13.46,14.04,13.42,13.67,15694500,0
30-Apr-95,13.63,14.13,13.54,13.92,9227700,0
7-May-95,13.92,14.54,13.75,14.42,18353100,0
14-May-95,14.46,15.08,14.42,15.00,19648200,0
21-May-95,15.00,15.50,14.75,14.83,12882600,0
28-May-95,14.88,15.83,14.88,15.42,13151100,0
4-Jun-95,15.42,16.25,15.00,15.92,9990600,0
11-Jun-95,15.88,16.08,14.42,14.67,15695400,0
18-Jun-95,15.00,15.63,14.88,15.13,13210500,0
25-Jun-95,15.33,16.25,15.33,15.92,12987900,0
2-Jul-95,15.83,16.13,15.71,15.75,11923200,0
9-Jul-95,15.75,16.63,15.42,16.46,10621500,0
16-Jul-95,16.42,17.29,15.75,16.50,21915900,0
23-Jul-95,16.54,17.38,15.88,16.79,29270400,0
30-Jul-95,16.75,17.54,16.75,17.33,13309800,0
6-Aug-95,17.33,17.71,16.92,17.63,9625200,0
13-Aug-95,17.58,18.04,17.50,17.54,12567300,0
20-Aug-95,17.50,18.00,17.46,17.88,9084000,0
27-Aug-95,17.88,18.13,17.54,18.13,9871500,0
3-Sep-95,19.58,20.25,19.13,19.33,47921400,0
10-Sep-95,19.33,19.75,19.29,19.71,11473200,0
17-Sep-95,19.67,20.33,19.58,20.33,19484400,0
24-Sep-95,20.29,20.33,19.08,19.50,22134900,0
1-Oct-95,19.58,20.54,19.46,20.29,16536000,0
8-Oct-95,20.29,21.25,20.13,21.00,20796900,0
15-Oct-95,20.92,21.58,20.75,21.38,21917700,0
22-Oct-95,21.42,21.54,19.58,19.63,21578100,-1
29-Oct-95,19.46,19.96,17.96,19.46,39657000,0
5-Nov-95,19.50,20.13,18.54,19.79,19978800,0
12-Nov-95,19.79,20.00,18.92,19.83,15004500,0
19-Nov-95,19.71,19.79,18.58,19.54,14376900,0
26-Nov-95,19.58,20.21,19.50,20.04,8296500,0
3-Dec-95,20.04,20.21,19.63,19.92,13760400,0
10-Dec-95,19.96,20.83,19.92,20.21,16643400,1
17-Dec-95,20.21,20.21,19.21,19.25,15347700,-1
24-Dec-95,19.00,19.83,18.96,19.42,14855700,0
31-Dec-95,19.46,19.71,19.33,19.58,6188400,0
7-Jan-96,19.50,19.75,18.29,18.67,23028000,0
14-Jan-96,18.75,18.88,17.38,18.54,23732700,0
21-Jan-96,18.54,20.17,18.29,19.83,34373400,1
28-Jan-96,19.67,21.33,19.67,21.00,22728900,0
4-Feb-96,20.96,22.54,20.96,21.75,30821700,0
11-Feb-96,21.75,22.63,21.54,22.29,21808200,0
18-Feb-96,22.25,22.83,22.17,22.58,19578300,0
25-Feb-96,22.33,24.21,22.13,24.17,26871600,0
3-Mar-96,23.83,24.50,23.29,24.25,30634500,0
10-Mar-96,24.25,24.46,21.04,22.13,23687100,-1
17-Mar-96,22.04,23.17,21.17,22.63,30126300,0
24-Mar-96,22.75,24.17,22.75,23.71,24030600,0
31-Mar-96,23.83,24.13,23.38,23.50,18225300,0
7-Apr-96,23.83,24.79,23.83,24.46,16524000,0
14-Apr-96,23.92,23.92,21.75,22.83,29400600,0
21-Apr-96,22.88,23.50,22.33,22.58,26142000,0
28-Apr-96,22.71,23.25,22.13,23.04,24009900,0
5-May-96,22.96,23.08,21.79,22.00,27037800,0
12-May-96,22.13,23.21,21.42,22.96,33667500,0
19-May-96,23.04,23.75,22.88,23.67,22984200,0
26-May-96,24.00,24.29,23.33,23.88,24133200,0
2-Jun-96,23.96,24.00,23.04,23.33,22186200,0
9-Jun-96,23.25,24.67,23.17,23.92,25323600,1
16-Jun-96,24.00,24.46,23.88,24.13,23479500,0
23-Jun-96,24.08,24.25,22.46,22.50,32841900,-1
30-Jun-96,22.75,23.79,22.71,23.54,24656100,0
7-Jul-96,23.67,23.92,22.88,22.92,17817600,0
14-Jul-96,22.67,22.92,22.21,22.67,31724400,0
21-Jul-96,22.71,23.46,21.42,22.92,31320300,0
28-Jul-96,22.79,23.04,22.04,23.04,18947400,0
4-Aug-96,22.96,24.83,22.63,24.67,27448200,1
11-Aug-96,24.46,24.50,23.96,24.33,22078800,0
18-Aug-96,24.50,25.50,24.42,25.42,26296200,0
25-Aug-96,25.38,26.54,25.38,26.04,27396300,0
1-Sep-96,25.88,26.04,24.54,24.79,23983800,0
8-Sep-96,24.38,25.29,24.29,25.08,18032100,0
15-Sep-96,24.92,26.75,24.75,26.46,26895300,0
22-Sep-96,26.54,26.67,25.67,26.00,25392900,0
29-Sep-96,25.92,27.04,25.85,26.88,25331400,0
6-Oct-96,26.96,27.38,26.63,27.25,41357700,0
13-Oct-96,27.25,27.35,26.63,27.17,20570400,0
20-Oct-96,27.25,27.67,26.88,27.46,34528200,0
27-Oct-96,27.38,28.00,27.25,27.88,19530000,0
3-Nov-96,27.79,28.88,27.67,28.54,22916100,0
10-Nov-96,28.46,29.96,28.46,29.92,31485600,0
17-Nov-96,29.83,30.00,28.63,29.50,27444000,0
24-Nov-96,29.58,31.04,29.46,30.50,32470200,0
1-Dec-96,30.46,31.96,30.46,31.50,24439800,0
8-Dec-96,31.38,31.38,28.67,29.83,41321700,-1
15-Dec-96,30.00,30.21,28.17,28.50,35406300,0
22-Dec-96,28.75,30.63,28.25,30.50,30832800,0
29-Dec-96,30.58,31.13,30.33,30.71,12600300,0
5-Jan-97,30.75,31.00,28.71,29.42,26386800,0
12-Jan-97,29.42,29.75,28.54,29.25,35025900,0
19-Jan-97,29.54,30.88,29.08,30.67,37210500,0
26-Jan-97,30.96,31.21,29.67,29.71,41710500,0
2-Feb-97,29.75,31.17,29.25,30.83,33541200,0
9-Feb-97,30.96,32.71,30.71,32.63,42223800,1
16-Feb-97,32.75,34.38,32.33,33.92,33508500,0
23-Feb-97,33.92,35.17,33.33,34.17,29778300,0
2-Mar-97,33.67,35.42,33.17,33.38,29955900,0
9-Mar-97,33.25,35.50,32.92,35.50,36878100,0
16-Mar-97,35.58,36.83,32.92,33.46,46664100,-1
23-Mar-97,33.33,34.33,32.79,34.00,41470800,0
30-Mar-97,34.04,34.92,31.75,32.13,31923300,0
6-Apr-97,32.08,32.08,30.50,31.29,52517100,0
13-Apr-97,31.75,32.54,30.04,30.08,37398600,0
20-Apr-97,30.13,31.17,29.00,29.17,56353200,0
27-Apr-97,29.17,29.38,28.21,28.46,53178300,0
4-May-97,28.46,32.08,28.46,31.79,51802800,0
11-May-97,32.17,33.17,31.50,32.63,44676000,1
18-May-97,32.67,33.13,30.88,31.21,36000600,-1
