Date,Open,High,Low,Close,Volume,BuySell
29-Jul-12,29.57,29.85,28.78,29.76,237998704,0
5-Aug-12,29.75,29.94,28.97,29.75,173627600,0
12-Aug-12,30.00,30.65,29.81,30.42,134463392,0
19-Aug-12,30.35,30.94,30.01,30.90,150328608,0
26-Aug-12,30.82,30.96,30.08,30.56,137296704,0
2-Sep-12,30.93,30.96,30.22,30.82,142558000,0
9-Sep-12,30.45,31.36,30.15,30.95,173227504,0
16-Sep-12,30.83,31.25,30.40,31.21,194961696,0
23-Sep-12,31.19,31.61,30.91,31.19,267795008,0
30-Sep-12,31.00,31.07,29.74,29.76,257123504,0
7-Oct-12,29.81,30.25,29.42,29.85,228806304,0
14-Oct-12,29.64,29.92,28.80,29.20,210053408,0
21-Oct-12,29.37,29.74,28.50,28.64,284095008,0
28-Oct-12,28.73,28.83,27.76,28.21,312983488,0
4-Nov-12,28.55,29.77,28.50,29.50,198643600,0
11-Nov-12,29.62,30.20,28.80,28.83,232477104,0
18-Nov-12,28.94,29.01,26.34,26.52,383926496,0
25-Nov-12,26.80,27.77,26.46,27.70,228455696,0
2-Dec-12,27.54,27.58,26.49,26.62,336477312,0
9-Dec-12,26.78,26.98,26.26,26.46,256579504,-1
16-Dec-12,26.56,27.62,26.52,26.81,230437792,0
23-Dec-12,26.79,27.73,26.68,27.45,297436704,1
30-Dec-12,27.20,27.25,26.55,26.55,120107400,-1
6-Jan-13,26.59,27.73,26.37,26.74,196464304,0
13-Jan-13,26.77,26.98,26.28,26.83,257804800,0
20-Jan-13,26.90,27.47,26.76,27.25,241499904,0
27-Jan-13,27.30,28.23,27.00,27.88,292625312,1
3-Feb-13,28.01,28.23,27.40,27.93,254975504,0
10-Feb-13,27.87,28.02,27.10,27.55,199186800,0
17-Feb-13,27.65,28.16,27.50,28.01,192268304,0
24-Feb-13,27.88,28.20,27.23,27.76,163396000,0
3-Mar-13,27.97,28.05,27.33,27.95,205019696,0
10-Mar-13,27.85,28.54,27.70,28.00,197902704,0
17-Mar-13,27.94,28.16,27.64,28.04,253601200,0
24-Mar-13,27.88,28.49,27.81,28.25,195112896,0
31-Mar-13,28.30,28.66,27.96,28.61,163479504,0
7-Apr-13,28.64,28.95,28.11,28.70,188910896,0
14-Apr-13,28.73,30.32,28.47,28.79,377419488,0
21-Apr-13,28.65,30.24,28.50,29.77,318668192,0
28-Apr-13,30.30,32.84,30.27,31.79,446476992,0
5-May-13,31.80,33.52,31.77,33.49,281456608,0
12-May-13,33.42,33.91,32.32,32.69,218464992,0
19-May-13,32.61,34.87,32.55,34.87,259251200,0
26-May-13,34.73,35.27,33.90,34.27,253047808,0
2-Jun-13,34.42,35.28,34.41,34.90,193920992,0
9-Jun-13,34.92,35.78,34.43,35.67,241183008,0
16-Jun-13,35.51,35.65,34.25,34.40,211650592,0
23-Jun-13,34.69,35.17,33.05,33.27,248935008,-1
30-Jun-13,32.94,34.79,32.57,34.54,243386896,0
7-Jul-13,34.75,34.99,33.58,34.21,110765696,0
14-Jul-13,34.35,35.77,33.98,35.67,176513696,0
21-Jul-13,35.66,36.43,31.02,31.40,405781792,0
28-Jul-13,31.70,32.19,31.21,31.62,299500800,0
4-Aug-13,31.47,32.12,31.40,31.89,190326400,0
11-Aug-13,31.90,33.07,31.25,32.70,191229200,0
18-Aug-13,32.46,33.36,30.84,31.80,179681696,0
25-Aug-13,31.76,35.20,31.37,34.75,344954912,1
1-Sep-13,34.40,34.67,32.80,33.40,263641408,-1
8-Sep-13,31.75,32.07,30.95,31.15,443907392,0
15-Sep-13,31.22,33.07,31.20,33.03,219356400,0
22-Sep-13,33.38,33.68,32.69,32.79,346587584,0
29-Sep-13,32.54,33.75,32.15,33.27,193270592,0
6-Oct-13,33.00,34.03,32.70,33.88,195216896,0
13-Oct-13,33.60,34.14,32.80,34.13,184873904,0
20-Oct-13,33.90,34.99,33.78,34.96,183138208,0
27-Oct-13,34.98,36.29,33.57,35.73,293176192,1
3-Nov-13,35.61,35.79,35.26,35.53,189030400,0
10-Nov-13,35.59,38.22,35.55,37.78,265866592,0
17-Nov-13,37.69,38.16,36.90,37.84,200266704,0
24-Nov-13,37.35,37.68,36.67,37.57,180829104,0
1-Dec-13,37.93,38.29,37.35,38.13,113204600,0
8-Dec-13,38.09,38.98,37.18,38.36,299806112,0
15-Dec-13,38.56,38.90,36.62,36.69,184046896,0
22-Dec-13,36.73,37.11,35.53,36.80,237423200,0
29-Dec-13,36.81,37.62,36.55,37.29,71547504,0
