Date,Open,High,Low,Close,Volume,BuySell
27-Nov-11,129.20,133.48,129.12,133.48,1092100,0
4-Dec-11,130.20,130.24,122.64,124.36,1324500,0
11-Dec-11,122.44,125.52,122.08,123.32,881700,0
18-Dec-11,124.56,128.64,123.32,127.68,794800,0
25-Dec-11,127.24,129.24,124.64,124.64,758800,0
1-Jan-12,124.80,126.04,123.88,125.16,566500,0
8-Jan-12,122.76,123.48,120.52,120.92,555900,0
15-Jan-12,120.52,121.52,119.40,119.92,646900,0
22-Jan-12,118.92,119.28,116.32,116.68,569900,0
29-Jan-12,116.64,117.36,114.68,115.44,538400,0
5-Feb-12,116.40,116.76,112.20,112.36,545100,0
12-Feb-12,112.72,113.00,110.64,111.48,1359500,0
19-Feb-12,110.72,111.20,109.04,109.76,884900,0
26-Feb-12,109.60,110.32,108.60,108.88,639500,0
4-Mar-12,109.48,109.88,106.96,107.28,521200,0
11-Mar-12,107.40,110.00,106.76,107.00,1010900,0
18-Mar-12,107.00,107.40,104.00,104.28,1530200,0
25-Mar-12,104.08,104.36,102.76,103.56,990700,0
1-Apr-12,102.92,103.12,101.20,102.60,761000,0
8-Apr-12,102.76,103.48,101.08,102.28,834900,-1
15-Apr-12,103.60,105.00,102.68,104.52,979300,0
22-Apr-12,104.04,106.00,102.96,105.28,1472500,0
29-Apr-12,106.24,107.20,102.40,102.72,1505300,0
6-May-12,103.04,106.64,102.08,106.64,641700,0
13-May-12,107.28,108.60,106.00,107.48,1556400,0
20-May-12,108.40,113.40,107.32,113.24,1489000,1
27-May-12,113.12,113.24,109.40,110.92,1220500,-1
3-Jun-12,109.84,113.84,109.00,113.80,889800,0
10-Jun-12,113.48,114.52,108.76,109.20,1440300,0
17-Jun-12,108.40,111.32,108.36,108.68,1409800,0
24-Jun-12,109.08,109.32,106.00,107.96,1332400,0
1-Jul-12,108.80,111.00,106.40,106.40,1130400,0
8-Jul-12,106.24,107.16,104.64,106.44,567500,0
15-Jul-12,106.56,110.20,105.80,107.64,1016100,0
22-Jul-12,107.80,108.84,104.36,106.04,1005000,0
29-Jul-12,108.08,109.52,104.72,104.88,1132400,0
5-Aug-12,104.68,106.44,103.20,103.64,1156400,0
12-Aug-12,103.12,103.32,101.60,101.68,802000,0
19-Aug-12,101.72,102.20,99.48,99.48,436400,0
26-Aug-12,99.52,100.52,98.64,99.52,795400,0
2-Sep-12,99.04,100.64,98.92,99.64,359900,0
9-Sep-12,99.76,100.68,97.56,97.68,527900,0
16-Sep-12,97.96,99.44,96.28,96.64,946600,0
23-Sep-12,96.56,97.00,95.80,96.36,560300,0
30-Sep-12,97.20,99.56,96.44,98.48,952100,0
7-Oct-12,98.04,99.12,96.72,97.92,815200,0
14-Oct-12,98.48,101.40,98.28,101.20,1258100,0
21-Oct-12,100.80,102.76,98.76,102.60,1635000,1
28-Oct-12,102.72,104.24,101.80,103.04,1383000,0
4-Nov-12,103.16,104.12,101.68,103.32,958700,0
11-Nov-12,103.32,106.52,101.76,106.04,1793600,0
18-Nov-12,105.40,109.64,105.28,107.96,1805500,0
25-Nov-12,106.80,106.80,103.48,103.52,1593900,0
2-Dec-12,103.72,104.48,101.52,102.00,1943200,-1
9-Dec-12,101.24,104.00,101.16,103.40,1214500,0
