Date,Open,High,Low,Close,Volume,BuySell
14-Mar-99,51.13,51.73,49.66,50.06,23664200,0
21-Mar-99,50.44,53.25,49.91,51.22,27248600,0
28-Mar-99,51.44,52.47,48.50,51.75,40824200,0
4-Apr-99,52.38,54.19,52.06,53.56,27026800,0
11-Apr-99,54.43,56.25,53.81,55.81,38042400,0
18-Apr-99,54.50,55.91,51.13,51.97,77074600,0
25-Apr-99,52.31,55.72,48.84,55.31,68509600,0
2-May-99,55.69,57.28,51.81,53.72,64024000,0
9-May-99,53.56,54.38,51.03,52.97,70784600,0
16-May-99,53.31,56.00,52.69,53.41,53981800,0
23-May-99,52.94,54.99,52.41,52.88,44116000,0
30-May-99,52.97,53.06,48.94,52.03,90417600,0
6-Jun-99,51.94,52.74,49.57,52.56,43091800,0
13-Jun-99,52.93,54.03,51.31,51.78,53971000,0
20-Jun-99,51.97,55.22,50.69,55.06,60015800,0
27-Jun-99,55.44,57.09,54.19,54.69,54659400,0
4-Jul-99,55.16,59.94,54.70,58.75,46258800,0
11-Jul-99,59.06,59.91,57.94,59.84,34746600,0
18-Jul-99,60.06,61.72,58.78,61.38,32409200,1
25-Jul-99,61.63,61.63,56.69,57.28,59914200,-1
1-Aug-99,56.50,58.44,55.78,56.59,58595800,0
8-Aug-99,56.69,57.81,53.75,55.33,66962400,0
15-Aug-99,55.53,57.72,52.94,57.66,64909600,0
22-Aug-99,57.63,58.84,56.70,57.97,46992800,0
29-Aug-99,58.50,61.75,58.37,59.88,54283800,0
5-Sep-99,60.13,62.68,58.13,62.66,64262600,1
12-Sep-99,62.53,63.74,61.03,63.13,46241000,0
19-Sep-99,63.06,63.49,60.20,63.31,63236800,0
26-Sep-99,63.50,63.75,58.63,60.08,74231600,-1
3-Oct-99,60.94,61.38,58.75,60.21,85999400,0
10-Oct-99,60.53,63.94,60.19,63.76,95595600,1
17-Oct-99,63.94,64.95,59.51,59.88,111602800,-1
24-Oct-99,59.94,63.25,57.41,61.97,112902600,0
31-Oct-99,61.69,66.25,60.45,65.75,75726800,1
7-Nov-99,65.75,69.22,65.20,68.19,76452400,0
14-Nov-99,68.44,72.25,68.22,72.19,89229600,0
21-Nov-99,72.25,75.91,71.69,75.78,87397200,0
28-Nov-99,75.94,78.78,74.25,77.69,69552400,0
5-Dec-99,77.53,80.19,73.50,79.13,106067200,0
12-Dec-99,79.43,80.50,77.25,79.91,107852200,0
19-Dec-99,79.63,84.88,77.94,83.78,126878600,0
26-Dec-99,84.41,90.75,83.69,90.22,81253000,0
2-Jan-0,90.31,93.75,87.91,91.38,87492200,0
9-Jan-0,96.19,96.19,79.75,90.00,177901408,0
16-Jan-0,91.00,93.94,86.00,93.38,138336000,0
23-Jan-0,92.06,96.88,91.44,96.25,80414600,0
30-Jan-0,97.44,97.63,84.75,86.00,150765200,-1
6-Feb-0,85.88,98.24,83.50,97.16,145821200,1
13-Feb-0,97.25,102.88,96.25,99.88,118236200,0
20-Feb-0,99.99,103.25,95.88,98.44,134049400,0
27-Feb-0,99.00,107.50,96.25,104.06,150882800,0
5-Mar-0,103.25,111.13,100.50,111.06,151419600,0
12-Mar-0,111.75,116.44,106.28,114.50,166104000,0
19-Mar-0,110.00,114.13,101.00,110.81,214558208,0
26-Mar-0,111.00,120.50,103.56,117.56,120262896,0
2-Apr-0,118.00,119.50,103.50,109.50,130957000,-1
9-Apr-0,107.77,109.13,88.31,106.63,186541200,0
16-Apr-0,107.63,107.69,78.00,80.38,203491504,0
23-Apr-0,78.02,93.63,78.00,87.25,140997504,0
30-Apr-0,83.44,94.75,79.88,94.75,147381200,0
7-May-0,95.75,96.88,85.52,91.44,108425200,0
14-May-0,90.50,90.75,79.50,84.63,111118000,0
21-May-0,84.81,91.50,81.31,81.69,109290096,0
28-May-0,81.63,82.63,72.25,77.75,173090208,0
4-Jun-0,80.00,93.94,80.00,93.63,121936496,0
11-Jun-0,92.25,95.31,89.56,93.75,105837600,0
18-Jun-0,94.31,95.31,89.36,94.25,101958304,0
25-Jun-0,94.02,99.72,91.38,91.50,108326200,0
2-Jul-0,93.06,95.50,90.63,93.44,92723904,0
9-Jul-0,93.50,97.00,90.06,95.94,61898900,0
16-Jul-0,94.69,101.13,92.81,100.63,82072704,0
23-Jul-0,100.94,102.06,95.66,97.00,89585600,0
30-Jul-0,97.94,99.00,86.00,86.88,120591000,0
6-Aug-0,87.63,92.77,83.31,90.13,125098000,0
13-Aug-0,90.88,94.44,87.88,91.06,84972200,0
20-Aug-0,91.38,96.63,90.20,95.25,71074000,0
27-Aug-0,96.00,99.95,93.83,98.03,75167104,0
3-Sep-0,98.25,103.52,97.77,102.63,63682900,0
10-Sep-0,101.63,101.75,94.77,95.13,77458096,0
17-Sep-0,94.50,96.13,90.00,91.31,139221104,0
24-Sep-0,91.81,95.23,87.00,92.94,148651904,0
1-Oct-0,93.63,94.25,88.00,88.75,131303696,0
8-Oct-0,90.25,90.25,81.25,83.00,158150400,0
15-Oct-0,82.56,83.81,74.41,81.25,208214208,0
22-Oct-0,81.13,87.88,74.56,86.31,229071808,0
29-Oct-0,86.19,87.50,73.63,79.72,230128496,0
5-Nov-0,78.19,83.94,75.70,83.06,180978304,0
12-Nov-0,83.63,84.13,71.75,71.75,202349792,0
19-Nov-0,70.95,78.06,68.27,72.83,241426304,0
26-Nov-0,70.94,72.06,66.50,70.44,165602496,0
3-Dec-0,72.56,72.94,60.50,64.00,282323712,0
10-Dec-0,64.13,73.50,61.75,68.00,296328192,0
17-Dec-0,72.06,74.78,62.56,63.88,235134704,0
24-Dec-0,65.16,65.97,54.25,60.50,347986912,0
31-Dec-0,60.59,62.48,58.00,58.38,151226208,0
7-Jan-1,58.56,65.25,52.16,56.63,307937216,0
14-Jan-1,56.31,64.63,53.52,62.73,309399296,0
21-Jan-1,62.56,68.31,60.56,66.31,204819296,0
28-Jan-1,65.88,69.13,63.00,65.55,242375296,0
4-Feb-1,64.75,67.99,60.00,61.55,225889200,0
11-Feb-1,61.19,63.12,56.00,56.40,244060896,0
18-Feb-1,56.25,60.49,54.12,55.13,307083584,0
25-Feb-1,55.74,55.84,48.23,51.18,324840800,0
4-Mar-1,52.08,52.60,45.65,46.70,444972416,0
11-Mar-1,47.50,50.66,44.95,45.10,288888608,0
18-Mar-1,44.00,45.31,40.56,41.20,409808384,0
25-Mar-1,41.44,43.83,39.49,42.80,479730688,0
1-Apr-1,43.47,43.72,38.00,39.15,348791008,0
8-Apr-1,39.17,39.85,33.60,35.95,408362592,0
15-Apr-1,36.79,42.80,35.85,42.80,318264800,0
22-Apr-1,41.94,49.44,39.90,48.40,479881216,1
29-Apr-1,46.99,47.72,43.10,45.15,363314496,-1
6-May-1,46.25,49.40,45.11,48.20,345722208,0
13-May-1,48.00,48.60,45.09,45.55,273407616,0
20-May-1,45.30,48.79,43.35,48.04,307131904,0
27-May-1,48.17,51.95,47.65,48.99,326262400,1
3-Jun-1,48.50,48.50,44.08,46.05,277899584,-1
10-Jun-1,46.33,49.49,45.29,47.35,292803488,0
17-Jun-1,46.90,47.00,41.28,42.60,371435008,0
24-Jun-1,42.64,44.23,41.26,43.25,339597600,0
1-Jul-1,43.61,46.52,42.48,45.70,297339904,0
8-Jul-1,45.65,46.48,41.49,41.65,173487296,0
15-Jul-1,41.89,44.43,39.87,43.15,314845184,0
22-Jul-1,43.37,43.86,41.14,41.65,303604000,0
29-Jul-1,42.24,42.40,39.31,41.95,311264096,0
5-Aug-1,42.13,44.00,41.40,43.18,253757696,0
12-Aug-1,42.53,42.85,39.23,40.28,280911712,0
19-Aug-1,40.59,41.70,37.71,37.76,283505216,0
26-Aug-1,37.85,39.39,36.54,39.30,284750688,0
2-Sep-1,39.28,39.90,35.75,36.63,305678304,0
9-Sep-1,36.51,37.50,33.35,33.70,353765408,0
16-Sep-1,33.49,34.32,33.34,34.10,80371296,0
23-Sep-1,31.25,32.80,27.20,28.19,483801088,0
30-Sep-1,29.08,30.43,27.42,28.98,384178400,0
7-Oct-1,28.85,33.20,27.85,31.76,487607712,0
14-Oct-1,31.13,35.25,30.75,34.55,428328800,0
21-Oct-1,34.12,36.00,32.00,33.55,469081504,0
