Date,Open,High,Low,Close,Volume,BuySell
20-Jun-8,2876.29,2945.42,2695.63,2831.74,280986400,0
27-Jun-8,2780.15,2931.31,2723.16,2748.43,279925408,0
4-Jul-8,2724.40,2766.80,2566.53,2669.89,244820704,0
11-Jul-8,2673.55,2952.04,2673.55,2856.63,410361984,0
18-Jul-8,2837.50,2896.33,2656.61,2778.37,294140800,0
25-Jul-8,2759.88,2912.70,2745.64,2865.10,324541312,0
1-Aug-8,2883.76,2924.45,2721.95,2801.82,263643696,0
8-Aug-8,2782.99,2793.26,2595.92,2605.72,208153904,0
15-Aug-8,2595.90,2601.50,2370.74,2450.61,187400496,0
22-Aug-8,2451.78,2523.47,2284.58,2405.23,273603904,0
29-Aug-8,2408.09,2443.99,2310.46,2397.37,196847808,0
5-Sep-8,2380.47,2380.47,2199.36,2202.45,185476800,0
12-Sep-8,2210.34,2220.55,2064.29,2079.67,174158496,0
19-Sep-8,2049.81,2075.09,1802.33,2075.09,216843600,0
26-Sep-8,2241.72,2333.28,2116.96,2293.78,484133088,0
10-Oct-8,2267.39,2267.39,1963.18,2000.57,267748704,0
17-Oct-8,1978.56,2146.73,1901.50,1930.65,254814000,0
24-Oct-8,1924.18,1996.66,1825.53,1839.62,241051600,0
31-Oct-8,1809.22,1809.22,1664.93,1728.79,256351200,0
7-Nov-8,1713.76,1788.26,1678.96,1747.71,227918096,0
14-Nov-8,1782.31,1987.26,1782.31,1986.44,499532800,0
21-Nov-8,1981.26,2050.88,1883.83,1969.39,680313984,0
28-Nov-8,1961.21,2022.48,1856.29,1871.16,419259904,0
5-Dec-8,1865.74,2055.21,1838.10,2018.66,615537408,1
12-Dec-8,2049.16,2100.81,1932.27,1954.21,668403008,-1
19-Dec-8,1977.03,2038.66,1907.83,2018.46,451456096,1
26-Dec-8,2016.45,2016.45,1832.35,1851.52,378124704,-1
31-Dec-8,1846.30,1862.94,1814.75,1820.81,161883696,0
9-Jan-9,1849.02,1948.23,1844.09,1904.86,410162400,0
16-Jan-9,1897.70,1984.73,1861.81,1954.44,494357088,1
23-Jan-9,1971.00,2018.51,1956.10,1990.66,445507808,0
6-Feb-9,2008.13,2185.09,1987.13,2181.24,697172288,0
13-Feb-9,2211.32,2323.12,2191.89,2320.79,947921024,0
20-Feb-9,2338.76,2402.81,2190.47,2261.48,830790016,0
27-Feb-9,2249.29,2313.59,2064.92,2082.85,768062976,0
6-Mar-9,2066.23,2241.76,2037.02,2193.01,646359296,0
13-Mar-9,2205.75,2232.67,2086.02,2128.85,482682400,0
20-Mar-9,2122.41,2294.12,2108.61,2281.09,647528576,0
27-Mar-9,2286.25,2392.77,2274.90,2374.44,812713984,0
3-Apr-9,2377.96,2456.81,2299.16,2419.78,821073024,0
10-Apr-9,2422.10,2449.54,2331.88,2444.23,541744000,0
17-Apr-9,2468.08,2549.31,2464.06,2503.94,885368000,0
24-Apr-9,2500.17,2579.22,2422.79,2448.59,746427008,0
30-Apr-9,2443.44,2491.07,2372.34,2477.57,465508288,0
8-May-9,2486.69,2634.06,2486.23,2625.65,816233024,0
15-May-9,2646.29,2670.21,2558.96,2645.26,682742016,0
22-May-9,2632.57,2688.11,2578.59,2597.60,642835328,0
27-May-9,2555.34,2635.31,2538.62,2632.93,329684000,0
5-Jun-9,2668.40,2791.65,2668.40,2753.89,777524992,0
12-Jun-9,2753.34,2828.74,2721.85,2743.76,672910016,0
19-Jun-9,2743.03,2886.50,2727.74,2880.49,612257984,0
26-Jun-9,2900.57,2946.90,2841.90,2928.21,661185024,0
3-Jul-9,2930.31,3088.86,2918.39,3088.37,714035968,0
10-Jul-9,3091.48,3140.04,3011.21,3113.93,845952000,0
17-Jul-9,3098.96,3221.07,3076.30,3189.74,870129984,0
24-Jul-9,3203.89,3398.05,3192.90,3372.60,920787008,0
31-Jul-9,3377.72,3454.02,3174.21,3412.06,1069395008,0
7-Aug-9,3429.69,3478.01,3244.10,3260.69,942793984,-1
14-Aug-9,3287.76,3307.89,3039.30,3046.97,607633024,0
21-Aug-9,2994.87,3020.26,2761.40,2960.77,582609024,0
28-Aug-9,2982.19,3004.90,2823.64,2860.69,658331008,0
4-Sep-9,2817.63,2875.98,2639.76,2861.61,559003328,0
11-Sep-9,2877.62,2999.33,2831.85,2989.79,619008000,0
18-Sep-9,2990.93,3068.03,2940.83,2962.67,764412032,0
25-Sep-9,2937.93,2982.90,2783.11,2838.84,545641600,0
30-Sep-9,2844.37,2857.95,2712.30,2779.43,210273408,0
9-Oct-9,2840.13,2912.55,2834.62,2911.72,85546600,0
16-Oct-9,2927.02,3014.26,2886.96,2976.63,488654912,0
23-Oct-9,2974.64,3123.46,2962.31,3107.85,641382016,1
30-Oct-9,3114.29,3123.36,2952.01,2995.85,551760000,-1
6-Nov-9,2933.82,3183.57,2923.52,3164.04,742164992,1
13-Nov-9,3162.15,3211.10,3127.50,3187.65,697640000,0
20-Nov-9,3206.43,3332.53,3206.43,3308.35,875774016,0
27-Nov-9,3312.97,3361.39,3080.89,3096.26,975553024,-1
4-Dec-9,3114.29,3319.13,3114.29,3317.04,854355968,1
11-Dec-9,3313.06,3334.01,3225.56,3247.32,577886528,0
18-Dec-9,3246.95,3315.03,3108.03,3113.89,531115008,-1
25-Dec-9,3108.07,3156.53,3039.86,3141.35,426658784,0
31-Dec-9,3148.86,3282.21,3148.86,3277.14,439800672,1
8-Jan-10,3289.75,3295.87,3149.02,3196.00,586244352,0
15-Jan-10,3301.61,3306.75,3165.49,3224.15,691822400,0
22-Jan-10,3213.64,3268.81,3062.63,3128.59,675349504,-1
29-Jan-10,3103.32,3137.00,2963.89,2989.29,402262816,0
5-Feb-10,2981.37,3015.13,2890.02,2939.40,468848800,0
12-Feb-10,2936.45,3018.86,2922.19,3018.13,293908224,0
26-Feb-10,3016.70,3067.53,2938.75,3051.94,462784032,0
5-Mar-10,3057.01,3102.40,3011.09,3031.07,552166592,0
12-Mar-10,3036.42,3085.99,3011.97,3013.41,409297824,0
19-Mar-10,3010.72,3069.66,2963.44,3067.75,390323776,0
26-Mar-10,3069.66,3083.34,3009.91,3059.72,461901216,0
2-Apr-10,3076.05,3159.60,3071.69,3157.96,585038592,1
9-Apr-10,3170.61,3177.97,3110.26,3145.35,440405632,0
16-Apr-10,3151.89,3181.66,3101.48,3130.30,575579392,0
23-Apr-10,3096.79,3096.79,2941.35,2983.54,572646656,-1
30-Apr-10,2988.08,2996.83,2820.95,2870.61,459246240,0
7-May-10,2821.35,2862.55,2665.81,2688.38,346096000,0
14-May-10,2690.86,2751.07,2604.20,2696.63,408741088,0
21-May-10,2663.88,2663.88,2481.97,2583.52,387059040,0
28-May-10,2596.32,2686.54,2583.55,2655.77,449308352,0
4-Jun-10,2647.87,2665.39,2521.06,2553.59,344297440,0
11-Jun-10,2508.33,2590.98,2491.65,2569.94,365864672,0
18-Jun-10,2588.97,2595.51,2505.33,2513.22,122175488,0
25-Jun-10,2517.29,2598.35,2504.32,2552.82,299948128,0
2-Jul-10,2550.65,2561.49,2319.74,2382.90,290456672,0
9-Jul-10,2358.76,2485.60,2335.57,2470.92,305847552,0
16-Jul-10,2468.54,2501.02,2389.07,2424.27,398528064,0
23-Jul-10,2399.58,2579.52,2392.27,2572.03,541992512,1
30-Jul-10,2576.37,2656.41,2556.47,2637.50,542808640,0
6-Aug-10,2635.81,2681.79,2589.99,2658.39,587481152,0
13-Aug-10,2656.36,2676.09,2564.84,2606.70,515411872,0
20-Aug-10,2603.79,2701.93,2596.77,2642.31,629369280,0
27-Aug-10,2637.82,2667.17,2588.64,2610.74,455855968,0
3-Sep-10,2622.27,2662.88,2604.49,2655.39,602067456,0
10-Sep-10,2667.20,2704.93,2628.83,2663.21,615990592,0
17-Sep-10,2665.66,2703.78,2583.34,2598.69,562840704,-1
21-Sep-10,2601.48,2607.35,2573.63,2591.55,137570928,0
30-Sep-10,2600.54,2656.00,2597.14,2655.66,348161120,0
8-Oct-10,2681.25,2747.80,2677.99,2738.74,135759536,0
15-Oct-10,2755.03,2971.16,2755.03,2971.16,1026275520,1
22-Oct-10,2985.46,3041.15,2931.91,2975.04,950305216,0
29-Oct-10,2979.71,3073.38,2955.48,2978.83,857809088,0
5-Nov-10,2986.89,3142.59,2986.89,3129.50,989851392,0
12-Nov-10,3140.40,3186.72,2975.16,2985.44,1026285824,0
19-Nov-10,2984.87,3016.13,2806.64,2888.57,674026752,-1
26-Nov-10,2861.61,2904.97,2791.58,2871.70,602060544,0
3-Dec-10,2861.15,2881.16,2758.92,2842.43,510757472,0
10-Dec-10,2850.38,2884.53,2792.52,2841.04,438384576,0
17-Dec-10,2850.32,2939.05,2847.66,2893.74,520569344,0
24-Dec-10,2901.47,2917.20,2804.56,2835.16,489126016,0
31-Dec-10,2842.81,2876.81,2721.48,2808.08,402603456,0
7-Jan-11,2825.33,2868.00,2807.87,2838.80,412323264,0
14-Jan-11,2832.62,2847.36,2770.34,2791.34,402220928,0
21-Jan-11,2772.45,2780.94,2667.29,2715.29,413075776,0
28-Jan-11,2716.52,2759.44,2661.45,2752.75,409150272,0
1-Feb-11,2751.53,2805.05,2748.54,2798.96,164852912,0
11-Feb-11,2778.70,2835.41,2760.18,2827.33,292935712,0
18-Feb-11,2828.57,2939.28,2828.57,2899.79,678689536,1
25-Feb-11,2886.54,2944.41,2839.20,2878.56,483037600,0
4-Mar-11,2880.17,2944.46,2861.82,2942.31,657469184,0
11-Mar-11,2952.72,3012.04,2927.68,2933.80,651372160,0
18-Mar-11,2923.98,2939.65,2850.95,2906.89,641074944,0
25-Mar-11,2913.91,2985.08,2884.75,2977.81,549833536,0
1-Apr-11,2985.36,3005.78,2914.38,2967.41,659833408,0
8-Apr-11,2964.21,3031.10,2963.90,3030.02,380723008,0
15-Apr-11,3037.91,3062.53,2994.47,3050.53,679400896,0
22-Apr-11,3040.53,3067.46,2992.67,3010.52,639163072,0
29-Apr-11,3003.03,3003.61,2871.01,2911.51,510729056,-1
6-May-11,2911.51,2933.46,2834.46,2863.89,390032192,0
13-May-11,2868.24,2897.14,2832.25,2871.03,448830240,0
20-May-11,2864.38,2884.14,2821.20,2858.46,404033408,0
27-May-11,2853.29,2853.29,2708.55,2709.95,409143840,0
3-Jun-11,2704.49,2744.93,2676.54,2728.02,355635360,0
10-Jun-11,2720.97,2754.12,2672.32,2705.14,296185504,0
17-Jun-11,2687.65,2735.55,2641.39,2642.82,356394432,0
24-Jun-11,2635.83,2759.71,2610.99,2746.21,382741856,0
1-Jul-11,2746.79,2778.67,2727.25,2759.36,461142656,0
8-Jul-11,2770.94,2825.12,2770.94,2797.77,537914624,1
15-Jul-11,2789.45,2821.34,2752.19,2820.17,486639328,0
22-Jul-11,2821.36,2826.96,2763.42,2770.79,436852544,0
29-Jul-11,2759.63,2759.63,2677.12,2701.73,418478048,-1
5-Aug-11,2697.57,2712.89,2605.14,2626.42,330419456,0
12-Aug-11,2599.29,2614.19,2437.68,2593.17,507164192,0
19-Aug-11,2598.14,2636.36,2513.75,2534.36,385608928,0
26-Aug-11,2534.57,2616.64,2507.78,2612.19,370009504,0
2-Sep-11,2595.47,2615.14,2517.62,2528.28,320504000,0
9-Sep-11,2510.10,2528.42,2459.54,2497.75,270445440,0
16-Sep-11,2467.73,2499.48,2439.37,2482.34,207987440,0
23-Sep-11,2469.60,2517.67,2400.14,2433.16,323700096,0
30-Sep-11,2416.23,2441.73,2348.22,2359.22,276424544,0
14-Oct-11,2363.08,2439.64,2318.63,2431.38,345762944,0
21-Oct-11,2434.49,2452.99,2313.78,2317.27,310190016,0
28-Oct-11,2322.02,2483.76,2307.15,2473.41,461651808,0
4-Nov-11,2470.25,2536.78,2433.72,2528.29,516983168,1
