Date,Open,High,Low,Close,Volume,BuySell
03-Sep-10,2622.27,2662.88,2604.49,2655.39,602067474,0
10-Sep-10,2667.2,2704.93,2628.83,2663.21,615990599,1
17-Sep-10,2665.66,2703.78,2583.34,2598.69,562840696,-1
21-Sep-10,2601.48,2607.35,2573.63,2591.55,137570925,0
30-Sep-10,2600.54,2656.0,2597.14,2655.66,348161112,1
08-Oct-10,2681.25,2747.8,2677.99,2738.74,135759543,0
15-Oct-10,2755.03,2971.16,2755.03,2971.16,1026275530,0
22-Oct-10,2985.46,3041.15,2931.91,2975.04,950305212,0
29-Oct-10,2979.71,3073.38,2955.48,2978.83,857809118,0
05-Nov-10,2986.89,3142.59,2986.89,3129.5,989851394,0
12-Nov-10,3140.4,3186.72,2975.16,2985.44,1026285830,0
19-Nov-10,2984.87,3016.13,2806.64,2888.57,674026724,0
26-Nov-10,2861.61,2904.97,2791.58,2871.7,602060554,-1
03-Dec-10,2861.15,2881.16,2758.92,2842.43,510757466,0
10-Dec-10,2850.38,2884.53,2792.52,2841.04,438384591,0
17-Dec-10,2850.32,2939.05,2847.66,2893.74,520569342,0
24-Dec-10,2901.47,2917.2,2804.56,2835.16,489126011,0
31-Dec-10,2842.81,2876.81,2721.48,2808.08,402603448,0
07-Jan-11,2825.33,2868.0,2807.87,2838.8,412323257,0
14-Jan-11,2832.62,2847.36,2770.34,2791.34,402220914,0
21-Jan-11,2772.45,2780.94,2667.29,2715.29,413075787,0
28-Jan-11,2716.52,2759.44,2661.45,2752.75,409150273,0
01-Feb-11,2751.53,2805.05,2748.54,2798.96,164852906,0
11-Feb-11,2778.7,2835.41,2760.18,2827.33,292935722,1
18-Feb-11,2828.57,2939.28,2828.57,2899.79,678689526,0
25-Feb-11,2886.54,2944.41,2839.2,2878.56,483037603,0
04-Mar-11,2880.17,2944.46,2861.82,2942.31,657469194,0
11-Mar-11,2952.72,3012.04,2927.68,2933.8,651372142,0
18-Mar-11,2923.98,2939.65,2850.95,2906.89,641074968,0
25-Mar-11,2913.91,2985.08,2884.75,2977.81,549833553,0
01-Apr-11,2985.36,3005.78,2914.38,2967.41,659833377,0
08-Apr-11,2964.21,3031.1,2963.9,3030.02,380722998,0
15-Apr-11,3037.91,3062.53,2994.47,3050.53,679400874,0
22-Apr-11,3040.53,3067.46,2992.67,3010.52,639163067,0
29-Apr-11,3003.03,3003.61,2871.01,2911.51,510729046,-1
06-May-11,2911.51,2933.46,2834.46,2863.89,390032189,0
13-May-11,2868.24,2897.14,2832.25,2871.03,448830229,0
20-May-11,2864.38,2884.14,2821.2,2858.46,404033392,0
27-May-11,2853.29,2853.29,2708.55,2709.95,409143844,0
03-Jun-11,2704.49,2744.93,2676.54,2728.02,355635375,0
10-Jun-11,2720.97,2754.12,2672.32,2705.14,296185516,0
17-Jun-11,2687.65,2735.55,2641.39,2642.82,356394421,0
24-Jun-11,2635.83,2759.71,2610.99,2746.21,382741853,0
01-Jul-11,2746.79,2778.67,2727.25,2759.36,461142667,0
08-Jul-11,2770.94,2825.12,2770.94,2797.77,537914629,1
15-Jul-11,2789.45,2821.34,2752.19,2820.17,486639342,0
22-Jul-11,2821.36,2826.96,2763.42,2770.79,436852542,0
29-Jul-11,2759.63,2759.63,2677.12,2701.73,418478054,-1
05-Aug-11,2697.57,2712.89,2605.14,2626.42,330419446,0
12-Aug-11,2599.29,2614.19,2437.68,2593.17,507164202,0
19-Aug-11,2598.14,2636.36,2513.75,2534.36,385608927,0
26-Aug-11,2534.57,2616.64,2507.78,2612.19,370009519,0
02-Sep-11,2595.47,2615.14,2517.62,2528.28,320504009,0
09-Sep-11,2510.1,2528.42,2459.54,2497.75,270445431,0
16-Sep-11,2467.73,2499.48,2439.37,2482.34,207987438,0
23-Sep-11,2469.6,2517.67,2400.14,2433.16,323700092,0
30-Sep-11,2416.23,2441.73,2348.22,2359.22,276424532,0
14-Oct-11,2363.08,2439.64,2318.63,2431.38,345762946,0
21-Oct-11,2434.49,2452.99,2313.78,2317.27,310190003,0
28-Oct-11,2322.02,2483.76,2307.15,2473.41,461651797,1
04-Nov-11,2470.25,2536.78,2433.72,2528.29,516983179,0
11-Nov-11,2518.9,2536.18,2472.76,2481.08,388997158,0
18-Nov-11,2498.67,2534.06,2411.04,2416.56,392434763,-1
25-Nov-11,2416.73,2419.24,2370.7,2380.22,249678151,0
02-Dec-11,2383.89,2423.56,2319.44,2359.35,336035448,0
09-Dec-11,2363.11,2363.13,2302.64,2315.27,230988023,0
16-Dec-11,2312.15,2315.81,2170.75,2224.84,200794736,0
23-Dec-11,2208.07,2239.86,2149.42,2204.78,272864281,0
30-Dec-11,2193.66,2213.45,2134.02,2199.42,235652315,0
06-Jan-12,2212.0,2217.52,2132.63,2163.4,158572038,0
13-Jan-12,2164.74,2295.22,2148.45,2244.58,413831351,0
20-Jan-12,2230.43,2322.89,2196.12,2319.12,366025118,1
27-Jan-12,2300.5,2322.89,2293.89,2319.12,349613765,0
03-Feb-12,2324.49,2336.27,2263.34,2330.41,303121392,0
10-Feb-12,2334.25,2368.98,2278.82,2351.98,424709855,0
17-Feb-12,2332.05,2374.28,2325.03,2357.18,425231027,0
24-Feb-12,2383.69,2439.98,2345.05,2439.63,534401366,0
02-Mar-12,2447.41,2478.38,2418.33,2460.69,550283856,0
09-Mar-12,2464.85,2469.84,2388.52,2439.46,508599163,0
16-Mar-12,2438.55,2476.22,2366.02,2404.74,614359921,0
23-Mar-12,2401.22,2412.34,2342.12,2349.54,451954982,-1
30-Mar-12,2349.09,2363.77,2242.34,2262.79,336226363,0
06-Apr-12,2258.03,2309.64,2251.39,2306.55,152237977,0
13-Apr-12,2300.05,2369.7,2258.85,2359.16,398698544,0
