Date,Open,High,Low,Close,Volume,BuySell
17-Mar-19,28.58,28.59,27.77,27.86,23166500,0
24-Mar-19,27.84,27.98,27.39,27.98,24907200,0
31-Mar-19,28.02,28.13,27.64,27.65,32449600,0
7-Apr-19,27.46,27.49,27.10,27.11,16389800,0
14-Apr-19,27.15,27.29,26.94,26.97,13643900,0
21-Apr-19,26.97,27.13,26.87,27.02,8903300,0
28-Apr-19,27.09,27.10,26.71,26.72,9959800,0
5-May-19,26.71,27.09,26.58,26.67,14564000,0
12-May-19,27.12,27.80,26.75,27.25,28711400,0
19-May-19,27.79,28.02,27.13,27.46,29042800,0
26-May-19,27.64,27.98,27.35,27.78,18891200,0
2-Jun-19,27.75,28.55,27.64,28.54,20529300,0
9-Jun-19,28.55,28.77,27.20,27.32,36381300,0
16-Jun-19,27.16,27.31,26.97,27.20,15762600,0
23-Jun-19,27.16,27.20,26.50,26.64,17958300,0
30-Jun-19,26.63,26.85,26.54,26.61,9983400,0
7-Jul-19,26.28,26.50,26.12,26.15,12030000,0
14-Jul-19,26.28,26.41,25.96,25.97,14129100,0
21-Jul-19,25.94,26.33,25.93,26.29,13037200,0
28-Jul-19,26.25,26.31,25.87,25.89,13568600,0
4-Aug-19,25.90,26.88,25.89,26.71,33612800,1
11-Aug-19,27.15,27.73,26.62,26.82,46539100,0
18-Aug-19,26.97,27.66,26.57,27.05,41533900,0
25-Aug-19,26.74,27.54,26.58,27.43,29576700,0
1-Sep-19,27.19,27.37,26.54,26.70,26970200,0
8-Sep-19,26.88,27.00,26.14,26.20,19037100,0
15-Sep-19,26.11,26.40,25.84,25.96,19273100,0
22-Sep-19,26.08,26.21,25.84,26.11,17586100,0
29-Sep-19,26.17,26.42,25.97,26.26,23024700,0
6-Oct-19,26.21,27.24,26.00,26.35,46818400,0
13-Oct-19,26.43,26.89,25.97,26.18,30832000,0
20-Oct-19,26.23,26.25,25.85,26.05,18291400,0
27-Oct-19,25.92,26.00,25.69,25.75,14808900,-1
3-Nov-19,25.63,25.74,25.37,25.38,23092800,0
10-Nov-19,25.23,25.38,25.11,25.17,19944600,0
17-Nov-19,25.28,25.30,24.93,24.94,14674400,0
24-Nov-19,24.97,25.16,24.87,25.01,14470500,0
1-Dec-19,24.94,24.94,24.66,24.75,12300500,0
8-Dec-19,24.74,25.34,24.68,24.73,21277100,0
15-Dec-19,24.76,24.89,24.43,24.54,21347100,0
22-Dec-19,24.38,24.40,24.11,24.15,15018000,0
29-Dec-19,24.09,24.14,23.86,23.93,11737200,0
5-Jan-20,23.92,24.14,23.78,23.96,22741800,0
12-Jan-20,24.12,24.12,23.61,23.73,19785500,0
19-Jan-20,23.68,23.72,23.28,23.30,20625700,0
26-Jan-20,23.38,23.63,23.23,23.54,18622400,0
2-Feb-20,23.95,24.11,23.53,24.05,42104000,1
9-Feb-20,23.91,23.93,23.14,23.28,37711800,-1
16-Feb-20,23.34,23.35,22.88,22.91,25164300,0
23-Feb-20,23.00,23.27,22.82,23.19,24342400,0
1-Mar-20,23.93,26.97,23.74,26.11,155674096,1
8-Mar-20,25.87,26.40,24.53,25.79,135450208,0
15-Mar-20,27.95,30.39,26.39,27.54,162861792,0
22-Mar-20,30.80,31.85,28.59,31.73,180827200,0
29-Mar-20,31.82,33.19,27.21,28.22,174633904,-1
5-Apr-20,27.95,29.16,27.09,28.67,152763200,0
12-Apr-20,27.53,27.67,25.11,25.41,143476000,0
19-Apr-20,25.49,26.01,24.52,24.57,127423000,0
26-Apr-20,24.93,25.86,24.61,24.85,94579296,0
3-May-20,24.67,24.93,23.81,24.83,104076896,0
10-May-20,25.00,25.14,23.94,23.97,71078704,0
17-May-20,24.17,25.35,23.83,24.48,84964000,0
24-May-20,23.87,23.97,23.48,23.67,66445600,0
31-May-20,23.14,23.55,22.78,22.98,64975100,0
7-Jun-20,23.01,23.06,21.72,21.87,75755600,0
14-Jun-20,21.78,23.29,21.57,22.85,101685200,0
21-Jun-20,23.31,23.42,22.00,22.42,89234896,0
28-Jun-20,22.46,23.06,21.99,23.02,83758496,0
5-Jul-20,22.91,23.10,21.85,22.11,59196000,0
12-Jul-20,21.81,22.19,21.69,21.71,51699300,0
19-Jul-20,21.55,22.10,21.33,21.42,64926300,0
26-Jul-20,21.45,21.49,21.06,21.11,29599612,0
