Date,Open,High,Low,Close,Volume,BuySell
21-Jul-19,156.70,165.10,156.25,164.30,10835600,0
28-Jul-19,163.05,163.15,152.95,153.65,12314800,0
4-Aug-19,153.95,176.70,153.90,173.90,23541300,0
11-Aug-19,184.55,196.45,169.30,174.30,28052500,0
18-Aug-19,177.50,188.45,164.75,175.55,23027600,0
25-Aug-19,167.95,185.65,164.55,183.65,16806200,0
1-Sep-19,178.10,181.50,164.60,168.45,16391600,0
8-Sep-19,171.95,175.25,155.60,157.35,12138900,0
15-Sep-19,156.00,164.20,150.00,155.15,13045400,0
22-Sep-19,158.20,161.20,151.80,159.35,12630700,0
29-Sep-19,159.95,170.55,156.30,166.95,16188800,0
6-Oct-19,165.40,181.60,158.00,162.00,17227200,0
13-Oct-19,163.55,171.25,152.00,156.05,17992200,0
20-Oct-19,156.60,157.05,147.80,154.25,13244500,0
27-Oct-19,152.10,155.60,144.90,145.25,11399600,0
3-Nov-19,143.00,145.80,138.10,138.10,11441100,0
10-Nov-19,135.30,138.30,132.30,133.35,10955300,0
17-Nov-19,135.35,135.95,130.35,130.60,9243700,0
24-Nov-19,130.75,134.60,128.45,132.35,12654800,0
1-Dec-19,130.70,130.70,124.35,126.15,6615600,0
8-Dec-19,126.05,137.30,125.90,126.35,14228900,0
15-Dec-19,126.90,129.15,120.90,122.25,13624800,0
22-Dec-19,119.95,120.00,114.00,114.65,8722600,0
29-Dec-19,113.40,114.00,108.85,110.45,5511700,0
5-Jan-20,110.60,114.20,106.50,109.35,12348400,0
12-Jan-20,111.95,112.35,101.05,103.10,16332900,-1
19-Jan-20,101.90,102.35,96.10,96.30,17613300,0
26-Jan-20,97.20,98.60,93.20,97.30,13661400,0
2-Feb-20,103.75,104.60,95.85,101.80,27235700,0
9-Feb-20,100.30,100.50,87.00,88.40,26682500,0
16-Feb-20,89.35,89.40,82.05,82.45,19393500,0
23-Feb-20,83.65,87.95,79.45,86.95,20926700,0
1-Mar-20,96.50,132.00,93.65,117.00,93249400,1
8-Mar-20,113.55,118.50,96.10,110.45,72704600,-1
15-Mar-20,133.75,162.15,112.50,115.60,76048096,1
22-Mar-20,150.00,157.95,118.65,146.60,96405800,0
29-Mar-20,146.05,161.25,96.05,106.75,102058496,-1
5-Apr-20,103.80,112.40,90.40,107.30,153354496,0
12-Apr-20,95.45,97.40,75.90,78.75,377390496,0
19-Apr-20,79.70,81.15,61.75,63.05,380936896,0
26-Apr-20,64.60,73.45,62.35,63.00,324337216,0
3-May-20,61.05,65.30,57.25,63.10,300059296,0
10-May-20,64.10,64.55,53.05,53.20,264123600,0
17-May-20,54.15,59.70,50.90,54.00,385427904,0
24-May-20,51.90,52.45,47.85,49.35,283470784,0
31-May-20,47.00,53.10,46.80,47.15,98169400,0
7-Jun-20,47.60,47.80,42.80,43.20,53587100,0
14-Jun-20,43.30,47.00,38.95,44.55,84956096,0
21-Jun-20,46.50,47.05,38.60,40.00,72592304,0
28-Jun-20,40.05,41.75,36.50,41.50,87840304,0
5-Jul-20,41.60,43.00,34.80,35.70,62396800,0
12-Jul-20,34.35,34.35,30.85,30.90,92047296,0
19-Jul-20,29.90,35.05,28.90,32.55,130589696,0
26-Jul-20,32.20,35.20,29.15,33.60,116366200,0
2-Aug-20,32.95,33.25,29.60,29.65,87223104,0
9-Aug-20,28.95,29.00,26.70,27.70,83786800,0
16-Aug-20,27.65,29.90,26.55,27.40,96796096,0
23-Aug-20,26.80,26.90,24.42,24.54,133207200,0
30-Aug-20,23.69,24.70,21.57,21.85,214238704,0
6-Sep-20,21.74,26.34,19.55,23.58,556715904,0
13-Sep-20,26.37,27.60,23.42,26.56,417685792,0
20-Sep-20,25.42,28.70,23.72,27.48,436214304,1
27-Sep-20,28.68,29.42,25.38,25.63,509099488,-1
4-Oct-20,24.22,24.99,22.57,24.61,387638112,0
11-Oct-20,24.10,24.52,21.59,21.62,264987008,0
18-Oct-20,20.51,21.24,18.95,20.84,332407488,0
25-Oct-20,20.42,22.54,20.20,21.60,331978912,0
1-Nov-20,22.16,25.71,21.51,25.03,447973312,0
8-Nov-20,24.45,25.78,18.67,18.83,471303904,0
15-Nov-20,18.29,21.65,17.98,19.39,434531296,0
22-Nov-20,19.44,19.80,18.83,19.47,202750096,0
29-Nov-20,19.26,19.94,18.18,18.29,118808496,0
