Date,Open,High,Low,Close,Volume,BuySell
5-May-19,22.67,24.20,21.99,22.02,4573900,0
12-May-19,23.02,25.04,21.80,23.72,6915200,0
19-May-19,25.03,26.17,23.75,25.29,6258300,0
26-May-19,25.80,27.42,24.70,26.31,5060800,0
2-Jun-19,26.19,29.31,25.86,28.97,4662800,0
9-Jun-19,28.87,29.32,25.80,26.18,6523500,0
16-Jun-19,25.83,26.27,24.94,25.69,4193200,0
23-Jun-19,25.40,25.43,23.29,24.37,4056300,0
30-Jun-19,24.15,25.78,23.19,23.40,4639500,0
7-Jul-19,22.50,23.98,22.29,22.90,2599300,0
14-Jul-19,23.13,24.04,22.93,23.19,2390800,0
21-Jul-19,22.99,24.28,22.99,24.19,2173300,0
28-Jul-19,24.06,24.43,22.58,22.69,3359800,0
4-Aug-19,22.68,25.32,21.81,24.75,4042400,0
11-Aug-19,26.10,27.81,24.52,25.52,3725300,0
18-Aug-19,25.94,28.51,24.86,26.32,3676900,0
25-Aug-19,25.44,28.18,25.06,27.97,2740300,0
1-Sep-19,27.17,28.58,25.42,25.94,3788300,0
8-Sep-19,26.70,27.46,24.32,25.33,2735800,0
15-Sep-19,25.00,25.28,21.20,21.89,4059800,-1
22-Sep-19,22.01,23.08,21.28,22.69,3247800,0
29-Sep-19,22.94,24.54,22.46,24.22,3378700,0
6-Oct-19,24.14,27.40,23.22,25.16,5674300,0
13-Oct-19,25.36,26.73,23.68,24.57,3498300,0
20-Oct-19,24.72,25.10,23.01,23.42,2141100,0
27-Oct-19,22.73,23.01,22.12,22.37,1806600,0
3-Nov-19,22.07,22.67,21.00,21.05,2022400,0
10-Nov-19,20.57,21.16,20.13,20.64,1976400,0
17-Nov-19,21.05,21.40,20.36,20.72,1482400,0
24-Nov-19,20.83,21.39,20.43,21.03,1484500,0
1-Dec-19,20.70,20.74,19.20,19.61,1614800,0
8-Dec-19,19.49,20.98,19.01,19.20,1524700,0
15-Dec-19,19.24,19.53,18.43,19.04,2066700,0
22-Dec-19,18.58,18.68,17.81,17.95,1091000,0
29-Dec-19,17.87,18.12,17.50,17.92,595000,0
5-Jan-20,17.87,18.62,17.64,18.18,2346100,0
12-Jan-20,18.61,18.67,17.75,18.29,1699700,0
19-Jan-20,18.24,18.51,16.55,16.94,1813400,0
26-Jan-20,17.16,18.41,17.07,18.09,1373900,0
2-Feb-20,18.90,19.85,18.00,19.65,2759900,1
9-Feb-20,19.33,19.33,17.08,18.11,2921500,-1
16-Feb-20,18.22,18.23,16.83,17.12,1901200,0
23-Feb-20,17.25,17.60,16.77,17.39,1722600,0
1-Mar-20,19.01,26.46,18.69,24.94,8141300,1
8-Mar-20,24.57,27.49,21.52,25.78,7126800,0
15-Mar-20,31.66,51.09,29.90,38.02,11132000,0
22-Mar-20,50.00,60.28,40.00,49.19,8323300,0
29-Mar-20,48.08,56.72,28.24,32.02,8550500,-1
5-Apr-20,31.36,40.21,28.97,38.25,10011900,0
12-Apr-20,33.40,33.47,21.01,21.46,15503500,0
19-Apr-20,21.96,26.46,20.65,21.76,21229700,0
26-Apr-20,23.05,24.76,20.89,21.31,21472200,0
3-May-20,20.55,20.60,14.78,19.08,29593500,0
10-May-20,19.84,20.47,15.97,16.01,31947300,0
17-May-20,16.69,22.44,15.78,18.61,47011700,0
24-May-20,16.07,16.19,14.33,14.38,36342800,0
31-May-20,12.71,13.68,11.53,13.00,30250500,0
7-Jun-20,12.88,13.06,9.65,10.13,41743900,0
14-Jun-20,9.70,13.63,9.49,12.37,59337700,0
21-Jun-20,13.64,13.64,10.17,11.49,42267100,0
28-Jun-20,11.69,12.61,10.62,12.40,37535400,0
5-Jul-20,11.90,12.34,10.25,10.92,32427800,0
12-Jul-20,10.24,12.06,10.20,11.07,43805700,0
19-Jul-20,10.74,11.71,9.58,9.82,63035700,0
26-Jul-20,9.89,10.10,9.11,9.91,39714800,0
2-Aug-20,9.87,10.09,9.19,9.59,30806200,0
9-Aug-20,9.41,9.62,8.00,8.00,29555300,0
16-Aug-20,7.92,8.03,7.45,7.86,24969100,0
23-Aug-20,7.79,8.38,7.70,8.21,18362600,0
30-Aug-20,8.01,8.25,7.80,7.81,20831000,0
6-Sep-20,7.80,9.00,7.53,8.44,32479200,0
13-Sep-20,8.71,9.06,8.22,8.99,27281236,1
