Date,Open,High,Low,Close,Volume,BuySell
18-Apr-8,13019.00,13074.30,11218.40,11292.00,226326768,0
25-Apr-8,12134.60,13463.90,10586.40,13105.00,372156960,0
30-Apr-8,12899.80,13557.50,12641.60,13504.90,192705280,0
9-May-8,13673.60,13881.20,12769.50,13080.40,316125056,0
16-May-8,12869.80,13728.90,12641.00,13314.40,297273184,0
23-May-8,13283.30,13303.90,12020.00,12216.40,255550176,0
30-May-8,12116.70,12386.70,11810.60,12048.20,186335968,0
6-Jun-8,12000.00,12161.00,11670.70,11734.00,149579776,0
13-Jun-8,11212.80,11212.80,9921.33,9936.73,142241296,0
20-Jun-8,9930.63,10036.90,8888.78,9373.69,251016176,0
27-Jun-8,9238.91,10132.30,9136.89,9436.21,275061472,0
4-Jul-8,9320.94,9566.38,8922.58,9400.72,245795872,0
11-Jul-8,9397.63,10472.60,9397.63,10031.40,397774976,0
18-Jul-8,9916.41,10144.50,9179.26,9588.40,283948480,0
25-Jul-8,9552.44,10030.30,9485.72,9923.16,297612480,0
1-Aug-8,9974.84,10112.60,9282.47,9556.91,240055072,0
8-Aug-8,9494.02,9558.44,8647.00,8658.78,233382992,0
15-Aug-8,8627.11,8627.11,7986.74,8233.41,192547488,0
22-Aug-8,8256.64,8553.82,7700.96,8101.68,226435984,0
29-Aug-8,8115.84,8183.19,7729.04,8004.24,166253376,0
5-Sep-8,7954.01,7954.01,7237.07,7264.20,147834368,0
12-Sep-8,7278.67,7302.80,6852.82,6935.07,144318592,0
19-Sep-8,6908.55,7154.00,6290.01,7154.00,219356896,0
26-Sep-8,7654.08,7752.83,6830.54,7559.27,479612864,0
10-Oct-8,7406.02,7406.02,6345.80,6385.35,296290688,-1
17-Oct-8,6330.19,6807.14,6081.14,6209.50,312696896,0
24-Oct-8,6220.43,6527.49,6093.75,6158.95,269984384,0
31-Oct-8,6037.54,6039.09,5577.23,5839.33,305307264,0
7-Nov-8,5794.17,5941.80,5598.21,5753.10,212601984,0
14-Nov-8,5855.08,6660.43,5855.08,6660.41,506110784,1
21-Nov-8,6634.63,6854.63,6260.46,6711.35,622248000,0
28-Nov-8,6694.54,6947.12,6390.34,6658.51,412340992,0
5-Dec-8,6634.60,7389.35,6596.64,7279.15,522014080,0
12-Dec-8,7363.65,7585.16,6988.80,7092.71,517901312,0
19-Dec-8,7184.16,7507.70,6955.19,7438.83,384062976,0
26-Dec-8,7429.46,7465.49,6654.59,6704.25,328569088,0
31-Dec-8,6641.78,6682.72,6460.70,6485.51,172494272,0
9-Jan-9,6557.42,6836.11,6514.49,6719.88,415464992,0
16-Jan-9,6690.96,7038.94,6518.85,6917.48,493053088,0
23-Jan-9,6972.58,7103.83,6879.16,7015.24,471233504,0
6-Feb-9,7073.87,7772.39,6995.84,7771.90,706889216,0
13-Feb-9,7891.49,8648.02,7861.85,8628.75,1004115008,0
20-Feb-9,8707.92,8800.63,8049.92,8423.77,860716032,0
27-Feb-9,8423.40,8820.67,7453.40,7608.22,787385984,0
6-Mar-9,7511.66,8412.07,7495.82,8249.88,647527616,0
13-Mar-9,8310.12,8426.99,7696.16,7875.74,451824384,0
20-Mar-9,7847.34,8717.64,7795.05,8647.51,699036672,0
27-Mar-9,8664.67,9115.04,8590.01,8994.15,762123008,0
3-Apr-9,8991.87,9436.64,8709.32,9244.66,732438016,0
10-Apr-9,9251.13,9345.44,8816.08,9345.44,457517600,0
17-Apr-9,9449.51,9776.68,9441.16,9580.06,881139008,0
24-Apr-9,9559.61,9793.64,9132.40,9315.21,651812800,0
30-Apr-9,9291.22,9566.75,8985.60,9502.52,373768384,0
8-May-9,9567.63,10318.70,9562.95,10183.10,738278976,0
15-May-9,10248.50,10357.00,9764.84,10273.20,643633728,0
22-May-9,10211.00,10497.20,9976.92,10072.60,549307392,0
27-May-9,9861.37,10215.10,9824.62,10127.90,304132896,0
5-Jun-9,10267.70,10817.00,10267.70,10667.10,702417024,0
12-Jun-9,10651.20,10882.50,10440.10,10524.10,538128576,0
19-Jun-9,10578.60,11270.60,10522.80,11242.30,605662976,0
26-Jun-9,11315.90,11490.80,10941.30,11413.20,603160320,0
3-Jul-9,11423.50,12261.90,11370.10,12258.80,570683776,0
10-Jul-9,12301.90,12814.00,12096.80,12706.00,705451008,0
17-Jul-9,12705.50,13222.50,12640.50,13132.00,662907904,0
24-Jul-9,13150.90,13660.30,13069.80,13531.70,698806016,0
31-Jul-9,13599.70,13881.10,12720.00,13670.70,873864000,0
7-Aug-9,13735.10,13943.40,12943.80,12975.30,770638016,-1
14-Aug-9,13109.30,13243.80,12383.20,12499.80,556342592,0
21-Aug-9,12269.50,12378.00,11072.60,11892.00,560008128,0
