Date,Open,High,Low,Close,Volume,BuySell
4-Jul-8,2176.90,2212.97,1992.35,2077.23,61290968,0
11-Jul-8,2082.75,2319.01,2081.84,2245.46,106022704,0
18-Jul-8,2223.89,2280.95,2056.19,2158.70,71716704,0
25-Jul-8,2132.44,2300.51,2127.07,2265.68,78652800,0
1-Aug-8,2282.06,2318.08,2127.36,2205.69,59973580,0
8-Aug-8,2185.16,2201.28,2044.81,2056.92,49464140,0
15-Aug-8,2049.46,2069.79,1900.56,1957.47,46505340,0
22-Aug-8,1959.10,2045.26,1832.25,1948.06,56578900,0
29-Aug-8,1953.29,1997.20,1898.22,1975.45,45666956,0
5-Sep-8,1958.27,1959.84,1781.70,1796.96,40399408,0
12-Sep-8,1805.41,1815.80,1699.46,1711.96,39887096,0
19-Sep-8,1673.79,1673.79,1433.44,1650.54,70022704,0
26-Sep-8,1785.32,1844.57,1660.46,1811.34,172630800,0
10-Oct-8,1788.97,1788.97,1497.34,1528.14,87862400,0
17-Oct-8,1519.66,1679.92,1462.93,1480.16,87424600,0
24-Oct-8,1474.97,1553.86,1401.68,1408.13,73049296,0
31-Oct-8,1379.53,1380.46,1269.29,1327.70,84828096,0
7-Nov-8,1312.79,1394.49,1290.81,1363.46,69469200,0
14-Nov-8,1398.22,1553.43,1398.22,1550.46,137481504,1
21-Nov-8,1541.34,1583.80,1432.75,1501.09,159488992,-1
28-Nov-8,1493.43,1536.61,1399.36,1411.17,97314704,0
5-Dec-8,1407.44,1569.22,1383.78,1538.47,133811800,0
12-Dec-8,1561.28,1612.33,1483.77,1499.29,163349696,0
19-Dec-8,1524.14,1577.88,1462.70,1554.11,104724704,1
26-Dec-8,1552.71,1554.18,1401.28,1416.83,80838704,-1
31-Dec-8,1409.73,1419.89,1382.07,1384.91,39992300,0
9-Jan-9,1411.08,1495.65,1402.05,1447.14,115734896,0
16-Jan-9,1441.63,1533.96,1412.93,1502.00,135713408,1
23-Jan-9,1522.14,1568.64,1508.67,1538.27,133634496,0
6-Feb-9,1553.34,1691.49,1529.17,1689.00,174252496,0
13-Feb-9,1715.15,1764.02,1661.95,1755.57,253032704,0
20-Feb-9,1771.62,1829.47,1651.40,1695.26,236117104,0
27-Feb-9,1680.82,1740.78,1580.40,1592.01,214649104,0
6-Mar-9,1586.56,1718.57,1544.62,1676.79,200460992,0
13-Mar-9,1689.12,1716.35,1590.24,1626.02,136061504,0
20-Mar-9,1619.76,1744.61,1604.09,1726.21,179291696,0
27-Mar-9,1728.66,1840.14,1723.28,1825.63,240176496,0
3-Apr-9,1829.11,1920.77,1772.27,1892.73,245758304,0
10-Apr-9,1892.67,1915.60,1803.06,1895.16,159658096,0
17-Apr-9,1915.43,1958.75,1905.10,1920.31,229506496,0
24-Apr-9,1915.99,1967.27,1850.25,1860.75,190268496,0
30-Apr-9,1858.86,1910.45,1805.78,1895.70,131699400,0
8-May-9,1903.08,2027.92,1900.04,2022.95,232586592,0
15-May-9,2040.18,2086.54,1980.09,2022.30,205646000,0
22-May-9,2011.23,2059.15,1951.74,1967.66,171361600,0
