Date,Open,High,Low,Close,Volume,BuySell
27-Nov-11,18.64,18.97,16.50,16.61,567000,0
4-Dec-11,18.60,21.56,17.76,20.23,865600,0
11-Dec-11,21.40,21.48,18.45,19.37,522100,0
18-Dec-11,18.57,18.74,15.55,16.10,843700,0
25-Dec-11,15.91,17.50,15.00,16.74,752300,0
1-Jan-12,16.90,16.90,15.60,16.29,582300,0
8-Jan-12,17.01,18.36,17.00,17.40,573800,0
15-Jan-12,18.15,20.10,17.46,19.59,874300,0
22-Jan-12,20.88,21.79,20.00,21.27,706700,0
29-Jan-12,21.30,23.43,20.69,23.39,734200,0
5-Feb-12,22.51,25.07,21.18,24.97,952500,0
12-Feb-12,23.98,25.71,23.17,23.81,1225000,0
19-Feb-12,25.50,25.92,23.83,25.39,536100,0
26-Feb-12,25.16,25.49,23.89,24.45,469400,0
4-Mar-12,23.74,26.36,23.22,26.09,626600,0
11-Mar-12,25.31,25.45,21.45,24.01,777700,0
18-Mar-12,24.02,25.67,23.58,24.26,478500,0
25-Mar-12,23.87,24.39,22.13,22.97,450800,0
1-Apr-12,23.31,24.50,20.85,22.25,621800,0
8-Apr-12,21.99,23.20,21.34,22.19,255000,0
15-Apr-12,21.37,23.09,20.24,22.53,382400,0
22-Apr-12,22.57,23.20,21.29,22.55,306100,0
29-Apr-12,21.14,22.50,20.32,22.50,343400,0
6-May-12,22.51,23.20,21.25,21.58,350900,0
13-May-12,21.11,21.55,18.71,19.17,473000,-1
20-May-12,18.47,18.47,15.02,15.20,464500,0
27-May-12,15.47,16.60,14.72,14.86,559100,0
3-Jun-12,16.00,16.82,13.50,13.58,717600,0
10-Jun-12,13.50,16.06,12.88,14.80,747900,0
17-Jun-12,15.85,15.85,14.56,15.60,330600,0
24-Jun-12,15.95,16.95,14.40,14.70,484000,0
1-Jul-12,14.02,15.50,13.37,15.50,657200,1
8-Jul-12,15.83,16.10,15.03,15.41,312300,-1
15-Jul-12,15.01,15.09,13.27,14.07,867900,0
22-Jul-12,13.86,14.00,13.02,13.65,693900,0
29-Jul-12,13.04,14.44,12.49,14.39,823300,0
5-Aug-12,14.35,14.35,13.20,14.05,544900,0
12-Aug-12,14.37,15.95,14.35,15.91,859000,0
19-Aug-12,15.75,16.16,15.20,15.32,611500,0
26-Aug-12,15.13,15.50,14.60,14.82,467100,0
2-Sep-12,14.79,14.95,13.90,14.27,308400,0
9-Sep-12,13.98,14.80,13.28,14.68,767200,0
16-Sep-12,14.41,17.10,14.23,16.60,1108400,1
23-Sep-12,16.57,16.57,15.17,15.83,658400,-1
30-Sep-12,15.71,16.00,14.25,15.83,759700,0
7-Oct-12,16.14,16.87,15.63,16.72,518000,0
14-Oct-12,16.27,16.88,15.53,16.45,662900,0
21-Oct-12,16.52,18.01,16.52,17.07,995900,1
28-Oct-12,17.30,18.00,16.56,16.86,769600,0
4-Nov-12,17.10,17.80,16.50,17.09,332900,0
11-Nov-12,17.15,17.85,15.81,16.19,702700,-1
18-Nov-12,16.43,16.54,14.03,14.62,843800,0
25-Nov-12,15.37,16.64,14.79,15.97,561100,0
2-Dec-12,16.00,16.17,14.86,15.93,613300,0
9-Dec-12,16.10,16.18,15.10,15.48,1003900,0
16-Dec-12,15.41,16.99,15.41,16.91,1001300,1
23-Dec-12,16.78,18.27,16.60,17.50,965200,0
30-Dec-12,17.30,17.87,17.00,17.56,523000,0
6-Jan-13,17.78,20.59,17.71,20.58,1502200,0
13-Jan-13,20.36,21.58,19.15,21.07,1709100,0
20-Jan-13,21.50,21.69,20.30,20.76,1591700,0
27-Jan-13,20.94,20.99,19.42,19.58,922500,0
3-Feb-13,19.83,20.30,19.66,20.16,759200,0
10-Feb-13,19.74,19.74,18.07,18.50,1088800,-1
17-Feb-13,18.50,18.75,18.16,18.44,360700,0
24-Feb-13,18.19,18.35,16.36,17.05,829000,0
3-Mar-13,17.41,17.48,16.22,17.08,633800,0
10-Mar-13,16.36,17.74,16.26,17.70,633500,0
17-Mar-13,17.48,17.50,15.75,15.89,740900,0
