Date,Open,High,Low,Close,Volume,BuySell
28-Mar-8,5275.99,5318.62,4825.19,5108.67,826001088,0
3-Apr-8,5015.36,5070.48,4281.43,4542.33,613498944,0
11-Apr-8,4490.38,4919.62,4440.55,4819.37,793464064,0
18-Apr-8,4738.89,4751.03,4221.30,4271.14,677997504,0
25-Apr-8,4521.81,4801.74,3938.21,4674.03,1557991936,0
30-Apr-8,4603.88,4875.71,4544.76,4858.35,804734592,0
9-May-8,4923.40,5078.54,4782.91,5002.72,1699615744,0
16-May-8,4951.76,5272.99,4892.96,5082.69,1698094208,0
23-May-8,5069.78,5125.46,4667.44,4802.46,1169474816,0
30-May-8,4775.82,4815.55,4604.81,4720.16,832623808,0
6-Jun-8,4719.67,4788.15,4567.91,4584.39,732296000,0
13-Jun-8,4416.19,4420.33,3868.52,3870.51,810890496,0
20-Jun-8,3882.47,3912.90,3439.42,3645.17,1184787456,0
27-Jun-8,3578.89,3938.05,3526.05,3681.19,1116989952,0
4-Jul-8,3631.95,3879.63,3576.12,3818.51,10163669,0
11-Jul-8,3823.30,4228.43,3823.30,4068.72,18978248,0
18-Jul-8,4039.03,4160.54,3773.89,3933.70,14265547,0
25-Jul-8,3915.31,4142.21,3900.43,4114.52,15810628,0
1-Aug-8,4134.54,4181.96,3892.11,4006.27,10942568,0
8-Aug-8,3975.12,3989.00,3598.81,3610.73,8274909,0
15-Aug-8,3599.75,3605.73,3315.33,3458.69,8036937,0
22-Aug-8,3455.53,3560.60,3218.73,3343.34,9096118,0
29-Aug-8,3355.27,3381.87,3094.33,3199.73,6946308,0
5-Sep-8,3203.29,3203.29,2855.02,2864.57,6667289,0
12-Sep-8,2866.03,2871.29,2707.47,2758.99,6427888,0
19-Sep-8,2752.40,2824.15,2473.35,2824.15,8198779,0
26-Sep-8,2967.53,3062.58,2633.58,2838.74,16602548,0
10-Oct-8,2794.30,2794.30,2427.58,2444.54,9040919,-1
17-Oct-8,2420.68,2557.08,2207.84,2238.99,10162570,0
24-Oct-8,2238.16,2363.94,2219.98,2299.92,8843468,0
31-Oct-8,2269.39,2269.39,2114.27,2201.02,8950949,0
7-Nov-8,2186.07,2255.04,2137.29,2177.54,8115859,0
14-Nov-8,2207.48,2517.36,2207.48,2516.83,22338008,1
21-Nov-8,2521.64,2664.31,2417.59,2517.59,30379380,0
28-Nov-8,2542.46,2644.16,2428.58,2574.03,18002956,0
5-Dec-8,2568.88,2929.10,2549.53,2884.66,34815080,0
12-Dec-8,2921.14,3045.99,2737.82,2790.85,32615776,0
19-Dec-8,2817.54,3063.40,2760.00,3036.57,22630228,0
26-Dec-8,3041.11,3088.67,2789.80,2867.15,24304988,0
31-Dec-8,2860.58,2913.16,2774.76,2863.99,10840309,0
9-Jan-9,2910.56,3022.16,2882.69,3013.60,25587980,0
16-Jan-9,3011.37,3125.47,2932.08,3071.28,30060248,0
23-Jan-9,3082.82,3109.31,3014.48,3059.43,23992348,0
6-Feb-9,3080.98,3301.94,3066.84,3301.94,33641656,0
13-Feb-9,3337.28,3632.73,3304.51,3632.16,44105896,0
20-Feb-9,3676.12,3694.44,3411.42,3583.33,36678908,0
27-Feb-9,3572.09,3683.46,3135.17,3187.72,36029648,-1
6-Mar-9,3167.28,3491.94,3153.47,3436.16,31702388,0
13-Mar-9,3446.23,3493.54,3231.14,3330.04,25626188,0
20-Mar-9,3315.45,3611.08,3293.51,3588.39,31639168,0
27-Mar-9,3589.30,3761.52,3549.03,3712.68,36867344,1
3-Apr-9,3714.43,3931.45,3629.61,3868.75,40439096,0
10-Apr-9,3879.02,3975.57,3722.97,3973.58,28256948,0
17-Apr-9,4020.03,4184.08,4020.03,4081.76,43859856,0
24-Apr-9,4068.94,4236.96,3922.51,4039.21,37076328,0
30-Apr-9,4038.41,4045.59,3838.09,4030.40,23644930,0
8-May-9,4048.21,4319.25,4048.21,4204.58,38480828,0
15-May-9,4223.53,4245.04,4019.28,4229.92,30269650,0
22-May-9,4224.33,4318.70,4154.44,4175.68,31392688,0
27-May-9,4089.98,4282.35,4057.93,4209.59,18895028,0
5-Jun-9,4239.62,4313.66,4230.78,4271.27,34348348,0
12-Jun-9,4273.75,4352.11,4161.24,4215.79,28606728,-1
19-Jun-9,4205.06,4398.69,4205.06,4347.79,29050736,1
26-Jun-9,4363.26,4396.26,4265.46,4367.50,29044608,0
3-Jul-9,4372.51,4455.42,4346.55,4446.81,31848928,0
10-Jul-9,4458.16,4628.56,4412.53,4596.21,36575888,0
17-Jul-9,4589.08,4734.11,4576.11,4688.12,40669664,0
24-Jul-9,4702.50,4795.99,4614.26,4678.21,43087928,0
31-Jul-9,4688.08,4877.31,4490.91,4766.90,48160540,0
7-Aug-9,4792.34,5018.12,4754.59,4768.95,50379728,0
14-Aug-9,4824.84,4874.79,4433.96,4433.96,31196660,-1
21-Aug-9,4373.54,4374.82,3990.45,4276.45,25564100,0
28-Aug-9,4291.83,4538.33,4212.65,4361.23,30813580,0
4-Sep-9,4310.13,4344.05,4010.02,4319.18,22943668,0
11-Sep-9,4353.76,4598.54,4353.76,4583.03,29882268,0
18-Sep-9,4591.75,4887.67,4587.54,4698.32,41653040,1
25-Sep-9,4651.30,4861.96,4421.62,4503.67,28574796,-1
30-Sep-9,4518.00,4605.13,4319.23,4436.65,11528097,0
9-Oct-9,4520.64,4666.99,4520.64,4663.35,4389630,0
16-Oct-9,4682.36,4765.00,4618.44,4685.35,23400400,1
23-Oct-9,4689.65,4871.53,4680.57,4845.75,32932836,0
30-Oct-9,4866.53,4888.62,4715.66,4792.93,32904428,0
6-Nov-9,4710.76,5172.43,4674.82,5131.40,41889060,0
13-Nov-9,5140.02,5322.96,5098.63,5322.96,34871868,0
20-Nov-9,5362.93,5569.10,5362.93,5521.60,40668616,0
27-Nov-9,5526.13,5657.82,5142.40,5174.46,45989908,-1
4-Dec-9,5213.40,5636.00,5213.40,5503.97,41359236,1
11-Dec-9,5501.36,5619.77,5465.51,5531.41,26607786,0
18-Dec-9,5525.60,5584.94,5192.75,5207.23,24938070,-1
25-Dec-9,5202.75,5489.38,5134.96,5448.97,22889352,0
31-Dec-9,5465.17,5636.19,5465.17,5631.76,23400318,1
8-Jan-10,5663.63,5737.33,5479.98,5582.58,30483784,0
15-Jan-10,5619.79,5867.64,5549.99,5867.64,37375020,0
22-Jan-10,5856.98,5958.21,5434.84,5546.07,32959858,-1
29-Jan-10,5503.77,5578.65,5263.10,5437.43,21044012,0
5-Feb-10,5428.48,5428.48,5144.26,5269.25,21521624,0
12-Feb-10,5266.51,5441.27,5243.98,5436.52,12674861,0
26-Feb-10,5429.48,5684.28,5331.31,5660.49,21745030,0
